Id_Obra_Recurso,Id_Obra,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Observaciones,Movimiento,No_Registro_Obrasi,Numero_Oficio,Fecha_Oficio
1,8,80,100,644387.16,,AMPLIACION,460,S/N AMP4,02/01/2013 00:00
2,8,9,100,1076114.09,,AMPLIACION,147,S/N AMP,02/01/2013 00:00
3,8,9,100,3960494.28,,AMPLIACION,279,S/N AMP2,02/01/2013 00:00
4,8,9,100,2500000,,AMPLIACION,397,S/N AMP3,02/01/2013 00:00
5,8,3,100,17398238.52,,INICIAL,8,S/N,02/01/2013 00:00
6,9,44,100,5335464.32,,AMPLIACION,219,S/N AMP,02/01/2013 00:00
7,9,3,100,10245184.68,,INICIAL,9,S/N,02/01/2013 00:00
8,11,2,100,138616.54,,INICIAL,11,S/N,02/01/2013 00:00
9,19,1,100,495386.99,,INICIAL,19,S/N,02/01/2013 00:00
10,24,1,100,235122.01,,INICIAL,24,S/N,02/01/2012 00:00
11,2,1,100,765271.96,,INICIAL,2,S/N,02/01/2013 00:00
12,6,1,100,396152,,INICIAL,6,S/N,02/01/2013 00:00
13,25,1,100,368020.99,,INICIAL,25,S/N,02/01/2013 00:00
14,22,1,100,110231.01,,INICIAL,22,S/N,02/01/2013 00:00
15,5,1,100,132981,,INICIAL,5,S/N,02/01/2013 00:00
16,10,1,100,250131.99,,INICIAL,10,S/N,02/01/2013 00:00
17,20,1,100,954210,,INICIAL,20,S/N,02/01/2013 00:00
18,21,1,100,993154.09,,INICIAL,21,S/N,02/01/2013 00:00
19,26,1,100,247009.01,,INICIAL,26,S/N,02/01/2013 00:00
20,27,1,100,383395.06,,INICIAL,27,S/N,02/01/2012 00:00
21,4,1,100,372128,,INICIAL,4,S/N,02/01/2013 00:00
22,13,1,100,623827.73,,INICIAL,13,S/N,02/01/2013 00:00
23,3,1,100,177403.41,,INICIAL,3,S/N,02/01/2013 00:00
24,23,1,100,938123.15,,INICIAL,23,S/N,02/01/2013 00:00
25,28,1,100,411023.99,,INICIAL,28,S/N,02/01/2013 00:00
26,1,1,100,122192,,INICIAL,1,S/N,02/01/2013 00:00
27,7,2,100,187132.14,,INICIAL,7,S/N,02/01/2013 00:00
28,29,1,100,281129.02,,INICIAL,29,S/N,02/01/2013 00:00
29,12,4,100,146207.51,,INICIAL,12,S/N,02/01/2013 00:00
30,30,6,100,3864277.58,,INICIAL,30,S/N,02/01/2013 00:00
31,31,7,100,3760030.26,,INICIAL,31,S/N,02/01/2013 00:00
32,31,7,100,959165.2,,AMPLIACION,201,S/N AMP,02/01/2013 00:00
33,31,7,100,1018009.05,,AMPLIACION,333,S/N AMP2,02/01/2013 00:00
34,14,2,100,166787.21,,INICIAL,14,S/N,02/01/2013 00:00
35,15,5,100,2046250.74,,INICIAL,15,S/N,02/01/2013 00:00
36,16,5,100,352339.78,,INICIAL,16,S/N,02/01/2013 00:00
