Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
505,491,,CONTRATO,1321679.65,136682.51,1089083.55,1225766.06,95913.59,30,396503.9,69778.83,326725.07,396503.9,0
166,1439,2,AMPLIACIÓN 1,1076114.09,0,1076114.09,1076114.09,0,0,0,0,0,0,0
207,107,,CONTRATO,146207.51,40700.08,89829.02,130529.1,15678.41,0,0,0,0,0,0
1160,525,,CONTRATO,1764566.54,712649.35,381478.92,1094128.27,670438.27,30,529369.96,213794.81,114443.68,328238.49,201131.47
1287,1457,17,AMPLIACIÓN 1,843850.36,97528.3,0,97528.3,746322.06,0,0,0,0,0,0
1374,679,48,AMPLIACIÓN 1,8917978.44,0,0,0,8917978.44,30,2675393.51,0,0,0,2675393.51
2071,1349,44,AMPLIACIÓN 1,8309800.72,0,0,0,8309800.72,0,0,0,0,0,0
2276,1208,,CONTRATO,10149930.4,765474.56,469189.48,1234664.04,8915266.36,30,3044979.12,229642.37,140756.84,370399.21,2674579.91
607,530,,CONTRATO,314011.27,110613.48,159514.82,270128.3,43882.97,30,94203.38,46348.94,47854.44,94203.38,0
1284,1456,17,AMPLIACIÓN 1,843850.36,0,0,0,843850.36,0,0,0,0,0,0
1292,1542,,CONTRATO,7401614.37,0,7401614.37,7401614.37,0,30,2220484.31,0,2220484.31,2220484.31,0
2631,1484,84,AMPLIACIÓN 4,4000988.12,0,0,0,4000988.12,50,2000494.05,0,0,0,2000494.05
2743,1842,77,AMPLIACIÓN 2,4999965.87,0,0,0,4999965.87,50,2499982.93,0,0,0,2499982.93
3206,1429,,CONTRATO,1823282.9,54838.73,566570.33,621409.06,1201873.84,30,546984.87,16451.62,169971.1,186422.72,360562.15
305,1572,11,AMPLIACIÓN 1,959165.2,290652.71,616008.77,906661.48,52503.72,0,0,0,0,0,0
652,450,23,AMPLIACIÓN 1,175457.73,0,0,0,175457.73,0,0,0,0,0,0
