Id_Contrato_Descuento,Id_Contrato,Id_Descuento,Importe
1,8,1,0.002
2,8,2,0.005
3,8,3,0.01
4,9,1,0.002
5,9,2,0.005
6,9,3,0.01
7,11,4,0.005
8,19,1,0.002
9,19,3,0.01
10,24,1,0.002
11,24,3,0.01
12,1,1,0.002
13,1,3,0.01
14,6,1,0.002
15,6,3,0.01
16,25,1,0.002
17,25,3,0.01
18,22,1,0.002
19,22,3,0.01
20,5,1,0.002
21,5,3,0.01
22,10,1,0.002
23,10,3,0.01
24,20,1,0.002
25,20,3,0.01
26,21,1,0.002
27,21,3,0.01
28,26,1,0.002
29,26,3,0.01
30,27,1,0.002
31,27,3,0.01
32,4,1,0.002
33,4,3,0.01
34,13,1,0.002
35,13,3,0.01
36,3,1,0.002
37,3,3,0.01
38,23,1,0.002
39,23,3,0.01
40,28,1,0.002
41,28,3,0.01
42,2,1,0.002
43,2,3,0.01
44,7,4,0.005
45,29,1,0.002
46,29,3,0.01
47,12,4,0.005
48,30,1,0.002
49,30,3,0.01
50,31,2,0.005
51,31,4,0.005
52,14,4,0.005
53,15,1,0.002
54,15,3,0.01
55,16,1,0.002
56,16,3,0.01
57,17,1,0.002
58,17,3,0.01
59,18,1,0.002
60,18,3,0.01
61,32,4,0.005
62,33,4,0.005
63,34,4,0.005
64,35,1,0.002
65,35,3,0.01
66,39,4,0.005
67,338,1,0.002
68,338,3,0.01
69,36,4,0.005
70,37,1,0.002
71,37,3,0.01
72,38,4,0.005
73,40,1,0.002
74,40,3,0.01
75,41,4,0.005
76,42,1,0.002
77,42,3,0.01
78,43,1,0.002
79,43,3,0.01
80,45,1,0.002
81,45,3,0.01
82,46,1,0.002
83,46,3,0.01
84,47,1,0.002
85,47,3,0.01
86,48,1,0.002
87,48,3,0.01
88,49,1,0.002
89,49,3,0.01
90,44,1,0.002
91,44,3,0.01
92,50,1,0.002
93,50,3,0.01
94,60,1,0.002
95,60,3,0.01
96,51,1,0.002
97,51,3,0.01
98,52,1,0.002
99,52,3,0.01
100,53,1,0.002
101,53,3,0.01
102,54,1,0.002
103,54,3,0.01
104,55,1,0.002
105,55,3,0.01
106,56,1,0.002
107,56,3,0.01
108,57,1,0.002
109,57,3,0.01
110,58,1,0.002
111,58,3,0.01
112,59,1,0.002
113,59,3,0.01
114,65,1,0.002
115,65,3,0.01
116,68,1,0.002
117,68,3,0.01
118,64,1,0.002
119,64,3,0.01
120,61,1,0.002
121,61,3,0.01
122,66,1,0.002
123,66,3,0.01
124,62,4,0.005
125,67,4,0.005
126,70,4,0.005
127,71,4,0.005
128,72,4,0.005
129,73,4,0.005
130,74,4,0.005
131,75,4,0.005
132,76,4,0.005
133,77,4,0.005
134,78,4,0.005
135,81,4,0.005
136,63,1,0.002
137,63,3,0.01
138,79,4,0.005
139,82,1,0.002
140,82,3,0.01
141,83,1,0.002
142,83,3,0.01
143,80,4,0.005
144,69,1,0.002
145,69,3,0.01
146,84,1,0.002
147,84,3,0.01
148,85,1,0.002
149,85,3,0.01
150,101,4,0.005
151,86,1,0.002
152,86,3,0.01
153,87,1,0.002
154,87,3,0.01
155,88,1,0.002
156,88,3,0.01
157,89,4,0.005
158,94,1,0.002
159,94,3,0.01
160,90,1,0.002
161,90,3,0.01
162,91,1,0.002
163,91,3,0.01
164,92,1,0.002
165,92,3,0.01
166,93,1,0.002
167,93,3,0.01
168,95,2,0.005
169,102,4,0.005
170,103,4,0.005
171,96,1,0.002
172,96,3,0.01
173,98,4,0.005
174,205,1,0.002
175,205,2,0.005
176,205,3,0.01
177,99,4,0.005
