Id_Estimacion_Concepto,Id_Estimacion,Id_Concepto,Contratado,Actual,Anterior,Acumulado,Por_Estimar,Precio_Unitario,Importe,Excedente,Excedente_Acumulado
1,13,1,13504.32,4671.54,0,4671.54,8832.78,1.6,7474.46,0,0
2,70,1,13504.32,2589.8,4671.54,7261.34,6242.98,1.6,4143.68,0,0
3,222,1,13504.32,1441.9462,7261.34,8703.2862,4801.0338,1.6,2307.11,0,0
4,349,1,13504.32,690,8703.2862,9393.2862,4111.0338,1.6,1104,0,0
5,409,1,13504.32,493.3253,9393.2862,9886.6115,3617.7085,1.6,789.32,0,0
6,440,1,13504.32,653.591,9886.6115,10540.2025,2964.1175,1.6,1045.75,0,0
7,869,1,13504.32,557.7039,10540.2025,11097.9064,2406.4136,1.6,892.33,0,0
8,896,1,13504.32,1000.2078,11097.9064,12098.1142,1406.2058,1.6,1600.33,0,0
9,936,1,13504.32,2435.079,12098.1142,14533.1932,0,1.6,3896.13,1028.8732,1028.8732
10,1288,1,13504.32,273.655,14533.1932,14806.8482,0,1.6,437.85,273.655,1302.5282
11,1575,1,13504.32,2207.2263,14806.8482,17014.0745,0,1.6,3531.56,2207.2263,3509.7545
12,47,3,10,2,0,2,8,2839.62,5679.24,0,0
13,96,4,100,70,0,70,30,51.66,3616.2,0,0
14,1575,4,100,188,70,258,0,51.66,9712.08,158,158
15,47,5,20,6,0,6,14,1111.47,6668.82,0,0
16,96,5,20,-6,6,0,20,1111.47,-6668.82,0,0
17,13,6,5600.4,974.39,0,974.39,4626.01,18.62,18143.14,0,0
18,70,6,5600.4,1771.2821,974.39,2745.6721,2854.7279,18.62,32981.27,0,0
19,146,6,5600.4,291.7782,2745.6721,3037.4503,2562.9497,18.62,5432.91,0,0
20,222,6,5600.4,941.086,3037.4503,3978.5363,1621.8637,18.62,17523.02,0,0
21,349,6,5600.4,770.5958,3978.5363,4749.1321,851.2679,18.62,14348.49,0,0
22,409,6,5600.4,351.7821,4749.1321,5100.9142,499.4858,18.62,6550.18,0,0
23,440,6,5600.4,716.6112,5100.9142,5817.5254,0,18.62,13343.3,217.1254,217.1254
24,484,6,5600.4,-30.6564,5817.5254,5786.869,0,18.62,-570.82,-30.6564,186.469
25,869,6,5600.4,129.9686,5786.869,5916.8376,0,18.62,2420.02,129.9686,316.4376
26,936,6,5600.4,1635.8377,5916.8376,7552.6753,0,18.62,30459.3,1635.8377,1952.2753
27,1288,6,5600.4,185.5853,7552.6753,7738.2606,0,18.62,3455.6,185.5853,2137.8606
28,1575,6,5600.4,416.4435,7738.2606,8154.7041,0,18.62,7754.18,416.4435,2554.3041
29,349,7,6.5,40.3342,0,40.3342,0,341.46,13772.52,33.8342,33.8342
30,409,7,6.5,8.133,40.3342,48.4672,0,341.46,2777.09,8.133,41.9672
31,1244,7,6.5,4.38,48.4672,52.8472,0,341.46,1495.59,4.38,46.3472
32,1575,7,6.5,6.348,52.8472,59.1952,0,341.46,2167.59,6.348,52.6952
33,409,8,8.48,10.5729,0,10.5729,0,9.1,96.21,2.0929,2.0929
34,869,8,8.48,610.0846,10.5729,620.6575,0,9.1,5551.77,610.0846,612.1775
35,896,8,8.48,200.3421,620.6575,820.9996,0,9.1,1823.11,200.3421,812.5196
36,936,8,8.48,1655.9557,820.9996,2476.9553,0,9.1,15069.2,1655.9557,2468.4753
37,1244,8,8.48,57.8805,2476.9553,2534.8358,0,9.1,526.71,57.8805,2526.3558
38,1575,8,8.48,1329.9753,2534.8358,3864.8111,0,9.1,12102.78,1329.9753,3856.3311
39,13,9,6827.5,1266.7072,0,1266.7072,5560.7928,23.77,30109.63,0,0
40,70,9,6827.5,2302.6667,1266.7072,3569.3739,3258.1261,23.77,54734.39,0,0
41,146,9,6827.5,379.3117,3569.3739,3948.6856,2878.8144,23.77,9016.24,0,0
42,222,9,6827.5,1459.3142,3948.6856,5407.9998,1419.5002,23.77,34687.9,0,0
43,261,9,6827.5,435.9307,5407.9998,5843.9305,983.5695,23.77,10362.07,0,0
44,349,9,6827.5,1001.7746,5843.9305,6845.7051,0,23.77,23812.18,18.2051,18.2051
45,409,9,6827.5,587.8207,6845.7051,7433.5258,0,23.77,13972.5,587.8207,606.0258
46,440,9,6827.5,931.5946,7433.5258,8365.1204,0,23.77,22144,931.5946,1537.6204
47,484,9,6827.5,-39.8534,8365.1204,8325.267,0,23.77,-947.32,-39.8534,1497.767
48,869,9,6827.5,779.0437,8325.267,9104.3107,0,23.77,18517.87,779.0437,2276.8107
49,896,9,6827.5,200.3421,9104.3107,9304.6528,0,23.77,4762.13,200.3421,2477.1528
50,936,9,6827.5,2865.9274,9304.6528,12170.5802,0,23.77,68123.09,2865.9274,5343.0802
51,1244,9,6827.5,57.8805,12170.5802,12228.4607,0,23.77,1375.82,57.8805,5400.9607
52,1288,9,6827.5,241.2609,12228.4607,12469.7216,0,23.77,5734.77,241.2609,5642.2216
53,1575,9,6827.5,2787.9688,12469.7216,15257.6904,0,23.77,66270.02,2787.9688,8430.1904
54,13,10,116067.65,22800.7305,0,22800.7305,93266.9195,1.15,26220.84,0,0
55,70,10,116067.65,10258.2045,22800.7305,33058.935,83008.715,1.15,11796.94,0,0
56,146,10,116067.65,6827.6106,33058.935,39886.5456,76181.1044,1.15,7851.75,0,0
57,222,10,116067.65,2325.5088,39886.5456,42212.0544,73855.5956,1.15,2674.34,0,0
58,261,10,116067.65,9806.7645,42212.0544,52018.8189,64048.8311,1.15,11277.78,0,0
59,409,10,116067.65,2158.76,52018.8189,54177.5789,61890.0711,1.15,2482.57,0,0
60,440,10,116067.65,16768.7028,54177.5789,70946.2817,45121.3683,1.15,19284.01,0,0
61,484,10,116067.65,28916.0365,70946.2817,99862.3182,16205.3318,1.15,33253.44,0,0
62,869,10,116067.65,14022.787,99862.3182,113885.1052,2182.5448,1.15,16126.21,0,0
63,896,10,116067.65,3606.1582,113885.1052,117491.2634,0,1.15,4147.08,1423.6134,1423.6134
64,936,10,116067.65,13308.0904,117491.2634,130799.3538,0,1.15,15304.3,13308.0904,14731.7038
65,1244,10,116067.65,1041.8498,130799.3538,131841.2036,0,1.15,1198.13,1041.8498,15773.5536
66,1288,10,116067.65,4342.696,131841.2036,136183.8996,0,1.15,4994.1,4342.696,20116.2496
67,1575,10,116067.65,12708.7528,136183.8996,148892.6524,0,1.15,14615.07,12708.7528,32825.0024
68,13,11,6827.5,1266.7072,0,1266.7072,5560.7928,2.8,3546.78,0,0
69,70,11,6827.5,569.9003,1266.7072,1836.6075,4990.8925,2.8,1595.72,0,0
70,146,11,6827.5,379.3117,1836.6075,2215.9192,4611.5808,2.8,1062.07,0,0
71,222,11,6827.5,129.1949,2215.9192,2345.1141,4482.3859,2.8,361.75,0,0
72,261,11,6827.5,544.8202,2345.1141,2889.9343,3937.5657,2.8,1525.5,0,0
73,409,11,6827.5,119.9311,2889.9343,3009.8654,3817.6346,2.8,335.81,0,0
74,440,11,6827.5,931.5946,3009.8654,3941.46,2886.04,2.8,2608.46,0,0
75,484,11,6827.5,1606.4465,3941.46,5547.9065,1279.5935,2.8,4498.05,0,0
76,869,11,6827.5,779.0437,5547.9065,6326.9502,500.5498,2.8,2181.32,0,0
77,896,11,6827.5,200.3421,6326.9502,6527.2923,300.2077,2.8,560.96,0,0
78,1288,11,6827.5,241.2609,6527.2923,6768.5532,58.9468,2.8,675.53,0,0
79,1575,11,6827.5,600.1046,6768.5532,7368.6578,0,2.8,1680.29,541.1578,541.1578
80,13,12,9726.91,2863.5,0,2863.5,6863.41,11.41,32672.54,0,0
81,47,12,9726.91,1140,2863.5,4003.5,5723.41,11.41,13007.4,0,0
82,70,12,9726.91,2434.5393,4003.5,6438.0393,3288.8707,11.41,27778.09,0,0
83,146,12,9726.91,527.0838,6438.0393,6965.1231,2761.7869,11.41,6014.03,0,0
84,222,12,9726.91,1088.8069,6965.1231,8053.93,1672.98,11.41,12423.29,0,0
85,484,12,9726.91,493.3253,8053.93,8547.2553,1179.6547,11.41,5628.84,0,0
86,606,12,9726.91,169.125,8547.2553,8716.3803,1010.5297,11.41,1929.72,0,0
87,869,12,9726.91,525.7039,8716.3803,9242.0842,484.8258,11.41,5998.28,0,0
88,896,12,9726.91,363.2375,9242.0842,9605.3217,121.5883,11.41,4144.54,0,0
89,936,12,9726.91,2350.301,9605.3217,11955.6227,0,11.41,26816.93,2228.7127,2228.7127
90,1288,12,9726.91,77.545,11955.6227,12033.1677,0,11.41,884.79,77.545,2306.2577
91,1575,12,9726.91,1696.8103,12033.1677,13729.978,0,11.41,19360.61,1696.8103,4003.068
92,17,13,6832,1254.5561,0,1254.5561,5577.4439,129.62,162615.56,0,0
93,47,13,6832,2322.336,1254.5561,3576.8921,3255.1079,129.62,301021.19,0,0
94,17,14,3116,376.05,0,376.05,2739.95,136.69,51402.27,0,0
95,47,14,3116,414,376.05,790.05,2325.95,136.69,56589.66,0,0
96,53,14,3116,483,790.05,1273.05,1842.95,136.69,66021.27,0,0
97,72,14,3116,748.3467,1273.05,2021.3967,1094.6033,136.69,102291.51,0,0
98,183,14,3116,406.9232,2021.3967,2428.3199,687.6801,136.69,55622.33,0,0
99,222,14,3116,432.5838,2428.3199,2860.9037,255.0963,136.69,59129.88,0,0
100,349,14,3116,207,2860.9037,3067.9037,48.0963,136.69,28294.83,0,0
101,409,14,3116,-30.7395,3067.9037,3037.1642,78.8358,136.69,-4201.78,0,0
102,440,14,3116,196.0773,3037.1642,3233.2415,0,136.69,26801.81,117.2415,117.2415
103,484,14,3116,147.9977,3233.2415,3381.2392,0,136.69,20229.81,147.9977,265.2392
104,869,14,3116,167.3112,3381.2392,3548.5504,0,136.69,22869.77,167.3112,432.5504
105,896,14,3116,50.123,3548.5504,3598.6734,0,136.69,6851.31,50.123,482.6734
106,1244,14,3116,6,3598.6734,3604.6734,0,136.69,820.14,6,488.6734
107,1288,14,3116,62.4855,3604.6734,3667.1589,0,136.69,8541.14,62.4855,551.1589
108,1575,14,3116,169.3596,3667.1589,3836.5185,0,136.69,23149.76,169.3596,720.5185
109,47,15,3116,790.05,0,790.05,2325.95,253.82,200530.49,0,0
