Id_Descuento_Adicional,Id_Estimacion,Nombre,Importe
356,1371,SANCION DEFINIT,2187.7
357,1374,C.N.E.C.,513.25
358,1375,C.N.E.C.,562.11
359,1383,C.N.E.C.,58.16
360,1384,C.N.E.C.,186
361,1389,C.N.E.C.,16.45
362,1400,C.N.E.C.,1738
363,1401,C.N.E.C.,321.61
364,1403,C.N.E.C.,295.22
365,1405,C.E.NEC,385.85
366,1419,C.N.E.C.,35.05
367,1422,C.E.N.E.C.,-96.07
368,1425,C.N.E.C.,149.47
369,1431,SANCION,23278.6
370,1435,C.N.E.C.,745.53
371,1440,C.N.E.C.,151.68
372,1449,C.N.E.C.,100.95
373,1450,C.N.E.C.,334.83
374,1454,C.N.E.C.,332.14
375,1455,C.N.E.C.,389.39
376,1460,C.N.E.C.,1526.39
377,1467,C.N.E.C.,128.98
378,1475,C.N.E.C.,250.71
379,1478,C.N.E.C.,264.45
380,1479,C.N.E.C.,35.53
381,1483,C.N.E.C,122.94
382,1489,C.N.E.C,51.1
383,1493,C.N.E.C.,933.41
384,1494,C.N.E.C.,291.88
385,1495,C.N.E.C.,238.42
386,1506,C.N.E.C.,269.61
387,1517,C.N.E.C.,130.16
388,1520,C.N.E.C.,140.56
389,1522,C.N.E.C.,613.87
390,1526,C.N.E.C.,186.27
391,1526,PENDIENTE C.N.E,671.22
392,1528,C.N.E.C.,1646.39
393,1534,C.N.E.C.,564.16
394,1534,AJUSTE CNEC EST,2301.2
395,1540,C.N.E.C.,326.06
396,1545,C.N.E.C.,93.2
397,1547,C.N.E.C.,64.91
398,1556,C.N.E.C.,679.08
399,1559,C.N.E.C.,46.56
400,1561,C.N.E.C.,218.11
401,1564,C.E.N.E.C,381.81
402,1568,C.E.N.E.C.,185.07
403,1569,C.E.N.E.C.,506
404,1572,C.N.E.C.,1252.81
405,1590,C.E.N.E.C,85.63
406,1592,C.N.E.C.,298.47
407,1596,C.N.E.C.,847.33
408,1599,C.N.E.C.,1044.94
409,1600,C.N.E.C.,203.01
410,1604,C.N.E.C.,84.59
411,1609,C.N.E.C.,324.88
412,1610,SANCION DEFINIT,15814.96
413,1617,C.N.E.C.,715.66
414,1618,C.N.E.C.,192.25
415,1619,C.N.E.C.,356.17
416,1620,C.N.E.C.,1555.89
417,1639,C.N.E.C.,30.97
418,1640,C.N.E.C.,704.39
419,1641,C.N.E.C.,413.15
420,1643,SANCION,4081.85
421,1644,SANCION,306633.91
422,1653,C.N.E.C.,224.92
423,1655,C.N.E.C.,2076.24
424,1659,C.N.E.C.,432.36
425,1668,C.N.E.C.,309.44
426,1681,C.N.E.C.,114.97
427,1684,C.N.E.C.,283.62
428,1685,C.N.E.C.,383.82
429,1685,SANCIÓN*,12286.9
430,1685,SANCIÓN**,16479.6
431,1686,C.N.E.C.,106.76
432,1687,SANCION,684782.28
433,1690,C.E.N.E.C,-31.97
434,1690,SANCION RETRASO,15948
435,1692,DEDUCTIVA,3071.1
436,1693,C.N.E.C.,115.73
437,1694,C.N.E.C.,136.33
438,1697,C.N.E.C.,479.49
439,1705,SANCION,43229.49
440,1710,C.N.E.C.,726.53
441,1711,C.N.E.C.,759.7
442,1712,SANCION,228200.16
443,1713,SANCION,409.26
444,1715,SANCION,909.54
445,1716,SANCION,6123.76
446,1717,C.N.E.C.,497.38
447,1724,C.N.E.C.,369
448,1728,SANCION,168075.34
449,1751,C.N.E.C.,536.75
450,1763,SANCION DEFINIT,11853.99
451,1764,C.N.E.C.,377.42
452,1764,SANCION,510.16
453,1765,C.N.E.C.,82.23
454,1766,SANC. DEF.,17713.68
455,1768,C.N.E.C.,190.91
456,1769,C.N.E.C.,174.63
457,1771,SANCION 1,33950.5
458,1771,SANCION 2,2550.8
459,1774,SANCION,510.16
460,1778,C.N.E.C.,744.31
461,1780,C.E.N.E.C,102.84
462,1780,SANCION DEFINIT,1275.4
463,1782,SANCION,54316.74
464,1784,SANCION,23142.45
465,1792,C.N.E.C.,236.05
466,1793,C.N.E.C.,529.7
467,1793,SANCION,50962.36
468,1812,C.N.E.C.,506.31
469,1815,C.N.E.C.,105.8
470,1816,C.N.E.C.,319.21
471,1817,C.N.E.C.,89.42
472,1818,C.N.E.C.,1015.08
473,1820,C.N.E.C.,1856.85
474,1823,C.N.E.C.,110.72
475,1824,C.N.E.C.,110.72
476,1829,C.N.E.C.,645.92
477,1831,C.N.E.C.,417.55
478,1846,SANCION,15519.07
479,1850,C.N.E.C.,451.84
480,1856,C.N.E.C.,368.28
481,1858,SANCION,2338236.52
482,1861,C.E.N.E.C.,247.32
483,1862,C.E.N.E.C.,767.26
484,1863,C.E.N.E.C.,318.56
485,1865,C.N.E.C.,405.29
