Id_Presupuesto,Id_Obra,Nombre,Tipo_Presupuesto,Id_Modalidad,Fecha_Adjudicacion,Id_Presupuesto_Pertenece,Clave,Numero_Ampliacion
1,8,"H-2510-902-6151-D/0001/2013  VIALIDADES LATERALES, CRUCE A NIVEL Y ADECUACIÓN DE SERVICIOS DE LA INTERSECCIÓN DE LA C.F. 45 CON EL BLVD ANTONIO MADRAZO",ORIGINAL,1,31/01/2013 00:00,,0,0
2,8,AMPLIACION 1,AMPLIACION,1,31/01/2013 00:00,1,1,1
3,8,AMPLIACION 2,AMPLIACION,1,31/01/2013 00:00,1,2,2
4,8,AMPLIACION 3,AMPLIACION,1,31/01/2013 00:00,1,3,3
5,8,AMPLIACION 4,AMPLIACION,1,31/01/2013 00:00,1,4,4
6,9,"H-2510-902-6151-D/0002/2013  VIALIDADES LATERALES, CRUCE A NIVEL Y ADECUACION DE SERVICIOS DE LA INTERSECCION DE LA C.F. 45 CON EL BLVD. JUAN ALONSO DE TORRES",ORIGINAL,1,31/01/2013 00:00,,0,0
7,9,AMPLIACION 1,AMPLIACION,1,31/01/2013 00:00,6,1,1
8,11,B-5051-236-6121-H/0003/2013  PROYECTO CALLE APODACA TRAMO ARTICULO DE FE A VILLALDANA COL. NUEVO LEON,ORIGINAL,1,13/02/2013 00:00,,0,0
9,19,E-2310-701-3531-G/0004/2013  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LAS ZONAS URBANAS I Y II LEON.GTO.,ORIGINAL,1,18/02/2013 00:00,,0,0
10,24,E-2310-701-3531-G/0005/2013  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES ZONA URBANA  III LEÓN GTO.,ORIGINAL,1,18/02/2013 00:00,,0,0
11,2,E-2310-701-3531-G/0006/2013  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES ZONAS URBANAS 7 Y 13 Y MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE FUENTES,ORIGINAL,1,18/02/2013 00:00,,0,0
12,6,E-2310-701-3531-G/0007/2013  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA 12 Y MALECON DEL RIO,ORIGINAL,1,18/02/2013 00:00,,0,0
13,25,"E-2310-701-3531-G/0008/2013  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES ZONA URBANA 4 Y MANTENIMIENTO PREVENTIVO DE ARBOLES ZONA SUR LEÓN, GTO.",ORIGINAL,1,18/02/2013 00:00,,0,0
14,22,E-2310-701-3531-G/0009/2013  MANTENIMIENTO PREVENTIVO DE ÁRBOLES PARA LA ZONA CENTRO,ORIGINAL,1,18/02/2013 00:00,,0,0
15,5,"E-2310-701-3531-G/0010/2013  MANTENIMIENTO INTEGRAL  DE PARQUES Y JARDINES PARA LA ZONA URBANA 11 LEON, GTO.",ORIGINAL,1,18/02/2013 00:00,,0,0
16,10,"E-2310-701-3531-G/0011/2013  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES, RETIRO DE EXCEDENTES, NIVELACION  MEJORA DE SUELOS",ORIGINAL,1,18/02/2013 00:00,,0,0
17,20,"E-2310-701-3531-G/0012/2013  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES MEJORA DE PLAZAS EN ZONA URBANA PAQ. 1 LEÓN, GTO.",ORIGINAL,1,18/02/2013 00:00,,0,0
18,21,E-2310-701-3531-G/0013/2013  MANTENIMIENTO PREVENTIVO DE ARBOLES PARA LA ZONA NORTE,ORIGINAL,1,18/02/2013 00:00,,0,0
