Id_Fuera_Catalogo,Id_Contrato,Fecha_Registro,Fecha_Ultima_Autorizada,Fecha_Instruccion_Bitacora,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Estatus
10,10,20/03/2013 00:00,20/03/2013 00:00,20/03/2013 00:00,096/2013,20/03/2013 00:00,,AUTORIZADO
44,8,23/04/2013 00:00,23/04/2013 00:00,23/04/2013 00:00,131/2013,23/04/2013 00:00,,AUTORIZADO
51,8,02/05/2013 00:00,02/05/2013 00:00,02/05/2013 00:00,134/2013,02/05/2013 00:00,,AUTORIZADO
60,42,23/05/2013 00:00,23/05/2013 00:00,23/05/2013 00:00,138/2013,23/05/2013 00:00,,AUTORIZADO
66,44,24/05/2013 00:00,24/05/2013 00:00,24/05/2013 00:00,136/2013,24/05/2013 00:00,,AUTORIZADO
74,60,30/05/2013 00:00,30/05/2013 00:00,30/05/2013 00:00,146/2013,30/05/2013 00:00,,AUTORIZADO
79,60,03/06/2013 00:00,03/06/2013 00:00,03/06/2013 00:00,147/2013,03/06/2013 00:00,,AUTORIZADO
80,43,03/06/2013 00:00,03/06/2013 00:00,03/06/2013 00:00,150/2013,03/06/2013 00:00,,AUTORIZADO
82,60,30/05/2013 00:00,30/05/2013 00:00,30/05/2013 00:00,151/2013,30/05/2013 00:00,,AUTORIZADO
83,46,04/06/2013 00:00,04/06/2013 00:00,04/06/2013 00:00,152/2013,04/06/2013 00:00,,AUTORIZADO
84,46,04/06/2013 00:00,04/06/2013 00:00,04/06/2013 00:00,153/2013,04/06/2013 00:00,,AUTORIZADO
85,15,24/05/2013 00:00,24/05/2013 00:00,24/05/2013 00:00,154/2013,24/05/2013 00:00,,AUTORIZADO
86,44,04/06/2013 00:00,04/06/2013 00:00,04/06/2013 00:00,155/2013,04/06/2013 00:00,,AUTORIZADO
94,42,04/06/2013 00:00,04/06/2013 00:00,04/06/2013 00:00,156/2013,04/06/2013 00:00,,AUTORIZADO
99,8,30/05/2013 00:00,30/05/2013 00:00,30/05/2013 00:00,158/2013,30/05/2013 00:00,,AUTORIZADO
101,79,10/06/2013 00:00,10/06/2013 00:00,10/06/2013 00:00,0159/2013,10/06/2013 00:00,,AUTORIZADO
102,50,10/06/2013 00:00,10/06/2013 00:00,10/06/2013 00:00,0160/2013,10/06/2013 00:00,,AUTORIZADO
103,50,10/06/2013 00:00,10/06/2013 00:00,10/06/2013 00:00,0161/2013,10/06/2013 00:00,,AUTORIZADO
104,61,10/06/2013 00:00,10/06/2013 00:00,10/06/2013 00:00,0162/2013,10/06/2013 00:00,,AUTORIZADO
105,61,10/06/2013 00:00,10/06/2013 00:00,10/06/2013 00:00,0163/2013,10/06/2013 00:00,,AUTORIZADO
115,30,13/06/2013 00:00,13/06/2013 00:00,13/06/2013 00:00,0167/2013,13/06/2013 00:00,,AUTORIZADO
119,64,11/06/2013 00:00,11/06/2013 00:00,11/06/2013 00:00,0168/2013,11/06/2013 00:00,,AUTORIZADO
127,45,17/06/2013 00:00,17/06/2013 00:00,17/06/2013 00:00,0170/2013,17/06/2013 00:00,,AUTORIZADO
130,55,19/06/2013 00:00,19/06/2013 00:00,19/06/2013 00:00,0171/2013,19/06/2013 00:00,,AUTORIZADO
132,43,19/06/2013 00:00,19/06/2013 00:00,19/06/2013 00:00,0172/2013,19/06/2013 00:00,,AUTORIZADO
133,43,19/06/2013 00:00,19/06/2013 00:00,19/06/2013 00:00,0173/2013,19/06/2013 00:00,,AUTORIZADO
134,45,19/06/2013 00:00,19/06/2013 00:00,19/06/2013 00:00,0174/2013,19/06/2013 00:00,,AUTORIZADO
135,60,17/06/2013 00:00,17/06/2013 00:00,17/06/2013 00:00,0175/2013,17/06/2013 00:00,,AUTORIZADO
