Id_Estimacion,Id_Contrato,No_Estimacion,Fecha_Estimacion,Avance_Fisico,Avance_Financiero,Fecha_Inicio_Estimacion,Fecha_Termino_Estimacion,Estatus,Tipo_Estimacion,Descripcion,No_Factura,Fecha_Factura,Fecha_Recibo,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Fecha_Suspension,Fecha_Reinicio,Fecha_Ampliacion,Fecha_Prorroga,Fecha_Ultima_Inicio_Contrato,Fecha_Ultima_Termino_Contrato,Caratula_Contrato_Estimado,Caratula_Contrato_IVA,Caratula_Contrato_Total,Caratula_Contrato_Amortizacion,Caratula_Contrato_Suma,Caratula_Contrato_Descuentos,Caratula_Contrato_Deducciones,Caratula_Contrato_Neto,Caratula_Ampliacion_Estimado,Caratula_Ampliacion_IVA,Caratula_Ampliacion_Total,Caratula_Ampliacion_Amortizacion,Caratula_Ampliacion_Suma,Caratula_Ampliacion_Descuentos,Caratula_Ampliacion_Deducciones,Caratula_Ampliacion_Neto,Caratula_Totales_Estimado,Caratula_Totales_IVA,Caratula_Totales_Total,Caratula_Totales_Amortizacion,Caratula_Totales_Suma,Caratula_Totales_Descuentos,Caratula_Totales_Deducciones,Caratula_Totales_Neto,Resumen_Contrato_Importe,Resumen_Contrato_Actual,Resumen_Contrato_Anterior,Resumen_Contrato_Acumulado,Resumen_Contrato_Por_Ejercer,Resumen_Ampliacion_Importe,Resumen_Ampliacion_Actual,Resumen_Ampliacion_Anterior,Resumen_Ampliacion_Acumulado,Resumen_Ampliacion_Por_Ejercer,Resumen_Total_Importe,Resumen_Total_Actual,Resumen_Total_Anterior,Resumen_Total_Acumulado,Resumen_Total_Por_Ejercer,Amortizacion_Contrato_Porcentaje,Amortizacion_Contrato_Importe,Amortizacion_Contrato_Actual,Amortizacion_Contrato_Anterior,Amortizacion_Contrato_Acumulado,Amortizacion_Contrato_Por_Ejercer,Amortizacion_Ampliacion_Porcentaje,Amortizacion_Ampliacion_Importe,Amortizacion_Ampliacion_Actual,Amortizacion_Ampliacion_Anterior,Amortizacion_Ampliacion_Acumulado,Amortizacion_Ampliacion_Por_Ejercer,Importe_Sancion,No_Control,Id_Fuente_Inversion,Numero_Oficio_Excedentes,Fecha_Oficio_Excedentes,Fecha_Registro,Fecha_Pago,Observaciones_Caratula,Observaciones_Generales,Imprime_Observaciones_Generales,Pagada,Fecha_Nuevo_Termino_Por_Reinicio
1,2,1,28/02/2013 00:00,14.14,14.14,25/02/2013 00:00,28/02/2013 00:00,AUTORIZADA,NORMAL,EST. 1,,28/02/2013 00:00,28/02/2013 00:00,,,,,,,25/02/2013,31/03/2013,14899.88,2383.98,17283.86,0,17283.86,178.8,178.8,17105.06,0,0,0,0,0,0,0,0,14899.88,2383.98,17283.86,0,17283.86,178.8,178.8,17105.06,122192,17283.86,0,17283.86,104908.14,0,0,0,0,0,122192,17283.86,0,17283.86,104908.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0002/2013,28/02/2013 00:00,19/03/2013 00:00,31/12/2013 00:00,,,0,0,
2,5,1,28/02/2013 00:00,24.38,24.38,18/02/2013 00:00,28/02/2013 00:00,AUTORIZADA,NORMAL,EST. 1,,28/02/2013 00:00,28/02/2013 00:00,,,,,,,18/02/2013,31/03/2013,27951.45,4472.23,32423.68,0,32423.68,335.41,335.41,32088.27,0,0,0,0,0,0,0,0,27951.45,4472.23,32423.68,0,32423.68,335.41,335.41,32088.27,132981,32423.68,0,32423.68,100557.32,0,0,0,0,0,132981,32423.68,0,32423.68,100557.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0001/2013,28/02/2013 00:00,19/03/2013 00:00,31/12/2013 00:00,,,0,0,
3,3,1,28/02/2013 00:00,35.59,35.59,18/02/2013 00:00,28/02/2013 00:00,AUTORIZADA,NORMAL,EST. 1,,28/02/2013 00:00,28/02/2013 00:00,,,,,,,18/02/2013,31/03/2013,54423.46,8707.75,63131.21,0,63131.21,653.08,653.08,62478.13,0,0,0,0,0,0,0,0,54423.46,8707.75,63131.21,0,63131.21,653.08,653.08,62478.13,177403.41,63131.21,0,63131.21,114272.2,0,0,0,0,0,177403.41,63131.21,0,63131.21,114272.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1657/2013,28/02/2013 00:00,20/03/2013 00:00,31/12/2013 00:00,,,0,0,
4,3,2,15/03/2013 00:00,66.41,66.41,01/03/2013 00:00,15/03/2013 00:00,AUTORIZADA,NORMAL,EST. 2,,15/03/2013 00:00,15/03/2013 00:00,,,,,,,18/02/2013,31/03/2013,47137.99,7542.08,54680.07,0,54680.07,565.66,565.66,54114.41,0,0,0,0,0,0,0,0,47137.99,7542.08,54680.07,0,54680.07,565.66,565.66,54114.41,177403.41,54680.07,63131.21,117811.28,59592.13,0,0,0,0,0,177403.41,54680.07,63131.21,117811.28,59592.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1658/2013,15/03/2013 00:00,20/03/2013 00:00,31/12/2013 00:00,,,0,0,
5,4,1,28/02/2013 00:00,53.01,53.01,18/02/2013 00:00,28/02/2013 00:00,AUTORIZADA,NORMAL,EST. 1,,28/02/2013 00:00,28/02/2013 00:00,,,,,,,18/02/2013,31/03/2013,170065.3,27210.45,197275.75,0,197275.75,2040.78,2040.78,195234.97,0,0,0,0,0,0,0,0,170065.3,27210.45,197275.75,0,197275.75,2040.78,2040.78,195234.97,372128,197275.75,0,197275.75,174852.25,0,0,0,0,0,372128,197275.75,0,197275.75,174852.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1648/2013,28/02/2013 00:00,19/03/2013 00:00,31/12/2013 00:00,,,0,0,
6,1,1,28/02/2013 00:00,65.03,65.03,18/02/2013 00:00,28/02/2013 00:00,AUTORIZADA,NORMAL,EST. 1,,28/02/2013 00:00,28/02/2013 00:00,,,,,,,18/02/2013,31/03/2013,428996.71,68639.47,497636.18,149290.85,348345.33,5147.96,5147.96,343197.37,0,0,0,0,0,0,0,0,428996.71,68639.47,497636.18,149290.85,348345.33,5147.96,5147.96,343197.37,765271.96,497636.18,0,497636.18,267635.78,0,0,0,0,0,765271.96,497636.18,0,497636.18,267635.78,30,229581.59,149290.85,0,149290.85,80290.74,0,0,0,0,0,0,0,1,,0005/2013,28/02/2013 00:00,20/03/2013 00:00,31/12/2013 00:00,,,0,0,
7,5,2,15/03/2013 00:00,70.37,70.37,01/03/2013 00:00,15/03/2013 00:00,AUTORIZADA,NORMAL,EST. 2,,15/03/2013 00:00,15/03/2013 00:00,,,,,,,18/02/2013,31/03/2013,52724.6,8435.94,61160.54,0,61160.54,632.7,632.7,60527.84,0,0,0,0,0,0,0,0,52724.6,8435.94,61160.54,0,61160.54,632.7,632.7,60527.84,132981,61160.54,32423.68,93584.22,39396.78,0,0,0,0,0,132981,61160.54,32423.68,93584.22,39396.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0006/2013,15/03/2013 00:00,20/03/2013 00:00,31/12/2013 00:00,,,0,0,
8,2,2,15/03/2013 00:00,61.37,61.37,01/03/2013 00:00,15/03/2013 00:00,AUTORIZADA,NORMAL,EST. 2,,15/03/2013 00:00,15/03/2013 00:00,,,,,,,25/02/2013,31/03/2013,49742.67,7958.83,57701.5,0,57701.5,596.92,596.92,57104.58,0,0,0,0,0,0,0,0,49742.67,7958.83,57701.5,0,57701.5,596.92,596.92,57104.58,122192,57701.5,17283.86,74985.36,47206.64,0,0,0,0,0,122192,57701.5,17283.86,74985.36,47206.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0003/2013,15/03/2013 00:00,20/03/2013 00:00,31/12/2013 00:00,,,0,0,
9,7,1,10/03/2013 00:00,12.37,12.37,04/03/2013 00:00,10/03/2013 00:00,AUTORIZADA,NORMAL,EST. 1,,10/03/2013 00:00,10/03/2013 00:00,,,,,,,04/03/2013,27/04/2013,19959.22,3193.48,23152.7,0,23152.7,0,99.8,23052.9,0,0,0,0,0,0,0,0,19959.22,3193.48,23152.7,0,23152.7,0,99.8,23052.9,187132.14,23152.7,0,23152.7,163979.44,0,0,0,0,0,187132.14,23152.7,0,23152.7,163979.44,0,0,0,0,0,0,0,0,0,0,0,0,99.8,1,,,10/03/2013 00:00,21/03/2013 00:00,31/12/2013 00:00,,,0,0,
10,7,2,17/03/2013 00:00,34.18,34.18,11/03/2013 00:00,17/03/2013 00:00,AUTORIZADA,NORMAL,EST. 2,,17/03/2013 00:00,17/03/2013 00:00,,,,,,,04/03/2013,27/04/2013,35184.09,5629.45,40813.54,0,40813.54,0,175.92,40637.62,0,0,0,0,0,0,0,0,35184.09,5629.45,40813.54,0,40813.54,0,175.92,40637.62,187132.14,40813.54,23152.7,63966.24,123165.9,0,0,0,0,0,187132.14,40813.54,23152.7,63966.24,123165.9,0,0,0,0,0,0,0,0,0,0,0,0,175.92,1,,0007/2013,17/03/2013 00:00,21/03/2013 00:00,31/12/2013 00:00,,,0,0,
