Id_Obra,Año,Clave_Obra,Nombre,Tipo_Precio,Id_Sub_Programa,Id_Localidad,Beneficiarios,Id_Convenio,Tipo_Obra_Proyecto,Id_Sub_Tipo_Obra,Observaciones,Enviar_Para,Id_Oficio_Asignacion_Obra
295,2015,282,"SUMINISTRO Y APLICACIÓN DE PINTURA EN PUENTES VEHICULARES BLVD. M. ESCOBEDO Y AV. MIGUEL ALEMAN, BLV",Unitario,1,1,0,NULL,Obra,1,CAPTURADO 08/02/2016 ALMA,CONTRATADO,0
296,2015,276,"PAVIMENTACION DE LA CALLE LOMAS DEL SOL TRAMO: LOMAS DE BUGAMBILIAS - LOMAS DE AGUA BRAVA, COL. LOMA",Unitario,1,1,0,NULL,Obra,1,CAPTURADO 08/02/2016 ALMA,CONTRATADO,0
297,2015,275,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. 4A. ETAPA. CORREDOR TRONCAL,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 08/02/2016 ALMA,CONTRATADO,0
298,2015,268,INFRAESTRUCTURA MUNICIPAL EN LEÓN (REMODELACION DE MINIDEPORTIVA VALLE DE SEÑORA II); INFRAESTRUCTUR,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 08/02/2016 ALMA,CONTRATADO,0
299,2015,263,PROYECTO: RECTIFICACIÓN DEL ARROYO ALFARO TRAMO: BLVD. LOPEZ MATEOS A BLVD. MARIANO ESCOBEDO COLONIA,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 08/02/2016 ALMA,CONTRATADO,0
300,2015,26150,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. Y 4A. ETAPA. CORREDOR TRONC,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 29/02/2016 ALMA,CONTRATADO,0
301,2015,28150,AMPLIACION DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. Y 4A. ETAPA. CORREDOR TRONC,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 29/02/2016 ALMA,CONTRATADO,0
302,2015,72150,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. Y 4A. ETAPA. CORREDOR TRONC,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 01/03/2016 ALMA,CONTRATADO,0
303,2015,73150,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. Y 4A. ETAPA. CORREDOR TRONC,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 13/05/2015 ALMA,CONTRATADO,0
304,2015,74150,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. Y 4A. ETAPA. CORREDOR TRONC,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 01/03/2016 ALMA,CONTRATADO,0
305,2015,90150,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. Y 4A. ETAPA. CORREDOR TRONC,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 01/03/2016 ALMA,CONTRATADO,0
306,2015,73161,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEON (SIT OPTIBUS) 3A Y 4A ETAPA (3RA ETAPA VIALID,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 21/04/2016 ALMA,CONTRATADO,0
307,2015,71160,AMPLIACION DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. Y 4A. ETAPA. CORREDOR TRONC,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 21/04/2016 ALMA,CONTRATADO,0
308,2015,16916,PAVIMENTACIÓN CALLE MADRE MAURA TRAMO: MADRE MARINA A CERRO DEL SOYATE COL. LA GLORIA,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 27/4/2016 ALMA,CONTRATADO,0
309,2015,90160,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. Y 4A. ETAPA. CORREDOR TRONC,Unitario,1,1,0,NULL,Obra,1,CQAPTURADO 05/05/2016 ALMA,CONTRATADO,0
310,2015,11216,PLAZA COMUNITARIA VILLA DE LAS FLORES,Unitario,1,1,0,NULL,Obra,1,12/07/2016  ADRIAN,CONTRATOS,0
311,2015,16090,AMPLIACION DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEON (SIT OPTIBUS) 3A Y 4A ETAPA CORREDOR TRONCAL,Unitario,1,1,0,NULL,Obra,1,25/07/16  ADRIAN,CONTRATADO,0
312,2015,16074,AMPLIACION DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEON (SIT OPTIBUS) 3A Y 4A ETAPA CORREDOR TRONCAL,Unitario,1,1,0,NULL,Obra,1,25/07/2016  ADRIAN,CONTRATADO,0
313,2015,16163,AMPLIACION DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEON (SIT OPTIBUS) 3RA. ETAPA TERMINAL MARAVILLAS,Unitario,1,1,0,NULL,Obra,1,25/07/2016  ADRIAN,CONTRATADO,0
