Id_Estimacion,Id_Contrato,No_Estimacion,Fecha_Estimacion,Avance_Fisico,Avance_Financiero,Fecha_Inicio_Estimacion,Fecha_Termino_Estimacion,Estatus,Tipo_Estimacion,Descripcion,No_Factura,Fecha_Factura,Fecha_Recibo,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Fecha_Suspension,Fecha_Reinicio,Fecha_Ampliacion,Fecha_Prorroga,Fecha_Ultima_Inicio_Contrato,Fecha_Ultima_Termino_Contrato,Caratula_Contrato_Estimado,Caratula_Contrato_IVA,Caratula_Contrato_Total,Caratula_Contrato_Amortizacion,Caratula_Contrato_Suma,Caratula_Contrato_Descuentos,Caratula_Contrato_Deducciones,Caratula_Contrato_Neto,Caratula_Ampliacion_Estimado,Caratula_Ampliacion_IVA,Caratula_Ampliacion_Total,Caratula_Ampliacion_Amortizacion,Caratula_Ampliacion_Suma,Caratula_Ampliacion_Descuentos,Caratula_Ampliacion_Deducciones,Caratula_Ampliacion_Neto,Caratula_Totales_Estimado,Caratula_Totales_IVA,Caratula_Totales_Total,Caratula_Totales_Amortizacion,Caratula_Totales_Suma,Caratula_Totales_Descuentos,Caratula_Totales_Deducciones,Caratula_Totales_Neto,Resumen_Contrato_Importe,Resumen_Contrato_Actual,Resumen_Contrato_Anterior,Resumen_Contrato_Acumulado,Resumen_Contrato_Por_Ejercer,Resumen_Ampliacion_Importe,Resumen_Ampliacion_Actual,Resumen_Ampliacion_Anterior,Resumen_Ampliacion_Acumulado,Resumen_Ampliacion_Por_Ejercer,Resumen_Total_Importe,Resumen_Total_Actual,Resumen_Total_Anterior,Resumen_Total_Acumulado,Resumen_Total_Por_Ejercer,Amortizacion_Contrato_Porcentaje,Amortizacion_Contrato_Importe,Amortizacion_Contrato_Actual,Amortizacion_Contrato_Anterior,Amortizacion_Contrato_Acumulado,Amortizacion_Contrato_Por_Ejercer,Amortizacion_Ampliacion_Porcentaje,Amortizacion_Ampliacion_Importe,Amortizacion_Ampliacion_Actual,Amortizacion_Ampliacion_Anterior,Amortizacion_Ampliacion_Acumulado,Amortizacion_Ampliacion_Por_Ejercer,Importe_Sancion,No_Control,Id_Fuente_Inversion,Numero_Oficio_Excedentes,Fecha_Oficio_Excedentes,Fecha_Registro,Fecha_Pago,Observaciones_Caratula,Observaciones_Generales,Imprime_Observaciones_Generales,Pagada,Fecha_Nuevo_Termino_Por_Reinicio
1,12,1,13/02/2015 00:00,53.01,53.01,09/02/2015 00:00,13/02/2015 00:00,AUTORIZADA,NORMAL,EST. 1,,13/02/2015 00:00,13/02/2015 00:00,,,,,04/04/2015,,09/02/2015,04/04/2015,46610.54,7457.69,54068.23,0,54068.23,0,233.05,53835.18,0,0,0,0,0,0,0,0,46610.54,7457.69,54068.23,0,54068.23,0,233.05,53835.18,102003.29,54068.23,0,54068.23,47935.06,4367.79,0,0,0,4367.79,106371.08,54068.23,0,54068.23,52302.85,0,0,0,0,0,0,0,0,0,0,0,0,233.05,1,,,13/02/2015 00:00,17/02/2015 00:00,31/12/2015 00:00,,,0,0,
2,11,1,09/02/2015 00:00,88.32,88.32,09/02/2015 00:00,09/02/2015 00:00,AUTORIZADA,NORMAL,EST. 1,,09/02/2015 00:00,09/02/2015 00:00,,,,,,,09/02/2015,19/02/2015,80668.17,12906.91,93575.08,0,93575.08,0,9276.84,84298.24,0,0,0,0,0,0,0,0,80668.17,12906.91,93575.08,0,93575.08,0,9276.84,84298.24,105947.87,93575.08,0,93575.08,12372.79,0,0,0,0,0,105947.87,93575.08,0,93575.08,12372.79,0,0,0,0,0,0,0,0,0,0,0,0,9276.84,1,,,09/02/2015 00:00,19/02/2015 00:00,31/12/2015 00:00,,,0,0,
3,11,1,10/02/2015 00:00,100,96.58,09/02/2015 00:00,09/02/2015 00:00,AUTORIZADA,COMPLEMENTARIA,1-A FINIQUITO COMPLEMENTARIA,,10/02/2015 00:00,10/02/2015 00:00,,,,,,,09/02/2015,19/02/2015,7545.72,1207.32,8753.04,0,8753.04,0,867.76,7885.28,0,0,0,0,0,0,0,0,7545.72,1207.32,8753.04,0,8753.04,0,867.76,7885.28,105947.87,8753.04,93575.08,102328.12,3619.75,0,0,0,0,0,105947.87,8753.04,93575.08,102328.12,3619.75,0,0,0,0,0,0,0,0,0,0,0,0,867.76,1,,,10/02/2015 00:00,23/02/2015 00:00,31/12/2015 00:00,,,0,0,
4,1,1,31/01/2015 00:00,8.1,8.1,26/01/2015 00:00,31/01/2015 00:00,AUTORIZADA,NORMAL,EST. 1,,31/01/2015 00:00,31/01/2015 00:00,,,,,,,26/01/2015,25/04/2015,38507.56,6161.21,44668.77,13400.63,31268.14,462.1,462.1,30806.04,0,0,0,0,0,0,0,0,38507.56,6161.21,44668.77,13400.63,31268.14,462.1,462.1,30806.04,551348.15,44668.77,0,44668.77,506679.38,0,0,0,0,0,551348.15,44668.77,0,44668.77,506679.38,30,165404.45,13400.63,0,13400.63,152003.82,0,0,0,0,0,0,0,1,,0982/2014,31/01/2015 00:00,27/02/2015 00:00,31/12/2015 00:00,,,0,0,
5,2,1,27/02/2015 00:00,36.24,36.24,16/02/2015 00:00,27/02/2015 00:00,AUTORIZADA,NORMAL,EST. 1,,27/02/2015 00:00,27/02/2015 00:00,,,,,,,16/02/2015,11/04/2015,54269.05,8683.05,62952.1,0,62952.1,0,271.35,62680.75,0,0,0,0,0,0,0,0,54269.05,8683.05,62952.1,0,62952.1,0,271.35,62680.75,173688.5,62952.1,0,62952.1,110736.4,0,0,0,0,0,173688.5,62952.1,0,62952.1,110736.4,0,0,0,0,0,0,0,0,0,0,0,0,271.35,1,,0001/2015,27/02/2015 00:00,02/03/2015 00:00,31/12/2015 00:00,,,0,0,
6,7,1,28/02/2015 00:00,23.55,16.15,16/02/2015 00:00,28/02/2015 00:00,AUTORIZADA,NORMAL,EST. 1,,28/02/2015 00:00,28/02/2015 00:00,,,,,16/04/2015,23/05/2015,16/02/2015,23/05/2015,44287.44,7085.99,51373.43,0,51373.43,0,221.44,51151.99,0,0,0,0,0,0,0,0,44287.44,7085.99,51373.43,0,51373.43,0,221.44,51151.99,218161.72,51373.43,0,51373.43,166788.29,37950.48,0,0,0,37950.48,256112.2,51373.43,0,51373.43,204738.77,0,0,0,0,0,0,0,0,0,0,0,0,221.44,1,,,28/02/2015 00:00,05/03/2015 00:00,31/12/2015 00:00,,,0,0,
7,8,1,28/02/2015 00:00,37.54,37.54,16/02/2015 00:00,28/02/2015 00:00,AUTORIZADA,NORMAL,EST. 1,,28/02/2015 00:00,28/02/2015 00:00,,,,,,15/05/2015,16/02/2015,15/05/2015,92087.38,14733.98,106821.36,32046.41,74774.95,0,460.44,74314.51,0,0,0,0,0,0,0,0,92087.38,14733.98,106821.36,32046.41,74774.95,0,460.44,74314.51,284571.4,106821.36,0,106821.36,177750.04,0,0,0,0,0,284571.4,106821.36,0,106821.36,177750.04,30,85371.42,32046.41,0,32046.41,53325.01,0,0,0,0,0,0,460.44,1,,,28/02/2015 00:00,05/03/2015 00:00,31/12/2015 00:00,,,0,0,
8,12,2,28/02/2015 00:00,86.46,86.46,14/02/2015 00:00,28/02/2015 00:00,AUTORIZADA,NORMAL,EST. 2,,28/02/2015 00:00,28/02/2015 00:00,,,,,04/04/2015,,09/02/2015,04/04/2015,29420.87,4707.34,34128.21,0,34128.21,0,147.1,33981.11,0,0,0,0,0,0,0,0,29420.87,4707.34,34128.21,0,34128.21,0,147.1,33981.11,102003.29,34128.21,54068.23,88196.44,13806.85,4367.79,0,0,0,4367.79,106371.08,34128.21,54068.23,88196.44,18174.64,0,0,0,0,0,0,0,0,0,0,0,0,147.1,1,,0002/2015,28/02/2015 00:00,06/03/2015 00:00,31/12/2015 00:00,,,0,0,
9,4,1,31/01/2015 00:00,7.85,7.85,26/01/2015 00:00,31/01/2015 00:00,AUTORIZADA,NORMAL,EST. 1,,31/01/2015 00:00,31/01/2015 00:00,,,,,25/05/2015,,26/01/2015,25/05/2015,55250.65,8840.1,64090.75,19227.23,44863.52,663.01,663.01,44200.51,0,0,0,0,0,0,0,0,55250.65,8840.1,64090.75,19227.23,44863.52,663.01,663.01,44200.51,815994.41,64090.75,0,64090.75,751903.66,96321.22,0,0,0,96321.22,912315.63,64090.75,0,64090.75,848224.88,30,244798.32,19227.23,0,19227.23,225571.09,0,0,0,0,0,0,0,1,,0003/2015,31/01/2015 00:00,10/03/2015 00:00,31/12/2015 00:00,,,0,0,
10,1,2,28/02/2015 00:00,34.75,34.75,01/02/2015 00:00,28/02/2015 00:00,AUTORIZADA,NORMAL,EST. 2,,28/02/2015 00:00,28/02/2015 00:00,,,,,,,26/01/2015,25/04/2015,126673.24,20267.72,146940.96,44082.29,102858.67,1520.08,1520.08,101338.59,0,0,0,0,0,0,0,0,126673.24,20267.72,146940.96,44082.29,102858.67,1520.08,1520.08,101338.59,551348.15,146940.96,44668.77,191609.73,359738.42,0,0,0,0,0,551348.15,146940.96,44668.77,191609.73,359738.42,30,165404.45,44082.29,13400.63,57482.92,107921.53,0,0,0,0,0,0,0,1,,0005/2015,28/02/2015 00:00,10/03/2015 00:00,31/12/2015 00:00,,,0,0,
