Id_Contrato_Descuento,Id_Contrato,Id_Descuento,Importe
194,115,3,0.01
322,221,1,0.002
243,136,3,0.01
88,54,1,0.002
376,237,3,0.01
87,73,3,0.01
217,153,4,0.005
375,237,1,0.002
40,63,2,0.005
531,359,1,0.002
56,35,1,0.002
221,139,2,0.005
406,247,3,0.01
30567,370,2,0.005
60,32,1,0.002
79,59,3,0.01
420,275,1,0.002
348,198,3,0.01
203,120,3,0.01
417,230,4,0.005
4,3,3,0.01
13,8,4,0.005
30,21,1,0.002
426,252,1,0.002
323,221,3,0.01
342,227,1,0.002
100581,385,2,0.005
415,251,1,0.002
472,304,2,0.005
519,311,1,0.002
2,4,3,0.01
62,33,1,0.002
392,260,3,0.01
432,273,1,0.002
80566,376,1,0.002
39,27,3,0.01
63,33,3,0.01
92,39,1,0.002
369,234,1,0.002
218,143,2,0.005
291,229,3,0.01
401,245,1,0.002
20,15,1,0.002
201,126,3,0.01
5,1,1,0.002
44,67,2,0.005
136,88,4,0.005
505,316,3,0.01
523,319,2,0.005
541,356,2,0.005
534,360,3,0.01
399,244,1,0.002
126,96,2,0.005
367,258,1,0.002
33,24,3,0.01
333,214,3,0.01
353,201,4,0.005
549,337,2,0.005
73,41,4,0.005
154,99,1,0.002
283,191,3,0.01
71,43,1,0.002
267,170,2,0.005
482,317,1,0.002
248,156,2,0.005
418,264,1,0.002
20566,368,2,0.005
153,145,4,0.005
296,172,4,0.005
449,279,3,0.01
210,125,2,0.005
287,176,3,0.01
515,309,1,0.002
559,340,2,0.005
403,246,1,0.002
480,306,1,0.002
528,278,3,0.01
176,107,1,0.002
264,181,2,0.005
359,204,4,0.005
533,360,1,0.002
192,116,3,0.01
141,83,1,0.002
500,318,1,0.002
205,121,3,0.01
326,212,4,0.005
125,50,3,0.01
128,98,2,0.005
100576,382,2,0.005
553,338,2,0.005
102,90,3,0.01
407,254,1,0.002
80,74,1,0.002
30569,371,2,0.005
274,169,1,0.002
431,266,3,0.01
7,5,4,0.005
146,86,3,0.01
321,224,3,0.01
60566,294,7,0.01
10,2,4,0.005
100,47,4,0.005
122,75,1,0.002
3,3,1,0.002
98,45,4,0.005
135,84,3,0.01
552,345,2,0.005
509,326,3,0.01
389,259,1,0.002
494,313,1,0.002
543,346,2,0.005
545,347,2,0.005
213,122,1,0.002
518,310,3,0.01
110,48,1,0.002
495,313,3,0.01
293,184,3,0.01
496,314,1,0.002
187,155,3,0.01
448,279,1,0.002
105,49,1,0.002
219,144,2,0.005
510,327,1,0.002
234,151,1,0.002
292,184,1,0.002
34,25,1,0.002
81,74,3,0.01
90568,378,1,0.002
246,162,4,0.005
100585,389,2,0.005
451,291,4,0.005
99,46,4,0.005
186,155,1,0.002
516,309,3,0.01
90571,379,3,0.01
200,126,1,0.002
310,253,4,0.005
173,105,3,0.01
343,227,3,0.01
410,250,3,0.01
271,179,3,0.01
281,190,3,0.01
351,206,1,0.002
237,142,2,0.005
419,264,3,0.01
473,312,1,0.002
525,277,1,0.002
49,29,4,0.005
300,173,4,0.005
470,307,2,0.005
280,190,1,0.002
259,167,3,0.01
440,283,1,0.002
152,82,4,0.005
119,70,2,0.005
50,36,4,0.005
121,72,2,0.005
142,83,3,0.01
86,73,1,0.002
178,108,1,0.002
330,218,1,0.002
143,269,4,0.005
229,174,3,0.01
50567,324,6,0.1
163,104,3,0.01
297,194,1,0.002
450,290,4,0.005
550,343,2,0.005
100575,381,2,0.005
511,327,3,0.01
103,68,2,0.005
423,249,3,0.01
133,79,3,0.01
59,37,3,0.01
147,81,1,0.002
424,248,1,0.002
490,297,1,0.002
64,31,4,0.005
268,189,2,0.005
437,282,3,0.01
253,165,4,0.005
118,69,2,0.005
80568,377,2,0.005
8,6,4,0.005
107,58,4,0.005
557,351,2,0.005
349,197,1,0.002
245,150,3,0.01
60567,294,6,0.1
307,220,3,0.01
284,193,4,0.005
501,318,3,0.01
537,363,2,0.005
211,130,2,0.005
97,44,3,0.01
428,267,1,0.002
15,10,4,0.005
238,135,1,0.002
454,281,2,0.005
513,328,3,0.01
414,265,3,0.01
53,60,2,0.005
422,249,1,0.002
106,49,3,0.01
151,87,4,0.005
212,149,2,0.005
247,154,4,0.005
346,205,4,0.005
19,14,4,0.005
94,52,1,0.002
337,213,3,0.01
402,245,3,0.01
40567,373,2,0.005
61,32,3,0.01
522,295,3,0.01
183,140,4,0.005
394,261,3,0.01
442,271,1,0.002
25,18,2,0.005
456,286,4,0.005
100584,388,2,0.005
241,141,3,0.01
278,185,1,0.002
31,21,3,0.01
520,311,3,0.01
67,34,1,0.002
165,112,3,0.01
476,330,1,0.002
487,296,3,0.01
548,354,2,0.005
360,255,2,0.005
150,89,3,0.01
42,65,2,0.005
286,176,1,0.002
325,208,3,0.01
263,180,2,0.005
352,206,3,0.01
69,40,1,0.002
361,232,2,0.005
562,357,2,0.005
43,66,2,0.005
149,89,1,0.002
179,108,3,0.01
232,131,1,0.002
254,163,1,0.002
206,119,1,0.002
276,168,1,0.002
547,353,2,0.005
12,16,3,0.01
74,51,1,0.002
190,118,3,0.01
331,218,3,0.01
357,203,1,0.002
416,251,3,0.01
524,276,2,0.005
52,36,6,0.1
443,271,3,0.01
155,99,3,0.01
123,75,3,0.01
124,50,1,0.002
162,104,1,0.002
41,64,2,0.005
195,117,1,0.002
540,355,2,0.005
93,39,3,0.01
188,114,4,0.005
100574,380,2,0.005
266,182,2,0.005
433,273,3,0.01
16,11,4,0.005
132,79,1,0.002
362,233,2,0.005
257,166,3,0.01
167,109,3,0.01
282,191,1,0.002
538,362,2,0.005
182,106,4,0.005
236,158,2,0.005
189,118,1,0.002
216,159,3,0.01
347,198,1,0.002
386,242,3,0.01
181,128,3,0.01
373,236,1,0.002
477,330,3,0.01
272,192,1,0.002
481,306,3,0.01
