Id_Descuento_Adicional,Id_Estimacion,Nombre,Importe
1,1,C.N.E.C.,233.05
2,2,C.N.E.C.,403.34
3,2,ISR,8066.82
6,3,ISR,754.57
7,3,CEDULAR,75.46
12,11,C.N.E.C.,334.74
14,14,C.N.E.C.,95.81
27,34,C.N.E.C.,124.55
28,35,C.N.E.C.,171.72
30,38,C.N.E.C.,472.02
31,39,C.N.E.C.,575.66
33,50,C.N.E.C.,365.66
34,51,C.N.E.C.,310.78
36,55,C.N.E.C.,282.78
37,61,SANCION,15948
38,67,C.N.E.C.,25.95
47,98,C.N.E.C.,155.94
49,101,C.N.E.C.,48.68
56,132,C.N.E.C.,125.97
57,133,C.N.E.C.,42.79
59,138,C.N.E.C.,556.41
60,139,C.N.E.C.,277.08
59,138,C.N.E.C.,556.41
60,139,C.N.E.C.,277.08
72,189,C.N.E.C.,325.16
73,190,C.N.E.C.,708.95
75,197,C.N.E.C.,260.26
76,204,C.N.E.C.,87.75
78,211,C.N.E.C.,124.36
79,225,C.N.E.C.,118.11
86,263,SANCION,11627.72
90,280,C.N.E.C.,43.74
91,281,C.N.E.C.,93.41
93,285,C.N.E.C.,269.16
94,289,C.N.E.C.,205.83
96,297,C.N.E.C.,270.63
97,303,C.N.E.C.,404.14
105,348,SANCIÓN,51218.72
106,356,C.N.E.C.,448.72
108,374,C.N.E.C.,352.09
110,391,C.N.E.C.,495.13
112,409,SANCION,8456.56
113,426,10 % I.S.R.,121.52
114,426,1% IMP. CEDULAR,12.15
123,451,SANCION,12109.48
125,454,C.N.E.C.,396.63
126,470,C.N.E.C.,133.42
128,482,I.S.R.  10%,15692.27
129,482,CEDULAR 1%,1569.22
133,521,C.N.E.C.,43.74
134,522,C.N.E.C.,93.41
136,526,C.N.E.C.,128.59
137,532,C.N.E.C.,441.51
139,548,C.N.E.C.,172.34
140,566,C.N.E.C.,65.4
142,583,C.N.E.C.,176.16
143,586,C.N.E.C.,1181.3
144,596,SANCION,4210.82
150,666,C.N.E.C.,100.41
152,671,C.N.E.C.,1118.46
155,681,C.N.E.C.,98.47
157,683,C.N.E.C.,470.49
158,687,C.N.E.C.,655.14
159,693,C.N.E.C.,655.14
161,698,C.N.E.C.,126.37
162,702,C.N.E.C.,419.85
171,728,C.N.E.C.,898.41
175,737,C.N.E.C.,300.56
176,741,SANCION,18113.92
177,749,SANCION,18113.92
179,765,SANCION,18403.63
180,772,C.N.E.C.,61.3
181,773,C.N.E.C.,509.08
185,789,C.N.E.C.,76.2
190,849,SANCION,17384.8
191,849,RETENCIONES,11914.17
192,895,SANCION,9975.86
203,958,C.N.E.C.,119.54
204,960,C.N.E.C.,79.7
206,994,SANCIÓN,8493.54
211,1005,ISR,925.77
212,1005,CEDULAR,92.58
213,1008,C.N.E.C.,256.2
214,1008,RETENCIONES,6917.9
216,1010,SANCION,16824
218,1019,SANCION,16824
219,1020,C.N.E.C.,59.11
220,1021,I.S.R.,12936
221,1021,CEDULAR,1293.6
222,1022,C.N.E.C.,97.01
223,1027,C.N.E.C.,54.92
224,1027,I S R,1098.33
227,1031,I S R,2828.03
228,1031,CEDULAR,282.8
229,1050,SANCION,28388.53
230,1053,SANCION,17384.8
231,1061,C.N.E.C.,505.47
233,1061,IMP. CEDULAR,1010.93
236,1075,IMP. CEDULAR,296.28
237,1091,SANCION,16945.28
242,1109,I S R,8723.95
243,1109,CEDULAR,872.4
247,1124,I S R,3980.46
248,1124,CEDULAR,398.05
249,1125,C.N.E.C.,18.88
250,1125,I S R,377.64
251,1125,CEDULAR,37.76
252,1126,C.N.E.C.,144.89
253,1126,RETENCIONES,2926.44
254,1140,SANCION,16945.28
255,1141,C.N.E.C.,199.51
256,1141,I.S.R.,2793.15
257,1141,IMP. CEDULAR,279.31
258,1143,C.N.E.C.,22.27
259,1143,I.S.R.,445.42
260,1143,IMP. CEDULAR,44.54
261,1150,SANCION,9045.49
262,1151,SANCION,9045.49
263,1157,SANCION,23.39
264,1159,SANCIÓN,4795.69
266,1192,I.S.R.,12097.57
267,1192,IMP. CEDULAR,1209.76
269,1195,I.S.R.,7857.82
270,1195,IMP. CEDULAR,785.78
271,1198,SANCIÓN,16945.28
272,1199,SANCION,28945.81
273,1205,C.N.E.C.,21.35
276,1209,C.N.E.C.,13.56
277,1222,SANCION,10051.78
279,1232,I.S.R,1636.31
280,1232,IMP. CEDULAR,163.63
282,1239,C.N.E.C.,251.74
283,1244,REINTEGRO SANCI,-4210.82
284,1246,C.N.E.C.,107.33
288,1264,SANCION,125.36
289,1264,*SANCION,18113.92
290,1265,C.N.E.C.,51.73
291,1274,I S R,6856.67
292,1274,CEDULAR,685.67
293,1293,SANCION DEFINIT,9257.31
294,1313,C.N.E.C.,122.37
296,1317,SANCIÓN,10000
297,1318,SANCIÓN,10281.12
298,1320,SANCION DEFINIT,138
299,1323,C.N.E.C.,888.71
300,1323,1% CEDULAR,1244.19
301,1323,10% I.S.R.,12441.91
302,1331,SANCIÓN,15000
303,1339,C.N.E.C.,280.38
305,1341,C.N.E.C.,237.5
306,1342,C.N.E.C.,6.22
308,1374,SANCIÓN,23007.6
309,1376,C.N.E.C.,111.13
310,1376,I.S.R.,1555.78
311,1376,IMP. CEDULAR,155.57
313,1380,SANCION 1,247.43
314,1380,SANCION 2,18113.92
315,1389,SANCION,4447.65
316,1390,SANCION,2882.02
317,1391,SANCION,1622.34
318,1392,SANCION,2700.09
320,1402,PENA CONVENCION,243009.62
321,1416,SANCION,7860.57
322,1423,C.N.E.C.,283.84
323,1423,I S R,3973.8
324,1423,CEDULAR,397.38
325,1439,C.N.E.C.,178.4
326,1439,10% I.S.R.,2497.55
327,1439,IMP. CEDULAR,249.75
328,1453,C.N.E.C.,27.63
329,1455,C.N.E.C.,320.45
330,1456,C.N.E.C.,383.2
331,1458,SANCIÓN,27794.98
332,1470,C.N.E.C.,113.98
333,1471,C.N.E.C.,130.51
334,1472,C.N.E.C.,145.67
335,1475,SANCIÓN,18113.92
336,1482,I S R,17998.91
337,1482,CEDULAR,1799.9
338,1489,C.N.E.C.,642.55
339,1491,C.N.E.C.,352.11
340,1491,I.S.R,4929.52
341,1491,IMP. CEDULAR,492.95
343,1506,C.N.E.C.,468.02
344,1506,1% CEDULAR,655.22
345,1506,10% I.S.R.,6552.23
346,1515,C.N.E.C.,270.31
347,1515,I S R,3784.37
348,1515,CEDULAR,378.44
349,1516,SANCION PROVISI,8926.26
350,1520,SANCION,8879.18
351,1521,C.N.E.C.,279.02
352,1521,I.S.R.,3906.23
353,1521,IMP. CEDULAR,390.62
354,1526,SANCIÓN,5215.91
355,1527,C.N.E.C.,282.13
356,1528,C.N.E.C.,61.33
357,1561,C.N.E.C.,504.15
358,1561,I.S.R.,7058.15
359,1561,IMP. CEDULAR,705.81
360,1565,C.N.E.C.,481.52
361,1565,I S R,6741.29
362,1565,CEDULAR,674.13
363,1566,C.N.E.C.,496.96
364,1566,I S R,6957.41
365,1566,CEDULAR,695.75
366,1572,C.N.E.C.,284.41
368,1572,IMPUESTO CEDULA,344.86
369,1579,SANCIÓN,7076.22
370,1580,SANCIÓN,8491.47
371,1591,SANCION,6110.78
372,1596,C.N.E.C.,276.73
373,1602,C.N.E.C.,466.14
374,1602,1% CEDULAR,652.6
375,1602,10% I.S.R.,6525.96
376,1604,C.N.E.C.,203.92
377,1629,I S R,37417.89
378,1629,CEDULAR,3741.79
379,1667,C.N.E.C.,639.67
380,1667,I.S.R.,8955.41
381,1667,IMP. CEDULAR,895.54
382,1677,C.N.E.C.,397.36
384,1677,IMP. CEDULAR,556.31
385,1688,C.N.E.C.,431.83
386,1689,C.N.E.C.,1185.75
387,1689,I S R,16600.46
