Id_Obra_Recurso,Id_Obra,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Observaciones,Movimiento,No_Registro_Obrasi,Numero_Oficio,Fecha_Oficio
1,4,1,100,815994.41,,INICIAL,4,S/N,02/01/2015 00:00
2,4,1,100,96321.22,,AMPLIACION,104,S/N AMPLIACION,02/01/2015 00:00
3,3,1,100,578838.23,,INICIAL,3,S/N,02/01/2015 00:00
4,1,1,100,551348.15,,INICIAL,1,S/N,02/01/2015 00:00
5,1,1,100,4367.79,,AMPLIACION,27,S/N AMPLIACION,02/01/2015 00:00
6,5,1,100,283003.31,,INICIAL,5,S/N,02/01/2015 00:00
7,6,1,100,218447.41,,INICIAL,6,S/N,02/01/2015 00:00
8,7,1,100,218161.72,,INICIAL,7,S/N,02/01/2015 00:00
9,7,1,100,37950.48,,AMPLIACION,85,S/N AMPLIACIO0N,02/01/2015 00:00
10,2,1,100,173688.5,,INICIAL,2,S/N,02/01/2015 00:00
11,16,1,100,2441618.49,,INICIAL,16,S/N,02/01/2015 00:00
12,8,1,100,284571.4,,INICIAL,8,S/N,02/01/2015 00:00
13,9,1,100,241629.43,,INICIAL,9,S/N,02/01/2015 00:00
14,10,1,100,281552.89,,INICIAL,10,S/N,02/01/2015 00:00
15,11,2,100,105947.87,,INICIAL,11,S/N,02/01/2015 00:00
16,12,1,100,102003.29,,INICIAL,12,S/N,02/01/2015 00:00
17,12,1,100,4367.79,,AMPLIACION,28,S/N AMPLIACION,02/01/2015 00:00
18,13,1,100,86846.06,,INICIAL,13,S/N,02/01/2015 00:00
19,14,1,100,266088.32,,INICIAL,14,S/N,02/01/2015 00:00
20,15,3,100,54979996.75,,INICIAL,15,S/N,02/01/2015 00:00
21,15,3,100,5020003.25,,AMPLIACION,88,S/N AMPLIACION,02/01/2015 00:00
22,17,1,100,218161.72,,INICIAL,17,S/N,02/01/2015 00:00
23,19,1,100,890507.23,,INICIAL,19,S/N,02/01/2015 00:00
24,18,4,100,326950.09,,INICIAL,18,S/N,02/01/2015 00:00
25,18,4,100,33408.08,,AMPLIACION,158,S/N AMPLIACION,02/01/2015 00:00
26,20,5,100,2695614.62,,INICIAL,20,S/N,02/01/2015 00:00
27,24,1,100,73203.95,,INICIAL,24,S/N,02/01/2015 00:00
28,22,7,100,301378.53,,INICIAL,22,S/N,02/01/2015 00:00
29,22,7,100,146014.05,,AMPLIACION,86,S/N AMPLIACION,02/01/2015 00:00
30,21,6,100,5189713.28,,INICIAL,21,S/N,02/01/2015 00:00
31,23,1,100,758038.92,,INICIAL,23,S/N,02/01/2015 00:00
32,60,14,100,9869573.28,,INICIAL,61,S/N,02/01/2015 00:00
33,60,14,100,2169840.37,,AMPLIACION,403,S/N AMPLIACION,02/01/2015 00:00
34,61,14,100,12102600.51,,INICIAL,62,S/N,02/01/2015 00:00
35,62,14,100,14637212.75,,INICIAL,63,S/N,02/01/2015 00:00
36,62,14,100,3599979.9,,INICIAL,404,,08/11/2016 00:00
37,63,14,100,25156427.85,,INICIAL,64,S/N,02/01/2015 00:00
38,63,14,100,5000000,,AMPLIACION,407,S/N AMPLIACION,02/01/2015 00:00
39,64,14,100,15685719.13,,INICIAL,65,S/N,02/01/2015 00:00
40,64,14,100,3525669,,INICIAL,405,S/N APLIACION,02/01/2015 00:00
41,25,8,100,777803.12,,INICIAL,25,S/N,02/01/2015 00:00
42,27,10,100,339582.34,,INICIAL,29,S/N,02/01/2015 00:00
43,27,10,100,62470.89,,AMPLIACION,161,S/N AMPLIACION,02/01/2015 00:00
44,26,9,100,330303.09,,INICIAL,26,S/N,02/01/2015 00:00
45,33,9,100,450586.56,,INICIAL,35,S/N,02/01/2015 00:00
46,57,14,100,31401152.27,,INICIAL,58,S/N,02/01/2015 00:00
47,57,14,100,79836699.16,,AMPLIACION,360,S/N AMPLIACION,02/01/2015 00:00
48,58,14,100,50979787.53,,INICIAL,59,S/N,02/01/2015 00:00
49,59,14,100,15507793.48,,INICIAL,60,S/N,02/01/2015 00:00
50,59,14,100,3861440.71,,AMPLIACION,406,S/N AMPLIACION,02/01/2015 00:00
51,32,10,100,1252017.13,,INICIAL,34,S/N,02/01/2015 00:00
52,34,1,100,1293359.4,,INICIAL,36,S/N,02/01/2015 00:00
53,29,10,100,2848570.7,,INICIAL,31,S/N,02/01/2015 00:00
54,30,6,100,2214530.56,,INICIAL,32,S/N,02/01/2015 00:00
55,28,2,100,316265.61,,INICIAL,30,S/N,02/01/2015 00:00
56,28,2,100,51259.11,,AMPLIACION,223,S/N AMPLIACION,02/01/2015 00:00
57,50,6,100,1487273.75,,INICIAL,52,S/N,02/01/2015 00:00
58,31,6,100,2734044.18,,INICIAL,33,S/N,02/01/2015 00:00
59,31,6,100,385835.83,,AMPLIACION,331,S/N AMPLIACION,02/01/2015 00:00
60,37,10,100,2374212.46,,INICIAL,39,S/N,02/01/2015 00:00
61,40,11,100,1239909.55,,INICIAL,42,S/N,02/01/2015 00:00
62,40,74,100,134966.94,,AMPLIACION,329,S/N AMPLIACION,02/01/2015 00:00
