Id_Contrato_Recurso,Id_Contrato,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Id_Contrato_Ampliacion
318,273,65,100,208168.1,
415,335,14,100,1246.84,
446,357,14,100,7759.91,
74,75,13,100,595193.42,
314,270,54,100,113738.69,
100483,66,14,100,5000000,84
281,244,40,100,310830.42,
115,111,26,100,235927.77,
58,59,12,100,251895.53,
197,179,45,100,1000289.95,
91,89,18,100,399963.27,
155,151,36,48,469212.13,
219,189,42,37.5,445223.08,
17,18,4,100,326950.09,
69,70,14,100,16991328.32,
94,56,8,100,112088.48,
356,295,66,100,40349.82,
108,104,22,100,1802419.77,
137,133,1,100,1352431.63,
427,239,40,100,21902.53,55
371,304,80,100,1309175.22,
220,189,44,25,296815.37,
286,249,52,100,3974466.59,
100,96,14,100,7063205.05,
282,245,40,100,233597.15,
78,79,10,100,522727.22,
99,95,14,100,9721235.46,
100492,386,14,100,1545430.25,
167,159,1,100,965710.72,
192,176,45,100,1137062.94,
30,12,1,100,4367.79,1
52,51,1,100,2319670.8,
352,142,61,100,87791.27,35
244,208,1,100,693118.48,
249,213,40,100,829750.46,
439,351,14,100,9864.49,
1,1,1,100,551348.15,
46,45,1,100,190249.46,
181,170,43,37.5,430975.49,
151,147,30,100,3476612.61,
100491,385,14,100,1499373.68,
330,281,68,100,2285904.82,27
176,164,39,100,144106.28,
364,290,1,100,100484.55,
162,155,1,100,1453138.39,
308,265,51,100,1399717.71,
146,142,30,100,417289.27,
55,54,8,100,600190.6,
116,112,1,100,1020363.75,
245,209,1,100,1370695.74,
161,104,22,100,154259.34,7
193,177,46,100,778938.17,
114,110,10,100,524906.39,
185,171,42,50,337596.34,
216,187,1,100,203891.57,
317,128,23,100,1097958.69,23
311,267,51,100,157286.11,
325,278,61,100,1552.09,
458,319,93,100,808357.52,67
296,255,58,71,1750260.01,
28,28,8,100,777803.12,
267,231,20,100,1043151.87,
301,260,40,100,262983.97,
253,219,20,100,428789.39,
160,18,4,100,33408.08,6
315,271,40,100,322508.7,
110,106,20,100,198893.05,
80479,377,14,100,4905.46,
413,218,40,44.29,108818.4,
100503,391,14,100,2237721.68,
123,119,1,100,2058822.29,
329,168,1,100,69038.15,26
92,90,19,100,1244702.83,
100505,98,14,100,1166772.66,86
406,331,14,100,22450960.96,
178,166,40,100,1108905.63,
445,254,1,100,284520.24,57
14,15,3,100,54979996.75,
168,160,30,100,1850375.04,
50,49,8,100,1372523.51,
189,173,25,100,127406.51,
224,193,1,100,420874.59,
424,236,40,100,14191.05,52
107,4,1,100,96321.22,5
257,222,55,48,2105662.94,
381,310,82,100,1136224.78,
437,349,14,100,2403.59,
448,65,14,100,3599979.9,59
453,209,1,100,220186.01,63
477,323,98,100,22272,77
198,180,43,25,562112.34,
243,120,1,100,36228.18,16
351,293,73,100,905000.1,
366,255,58,100,47939.99,41
414,148,30,100,164975.17,48
464,362,14,100,33259.52,
148,144,30,100,3302242.12,
126,122,28,100,499998.62,
316,272,40,100,321576.94,
132,128,23,100,9842712.9,
215,186,1,100,183455.18,
347,289,72,50,286719.74,
15,16,1,100,2441618.49,
112,108,6,100,1147932.83,
195,178,42,37.5,937345.44,
119,115,1,100,242271.7,
240,205,25,100,1286270.36,
382,311,82,100,1196472.01,
241,206,52,100,3517135.51,
421,232,89,100,169677.21,49
206,182,47,25,345119.98,
274,237,40,100,259390.66,
378,308,71,50,240659.8,
431,343,14,100,63188.06,
40477,369,14,100,33236.88,
144,140,1,100,86343.87,
89,15,3,100,5020003.25,4
106,102,1,100,1640766.33,
199,180,47,25,562112.35,
306,79,10,100,37487.32,20
104,100,20,100,33427.06,
335,222,57,25,16421.99,28
363,299,33,100,498101.81,
143,139,30,100,1378786.24,
49,48,1,100,317645.48,
100489,383,14,100,922502.24,
147,143,1,100,296645.42,
93,55,8,100,96628,
422,190,1,100,336981.31,50
81,82,16,100,409675.11,
359,176,67,100,387246.23,39
204,181,44,25,526836.54,
320,275,66,100,69607.77,
36,35,10,100,1252017.13,
124,120,1,100,411683.57,
18,19,1,100,890507.23,
287,250,51,100,1399717.71,
230,140,1,100,86434.87,14
397,179,60,100,270000,46
238,203,51,100,142003.36,
53,52,10,100,692906.22,
96,92,14,100,11067268.15,
466,364,14,100,15196.45,
47,46,1,100,188849.35,
68,69,14,100,31099448.64,
154,150,1,100,1035179.35,
265,229,6,100,2607149.75,
266,230,1,100,102003.29,
150,146,30,100,1718510.47,
140,136,10,100,36636.73,
375,151,35,52,41634.45,42
9,10,1,100,281552.89,
319,274,51,100,1399717.71,
171,162,1,100,393031.39,
201,180,44,25,562112.34,
90478,378,102,100,43185.99,
95,91,14,100,10752565.64,
109,105,23,100,1058847.69,
275,238,40,100,338800.57,
332,283,69,100,386679.05,
386,60,14,100,7836699.16,44
404,329,77,100,512430.07,
40478,370,14,100,368698.72,
180,169,1,100,1139491.75,
242,207,29,100,1171113.04,
338,280,68,100,841980.94,29
30477,368,14,100,54165.15,
