Id_Contrato_Recurso,Id_Contrato,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado
80210,94,21,100,151649.58
80211,103,21,100,221665
80212,92,21,100,201122.93
80213,99,21,100,154746.46
80214,242,25,100,554569.44
80215,243,30,100,1260450.62
80216,244,32,100,1411223.51
80217,245,36,100,1389859.13
80218,246,25,100,1445446.59
80219,105,6,100,168700.25
80220,109,6,100,151377.84
80221,247,30,100,2147668.72
80222,248,30,100,1111315.97
80223,249,10,100,24359859.54
80224,250,35,100,966857.7
80225,251,7,100,233160.3
80226,252,37,100,100
80227,253,7,100,270512.83
80228,254,11,100,296659.39
80229,255,43,100,1212277.33
80230,256,32,100,3490881.12
80231,257,32,100,3669765.68
80232,258,35,100,1492786.02
80233,259,36,100,1389859.13
80234,260,32,100,3403217.65
80235,261,27,100,3414580.4
80236,104,21,100,152206.2
80237,110,21,100,134427.95
80238,262,34,100,697021.29
80239,263,32,100,2629275.62
80240,264,16,61.88,515324.32
80246,217,16,73.86,190371.83
80248,216,16,73.86,286051.75
80250,215,16,73.86,231271.94
80252,113,21,100,203948.79
80253,118,21,100,146623.4
80254,112,21,100,153867.5
80255,265,30,100,1394225.88
80256,266,30,100,917943.88
80257,215,47,26.14,81862.35
80258,267,25,100,2087873.22
80259,216,47,26.14,101252.53
80260,268,44,100,2620526.13
80261,217,47,26.14,67385.12
80262,269,38,100,694299.41
80263,270,16,50,522806.39
80264,270,46,50,522806.39
80265,271,38,100,721981.36
80266,272,25,100,2998526.98
80267,273,1,100,972788.56
80268,264,47,38.12,317500
80269,274,39,100,1172040.85
80271,276,12,100,668836.08
80272,277,38,100,894192
80273,92,21,100,389886.6
80274,99,21,100,269879.53
80275,278,32,100,3357785.44
80276,279,39,100,1515958.54
80277,280,36,100,1389859.13
80278,281,34,100,2070718.99
80279,282,30,100,1072061.99
80280,283,32,100,2487335.01
80281,284,32,100,3315169.86
80282,285,36,100,2794907.11
80283,286,36,100,2224745.28
80284,287,35,100,1493320.14
80285,288,38,100,472332.55
80286,289,32,100,1036532.99
80288,290,16,61.85,172640.1
80289,290,47,38.15,106500
80290,291,11,100,367942.82
80291,292,36,100,2596242.53
80292,293,38,100,348921.98
80294,295,38,100,299942.14
80295,108,21,100,268214.25
80296,296,11,100,348561.7
80297,297,7,100,944905.97
80298,298,42,100,1458288.27
80299,299,39,100,1427369.69
80301,301,16,50,628809.6
80302,301,46,50,628809.6
80303,294,46,50,425455.96
80304,294,16,50,425455.96
80305,94,21,100,278571.56
80306,100,21,100,264177.62
80307,300,33,86.65,4118350.37
80309,300,53,13.35,634264.56
80310,302,36,100,2304067.04
80311,303,38,100,819918.23
80312,304,25,100,1629998.51
80313,305,49,100,1421169.64
80314,306,11,100,327911.19
80315,307,32,100,1469505.27
80316,308,38,100,630387.65
80317,309,38,100,1094699.66
80318,310,48,100,1556380.49
80319,311,35,100,1118247.37
90316,312,32,100,3588559.79
90317,313,11,100,617075.17
90318,314,16,50,444400.5
90319,314,46,50,444400.49
90320,315,37,100,2910264.11
90321,316,50,100,1622384.39
90322,98,21,100,299221.88
90323,81,21,100,266889.31
90325,318,37,100,2730665.86
90326,319,52,100,2208558.23
90327,320,30,100,540255.23
90328,321,32,100,3599211.82
90329,104,21,100,279823.95
90330,322,32,100,3891408.66
90331,323,25,100,4065523.64
90332,324,37,100,3099810.97
90333,325,25,100,2059080.17
90334,326,12,100,735640.62
90335,327,54,100,1940315.33
90336,106,21,100,452268.22
90337,328,32,100,1474376.71
90338,103,21,100,383906.15
90339,110,21,100,255482.88
90340,329,51,100,1622384.39
90341,330,15,100,902596
90342,331,31,100,139258014.5
90343,113,21,100,317944.77
90344,332,11,100,570154.09
90345,333,36,100,3023182.31
90346,334,32,100,3090410.8
90347,335,25,100,3548680.24
90348,336,11,100,527161.03
90349,337,60,93.29,290882.35
90350,338,60,97.8,290882.35
90353,341,60,94.07,290882.35
90354,341,55,5.93,18335.17
90355,342,55,0.3,874.37
90356,342,60,99.7,290882.35
90357,343,55,6.56,20405.7
90358,343,60,93.44,290882.35
90361,345,60,95.82,290882.35
90362,345,55,4.18,12702.54
90363,338,55,2.2,6530.77
90365,337,55,6.71,20939.36
90367,347,60,97.93,290882.35
90368,347,55,2.07,6134.2
90370,346,60,93.88,290882.35
90371,346,55,6.12,18950.25
90372,112,21,100,299221.88
90373,134,15,100,1199999.45
90374,348,11,100,704500.63
90375,349,25,100,1351269.79
90376,338,55,100,18431.72
90377,337,55,100,4171.53
90378,118,21,100,277702.64
90379,350,55,11.31,37113.64
90380,350,60,88.69,290882.35
90381,351,60,86.93,290882.35
90382,351,55,13.07,43877.07
90383,352,55,6.91,21577.23
90384,352,60,93.09,290882.35
90385,353,1,100,180012.98
90386,354,48,100,267394.73
90387,355,48,100,306629.37
90388,356,56,100,1706776.7
90389,357,25,100,1565312.27
90390,66,9,100,558292
90391,358,34,100,2184998.01
90392,359,25,100,1326833.31
90393,360,15,100,269517.43
90394,361,1,100,179402.5
90395,362,1,100,445389.15
90396,19,10,100,3498900.2
90397,363,25,93,2985679.31
90398,363,10,7,237434.56
90399,208,15,100,4000000
90400,364,58,100,930569.95
90401,365,57,100,3976910.07
90402,40,15,100,2495846.11
90403,366,1,100,249776.4
90404,367,62,100,6838159.67
90405,368,38,100,307750.13
90406,369,36,100,3146986.68
90407,370,55,100,239162.64
90408,371,5,100,416549.75
90409,372,38,100,670881.14
