Id_Fuera_Catalogo,Id_Contrato,Fecha_Registro,Fecha_Ultima_Autorizada,Fecha_Instruccion_Bitacora,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Estatus
1,21,04/05/2017 13:27,22/04/2017 00:00,10/04/2017 00:00,255/2017,27/04/2017 00:00,AUTORIZADO,TÉRMINADO
2,49,12/05/2017 13:23,27/05/2017 00:00,12/04/2017 00:00,277/2017,11/05/2017 00:00,AUTORIZADO,TÉRMINADO
3,49,12/05/2017 13:27,27/05/2017 00:00,12/04/2017 00:00,278/2017,11/05/2017 00:00,AUTORIZADO,TÉRMINADO
4,34,23/05/2017 15:07,09/05/2017 00:00,08/05/2017 00:00,309/2017,15/05/2017 00:00,AUTORIZADO,TÉRMINADO
5,17,02/06/2017 10:53,01/07/2017 00:00,02/05/2017 00:00,327/2017,18/05/2017 00:00,AUTORIZADO,TÉRMINADO
6,17,02/06/2017 14:06,01/07/2017 00:00,02/05/2017 00:00,334/2017,18/05/2017 00:00,AUTORIZADO,TÉRMINADO
7,48,06/06/2017 09:56,27/05/2017 00:00,12/04/2017 00:00,343/2017,28/04/2017 00:00,AUTORIZADO,TÉRMINADO
8,26,06/06/2017 10:04,24/06/2017 00:00,05/05/2017 00:00,345/2017,19/05/2017 00:00,AUTORIZADO,TÉRMINADO
9,29,06/06/2017 10:12,24/06/2017 00:00,05/05/2017 00:00,346/2017,19/05/2017 00:00,AUTORIZADO,TÉRMINADO
10,17,08/06/2017 13:25,01/07/2017 00:00,02/05/2017 00:00,327-1/2017,18/05/2017 00:00,AUTORIZADO,TÉRMINADO
11,12,19/06/2017 13:38,06/08/2017 00:00,23/05/2017 00:00,371/2017,19/06/2017 00:00,AUTORIZADO,TÉRMINADO
12,8,21/06/2017 13:17,06/08/2017 00:00,17/05/2017 00:00,376/2017,21/06/2017 00:00,AUTORIZADO,TÉRMINADO
13,98,23/06/2017 13:58,01/07/2017 00:00,15/06/2017 00:00,385/2017,23/06/2017 00:00,AUTORIZADO,TÉRMINADO
14,81,23/06/2017 14:00,01/07/2017 00:00,15/06/2017 00:00,386/2017,23/06/2017 00:00,AUTORIZADO,TÉRMINADO
15,108,23/06/2017 14:02,01/07/2017 00:00,21/06/2017 00:00,388/2017,23/06/2017 00:00,AUTORIZADO,TÉRMINADO
16,104,23/06/2017 14:04,01/07/2017 00:00,20/06/2017 00:00,389/2017,23/06/2017 00:00,AUTORIZADO,TÉRMINADO
17,94,23/06/2017 14:06,01/07/2017 00:00,20/06/2017 00:00,390/2017,23/06/2017 00:00,AUTORIZADO,TÉRMINADO
18,92,23/06/2017 14:08,01/07/2017 00:00,31/05/2017 00:00,391/2017,23/06/2017 00:00,AUTORIZADO,TÉRMINADO
19,99,23/06/2017 14:10,01/07/2017 00:00,31/05/2017 00:00,392/2017,23/06/2017 00:00,AUTORIZADO,TÉRMINADO
20,100,23/06/2017 14:37,01/07/2017 00:00,20/06/2017 00:00,387/2017,23/06/2017 00:00,AUTORIZADO,TÉRMINADO
21,149,28/06/2017 10:01,27/05/2017 00:00,15/05/2017 00:00,383/2017,16/06/2017 00:00,AUTORIZADO,TÉRMINADO
22,103,28/06/2017 10:17,01/07/2017 00:00,29/05/2017 00:00,395/2017,28/06/2017 00:00,AUTORIZADO,TÉRMINADO
23,106,28/06/2017 10:22,01/06/2017 00:00,29/05/2017 00:00,396/2017,28/06/2017 00:00,AUTORIZADO,TÉRMINADO
24,110,29/06/2017 12:08,01/07/2017 00:00,16/06/2017 00:00,399/2017,29/06/2017 00:00,AUTORIZADO,TÉRMINADO
25,113,29/06/2017 12:11,01/07/2017 00:00,21/06/2017 00:00,400/2017,29/06/2017 00:00,AUTORIZADO,TÉRMINADO
26,112,29/06/2017 12:13,01/07/2017 00:00,21/06/2017 00:00,401/2017,29/06/2017 00:00,AUTORIZADO,TÉRMINADO
27,118,29/06/2017 12:16,01/07/2017 00:00,21/06/2017 00:00,402/2017,29/06/2017 00:00,AUTORIZADO,TÉRMINADO
28,32,04/07/2017 09:52,31/05/2017 00:00,29/05/2017 00:00,416/2017,19/06/2017 00:00,AUTORIZADO,TÉRMINADO
29,17,11/07/2017 14:35,01/07/2017 00:00,14/06/2017 00:00,435/2017,04/07/2017 00:00,AUTORIZADO,TÉRMINADO
30,122,11/07/2017 14:39,17/06/2017 00:00,06/06/2017 00:00,437/2017,15/06/2017 00:00,AUTORIZADO,TÉRMINADO
31,71,11/07/2017 14:42,01/07/2017 00:00,16/06/2017 00:00,438/2017,06/07/2017 00:00,AUTORIZADO,TÉRMINADO
32,72,11/07/2017 14:43,01/07/2017 00:00,16/06/2017 00:00,439/2017,06/07/2017 00:00,AUTORIZADO,TÉRMINADO
33,129,11/07/2017 14:48,08/07/2017 00:00,30/06/2017 00:00,440/2017,10/07/2017 00:00,AUTORIZADO,TÉRMINADO
34,17,11/07/2017 15:27,01/07/2017 00:00,14/06/2017 00:00,441/2017,03/07/2017 00:00,AUTORIZADO,TÉRMINADO
35,9,19/07/2017 11:58,15/08/2017 00:00,13/07/2017 00:00,456/2017,19/07/2017 00:00,AUTORIZADO,TÉRMINADO
36,202,20/07/2017 13:24,29/07/2017 00:00,10/07/2017 00:00,461/2017,17/07/2017 00:00,AUTORIZADO,TÉRMINADO
37,105,20/07/2017 17:54,22/04/2017 00:00,20/07/2017 00:00,S/N,20/07/2017 00:00,S/N,TÉRMINADO
38,15,25/07/2017 12:01,01/07/2017 00:00,23/06/2017 00:00,469/2017,30/06/2017 00:00,AUTORIZADO,TÉRMINADO
39,119,25/07/2017 12:13,22/07/2017 00:00,19/06/2017 00:00,470/2017,24/07/2017 00:00,AUTORIZADO,TÉRMINADO
40,10,27/07/2017 14:57,06/05/2017 00:00,28/04/2017 00:00,474/2017,11/05/2017 00:00,AUTORIZADO,TÉRMINADO
41,191,27/07/2017 15:06,23/09/2017 00:00,18/07/2017 00:00,481/2017,27/07/2017 00:00,AUTORIZADO,TÉRMINADO
42,10,31/07/2017 12:12,06/05/2017 00:00,28/04/2017 00:00,474-1/2017,11/05/2017 00:00,AUTORIZADO,TÉRMINADO
43,40,02/08/2017 13:12,31/07/2017 00:00,08/07/2017 00:00,492/2017,20/07/2017 00:00,AUTORIZADO,TÉRMINADO
44,147,02/08/2017 13:15,17/10/2017 00:00,29/06/2017 00:00,493/2017,21/07/2017 00:00,AUTORIZADO,TÉRMINADO
45,15,02/08/2017 13:17,01/07/2017 00:00,23/06/2017 00:00,494/2017,30/06/2017 00:00,AUTORIZADO,TÉRMINADO
46,96,07/08/2017 13:34,03/09/2017 00:00,29/06/2017 00:00,497/2017,21/07/2017 00:00,AUTORIZADO,TÉRMINADO
49,142,07/08/2017 13:40,05/08/2017 00:00,03/08/2017 00:00,500/2017,07/08/2017 00:00,AUTORIZADO,TÉRMINADO
50,66,09/08/2017 15:09,19/07/2017 00:00,27/06/2017 00:00,504/2017,07/07/2017 00:00,AUTORIZADO,TÉRMINADO
