Id_Estimacion_Deduccion,Id_Estimacion,Id_Descuento,Monto_Deduccion
4,1,4,308.25
5,2,4,160.33
6,3,4,531.41
10,5,2,10673.31
10034,16,2,2426.8
10060,25,1,38.12
10061,25,3,190.59
10064,26,1,24.75
10065,26,3,123.73
10066,27,1,1506.58
10067,27,3,7532.9
30066,29,2,10398.04
30067,30,1,43.6
30068,30,3,218.02
40066,31,1,170.19
40067,31,3,850.97
40068,32,1,397.62
40069,32,3,1988.09
40070,33,4,434.01
40071,34,1,210.07
40072,34,3,1050.36
40087,39,1,311.32
40088,39,3,1556.58
40089,40,1,123.32
40090,40,3,616.62
40091,41,4,256.3
40092,42,4,381.53
40093,43,4,299.31
40094,44,4,23.78
40095,45,4,40.36
40096,46,4,23.78
40097,47,4,51
50066,48,4,528.6
50067,49,4,63.78
50068,50,1,336.32
50069,50,3,1681.59
50070,51,4,312.28
50071,52,4,185.84
50072,53,4,271.2
50073,54,4,272.82
50074,55,4,243.82
50075,56,4,270.23
50076,57,4,605.42
50079,59,4,559.99
50080,60,4,233.16
50081,60,6,3264.29
50082,60,7,326.43
50083,61,4,170.66
50084,61,6,2389.3
50085,61,7,238.93
50086,62,4,68.37
50087,62,6,957.15
50088,62,7,95.72
50089,63,4,126.95
50090,63,6,1777.31
50091,63,7,177.73
50092,64,2,167.54
50093,65,4,301.66
50094,65,6,6033.29
50095,65,7,603.33
50098,67,1,1902.53
50099,67,3,9512.64
50100,68,2,10930.33
50101,69,2,621.28
50105,71,4,334.98
50106,72,4,219.78
50107,73,4,216.23
50108,74,4,151.12
50109,75,4,73.49
50110,76,4,32.87
50111,77,4,1062.53
50112,78,1,214.42
50113,78,3,1072.12
50114,79,1,214.42
50115,79,3,1072.12
50116,80,1,202.43
50117,80,3,1012.17
50118,81,1,202.43
50119,81,3,1012.17
50120,83,4,142.97
50121,84,4,102.61
50126,87,4,2378.83
50127,88,1,210.43
50128,88,3,1052.14
50133,89,1,210.43
50134,89,3,1052.14
50135,90,1,210.43
50136,90,3,1052.14
50137,91,1,210.43
50138,91,3,1052.14
50139,92,1,25.25
50140,92,3,126.26
50141,93,4,426.74
50142,93,6,8534.79
50143,93,7,853.48
50144,94,1,210.43
50145,94,3,1052.14
50146,95,1,210.43
50147,95,3,1052.14
50148,96,1,25.25
50149,96,3,126.26
50150,98,4,270.33
50151,99,4,124.89
50152,100,4,214.9
50153,101,4,202.7
50154,102,4,236.3
50155,103,4,202.7
50156,104,4,329.43
50157,105,1,298.76
50158,105,3,1493.82
50159,106,1,206.8
50160,106,3,1034.02
50161,107,1,210.43
50162,107,3,1052.14
50163,108,1,210.43
50164,108,3,1052.14
50165,109,1,25.25
50166,109,3,126.26
50167,110,1,204.51
50168,110,3,1022.56
50169,111,1,204.51
50170,111,3,1022.56
50171,112,4,66.59
50172,113,4,38.74
50173,114,1,229.29
50174,114,3,1146.44
50175,115,1,294.18
50176,115,3,1470.91
50177,116,1,294.18
50178,116,3,1470.91
50179,117,1,213.46
50180,117,3,1067.32
50181,118,1,213.46
50182,118,3,1067.32
50183,119,1,229.29
50184,119,3,1146.44
50191,126,1,210.43
50192,126,3,1052.14
50193,127,1,205.53
50194,127,3,1027.64
50195,128,1,205.53
50196,128,3,1027.64
50197,129,1,201.02
50198,129,3,1005.11
50199,130,4,127.58
50200,131,4,71.03
50219,138,4,436.81
50220,139,4,773.42
50221,140,4,45.05
50222,140,7,90.11
50223,140,6,901.09
50224,141,4,320.47
50225,141,7,640.94
50226,141,6,6409.4
50227,142,4,230.88
50228,142,7,461.76
50229,142,6,4617.57
50230,143,4,35.72
50231,143,7,71.45
50232,143,6,714.48
50233,144,4,264.05
50234,144,7,528.09
50235,144,6,5280.94
50236,145,4,200.45
50237,145,7,400.89
50238,145,6,4008.92
50239,146,1,298.76
50240,146,3,1493.82
50242,148,4,66.7
50243,149,2,1104.47
50244,150,1,206.8
50245,150,3,1034.02
50246,151,1,198.26
50247,151,3,991.3
50248,152,2,9128.86
50249,153,1,10.54
50250,153,3,52.68
50251,154,1,164.23
50252,154,3,821.16
50253,155,1,236.73
50254,155,3,1183.65
50255,156,1,215.17
50256,156,3,1075.84
50257,157,1,236.73
50258,157,3,1183.65
50259,158,1,298.76
50260,158,3,1493.82
50261,159,4,341.03
50262,160,3,6019.27
50263,160,1,1203.85
50264,161,1,298.76
50265,161,3,1493.82
50266,162,1,229.29
50267,162,3,1146.44
50268,163,1,229.29
50269,163,3,1146.44
50270,164,1,212.8
50271,164,3,1063.99
50272,165,1,212.8
50273,165,3,1063.99
50274,166,1,175.07
50275,166,3,875.35
50276,167,1,210.43
50277,167,3,1052.14
50278,168,4,312.23
50279,169,1,236.73
50280,169,3,1183.65
50281,170,4,316.66
50282,171,4,93.57
50283,172,4,374.06
50284,173,1,105.21
50285,173,3,526.07
50286,174,1,105.21
50287,174,3,526.07
50288,175,1,243.64
50289,175,7,1218.18
50290,176,1,243.64
50291,176,7,1218.18
50292,177,1,102.26
