Id_Contrato_Descuento,Id_Contrato,Id_Descuento,Importe
7,7,4,0.005
8,8,2,0.005
10008,9,2,0.005
20008,12,2,0.005
20009,13,2,0.005
40008,11,1,0.002
40009,11,3,0.01
40010,14,1,0.002
40011,14,3,0.01
40012,15,4,0.005
40013,16,4,0.005
40014,17,1,0.002
40015,17,3,0.01
40016,18,1,0.002
40017,18,3,0.01
40018,19,1,0.002
40019,19,3,0.01
40020,20,4,0.005
40021,21,1,0.002
40022,21,3,0.01
40023,22,1,0.002
40024,22,3,0.01
40025,23,1,0.002
40026,23,3,0.01
40027,24,1,0.002
40028,24,3,0.01
40029,25,4,0.005
40030,26,4,0.005
40031,27,4,0.005
40032,28,4,0.005
40033,29,4,0.005
40034,30,1,0.002
40035,30,3,0.01
40036,31,4,0.005
40037,32,1,0.002
40038,32,3,0.01
50018,33,1,0.002
50019,33,3,0.01
50020,34,1,0.002
50021,34,3,0.01
50022,35,4,0.005
50023,36,4,0.005
50024,37,4,0.005
50025,38,4,0.005
60018,39,4,0.005
70018,40,1,0.002
70019,40,3,0.01
70020,41,4,0.005
70021,42,4,0.005
70022,43,4,0.005
70023,44,4,0.005
70024,45,4,0.005
70025,46,4,0.005
70026,46,6,0.1
70027,46,7,0.01
70028,47,4,0.005
70029,48,4,0.005
70030,49,4,0.005
70031,50,4,0.005
70032,51,4,0.005
70033,52,4,0.005
70036,55,1,0.002
70037,55,3,0.01
80018,56,4,0.005
80019,57,4,0.005
80020,58,4,0.005
80023,59,4,0.005
80026,60,4,0.005
90018,63,6,0.1
90019,63,7,0.01
90020,63,4,0.005
90021,64,4,0.005
90022,65,1,0.002
90023,65,3,0.01
90026,67,4,0.005
90027,69,4,0.005
90028,70,4,0.005
90029,71,4,0.005
90030,72,4,0.005
90036,77,4,0.005
90042,81,1,0.002
90043,81,3,0.01
90044,82,1,0.002
90045,82,3,0.01
90046,85,4,0.005
90047,86,4,0.005
90048,87,1,0.002
90049,87,3,0.01
90050,88,1,0.002
90051,88,3,0.01
90052,89,4,0.005
90053,90,4,0.005
90054,91,4,0.005
90055,92,1,0.002
90056,92,3,0.01
90057,93,1,0.002
90058,93,3,0.01
90059,94,1,0.002
90060,94,3,0.01
90061,95,1,0.002
90062,95,3,0.01
90063,96,1,0.002
90064,96,3,0.01
90065,97,4,0.005
90066,98,1,0.002
90067,98,3,0.01
90068,99,1,0.002
90069,99,3,0.01
90070,100,1,0.002
90071,100,3,0.01
90072,101,1,0.002
90073,101,3,0.01
90076,102,1,0.002
90077,102,3,0.01
90080,103,1,0.002
90081,103,3,0.01
90082,104,1,0.002
90083,104,3,0.01
90084,91,6,0.1
90085,91,7,0.01
90086,84,4,0.005
90087,83,4,0.005
90088,105,4,0.005
90089,106,1,0.002
90090,106,3,0.01
90091,107,4,0.005
90092,108,1,0.002
90093,108,3,0.01
90094,109,4,0.005
90095,110,1,0.002
90096,110,3,0.01
90097,111,1,0.002
90098,111,3,0.01
90099,112,1,0.002
90100,112,3,0.01
90101,113,1,0.002
90103,114,1,0.002
90104,114,3,0.01
90105,115,1,0.002
90106,115,3,0.01
90107,105,7,0.01
90108,105,6,0.1
90109,109,7,0.01
90110,109,6,0.1
90111,116,4,0.005
90112,116,6,0.1
90113,116,7,0.01
90114,117,4,0.005
90115,118,1,0.002
90116,118,3,0.01
90117,119,4,0.005
90118,120,4,0.005
90119,121,4,0.005
