Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion
62,327,1,23/11/2017 00:00,27/09/2017 00:00,05/01/2018 00:00,350298.4,0,0,1
63,391,1,15/09/2017 00:00,05/06/2017 00:00,14/10/2017 00:00,878935.27,0,0,1
64,305,1,23/11/2017 00:00,20/09/2017 00:00,29/12/2017 00:00,301302.21,0,0,1
66,294,1,02/10/2017 00:00,24/07/2017 00:00,06/10/2017 00:00,156045.98,0,0,1
67,286,1,18/11/2017 00:00,05/09/2017 00:00,14/12/2017 00:00,1077438.17,0,0,1
68,358,1,13/11/2017 00:00,01/09/2017 00:00,08/12/2017 00:00,846971.71,0,0,1
69,179,1,10/11/2017 00:00,16/10/2017 00:00,15/11/2017 00:00,346717.16,0,0,1
71,142,1,28/07/2017 00:00,12/06/2017 00:00,05/08/2017 00:00,82000.27,0,0,1
72,285,1,23/11/2017 00:00,07/08/2017 00:00,25/12/2017 00:00,1331774.97,0,0,1
73,488,1,23/11/2017 00:00,18/10/2017 00:00,28/12/2017 00:00,274870.75,30,82461.23,1
74,272,1,23/11/2017 00:00,14/08/2017 00:00,15/01/2018 00:00,786206.53,0,0,1
75,258,1,23/11/2017 00:00,24/07/2017 00:00,30/12/2017 00:00,565000,30,169500,1
76,302,1,23/11/2017 00:00,08/09/2017 00:00,16/12/2017 00:00,817973.96,50,408986.98,1
77,292,1,18/11/2017 00:00,01/09/2017 00:00,10/12/2017 00:00,974972.77,0,0,1
78,318,1,22/11/2017 00:00,15/09/2017 00:00,19/12/2017 00:00,758588.92,50,379294.46,1
79,234,1,01/09/2017 00:00,15/07/2017 00:00,07/09/2017 00:00,142499.89,0,0,1
80,324,1,23/11/2017 00:00,28/09/2017 00:00,06/01/2018 00:00,1155766.32,0,0,1
81,412,1,27/11/2017 00:00,31/10/2017 00:00,12/12/2017 00:00,110197.08,0,0,1
82,448,1,23/11/2017 00:00,13/11/2017 00:00,30/12/2017 00:00,361919.01,50,180959.5,1
83,246,1,11/12/2017 00:00,22/11/2017 00:00,31/12/2017 00:00,196757.02,0,0,1
84,367,1,11/12/2017 00:00,14/10/2017 00:00,01/02/2018 00:00,84840.33,0,0,1
85,410,1,23/11/2017 00:00,20/10/2017 00:00,26/01/2018 00:00,68868.04,0,0,1
86,365,1,23/11/2017 00:00,12/10/2017 00:00,08/01/2018 00:00,570017.39,0,0,1
87,491,1,23/11/2017 00:00,15/11/2017 00:00,10/03/2018 00:00,3206922.69,30,961176.81,1
88,315,1,23/11/2017 00:00,16/09/2017 00:00,21/12/2017 00:00,1112489.48,0,0,1
89,397,1,13/12/2017 00:00,21/09/2017 00:00,22/12/2017 00:00,88923.57,0,0,1
90,539,1,23/11/2017 00:00,09/11/2017 00:00,27/01/2018 00:00,26681.45,0,0,1
91,249,1,23/11/2017 00:00,10/08/2017 00:00,26/12/2017 00:00,5639296.77,30,1691789.03,1
