Id_Obra_Recurso,Id_Obra,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Observaciones,Movimiento,No_Registro_Obrasi,Numero_Oficio,Fecha_Oficio
80480,385,70,97.93,290882.35,,INICIAL,NULL,,26/10/2017 00:00
80481,385,55,2.07,6136.8,,INICIAL,NULL,s/n,26/10/2017 00:00
80482,384,70,53.53,290882.35,,INICIAL,NULL,,26/10/2017 00:00
80483,384,55,46.47,252467.97,,INICIAL,NULL,,26/10/2017 00:00
80485,386,55,5.53,17001.66,,INICIAL,NULL,,26/10/2017 00:00
80486,377,70,96.55,290882.35,,INICIAL,NULL,,26/10/2017 00:00
80487,377,55,3.45,10365.52,,INICIAL,NULL,,26/10/2017 00:00
80488,382,70,90.01,290882.35,,INICIAL,NULL,,26/10/2017 00:00
80489,382,55,9.99,32251.17,,INICIAL,NULL,,26/10/2017 00:00
80490,375,70,95.25,290882.35,,INICIAL,NULL,,26/10/2017 00:00
80491,375,55,4.75,14491.38,,INICIAL,NULL,,26/10/2017 00:00
80492,381,70,84.53,290882.35,,INICIAL,NULL,,26/10/2017 00:00
80493,381,55,15.47,53213.09,,INICIAL,NULL,,26/10/2017 00:00
80494,379,70,97.16,290882.35,,INICIAL,NULL,,26/10/2017 00:00
80495,379,55,2.84,8476.85,,INICIAL,NULL,,26/10/2017 00:00
80496,380,70,97.93,290882.35,,INICIAL,NULL,,26/10/2017 00:00
80497,380,55,2.07,6134.2,,INICIAL,NULL,,26/10/2017 00:00
80498,399,15,100,347011.16,,INICIAL,NULL,,26/10/2017 00:00
80500,401,18,100,1291941.85,,INICIAL,NULL,s/n,26/10/2017 00:00
80501,149,25,100,348734.53,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80503,337,64,85.52,1978000,,INICIAL,NULL,,27/10/2017 00:00
80504,337,41,14.48,256484.13,,INICIAL,NULL,,27/10/2017 00:00
80505,317,48,100,498160.18,,INICIAL,NULL,,27/10/2017 00:00
80506,400,70,69,290882.35,,INICIAL,NULL,S/N  ,02/01/2017 00:00
80507,400,55,31,133219.17,,INICIAL,NULL,S/N  ,02/01/2017 00:00
80508,402,61,100,2832615.15,,INICIAL,NULL,s/n,30/10/2017 00:00
80509,29,15,100,2487452.51,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80510,403,77,49.52,860502.42,,INICIAL,NULL,S/N,01/11/2017 00:00
80511,403,78,50.48,877043.88,,INICIAL,NULL,S/N,01/11/2017 00:00
80512,404,1,100,1353983.9,,INICIAL,NULL,s/n,02/11/2017 00:00
80513,405,79,100,1278008.03,,INICIAL,NULL,S/N,02/11/2017 00:00
80514,406,25,100,3277955.53,JMH,INICIAL,NULL,S/N,02/11/2017 00:00
80515,407,9,100,540000,,INICIAL,NULL,S/N,02/11/2017 00:00
80516,408,80,100,865798.1,,INICIAL,NULL,s/n,02/11/2017 00:00
80517,409,81,100,1102000,,INICIAL,NULL,S/N,02/11/2017 00:00
80518,410,82,100,1725129.25,,INICIAL,NULL,s/n,06/11/2017 00:00
80519,411,83,100,1254454.46,,INICIAL,NULL,s/n,06/11/2017 00:00
80521,413,83,100,1500000,,INICIAL,NULL,s/n,06/11/2017 00:00
80522,414,83,100,1500000,,INICIAL,NULL,s/n,06/11/2017 00:00
80523,365,25,100,6379735.51,,INICIAL,NULL,,06/11/2017 00:00
