Id_Contrato_Fianza,Id_Contrato,Id_Fianza,Numero_Fianza,Fecha_Emision,Fecha_Recepcion,Nombre_Afianzadora,Fecha_Liberacion,Id_Contrato_Ampliacion
40026,38,2,3615-03659-1,27/03/2017 00:00,12/04/2017 00:00,"AFIANZADORA INSURGENTES, S.A. DE C.V. ",26/03/2018 00:00,
50019,41,1,2084702,31/03/2017 00:00,07/04/2017 00:00,AFIANZADORA SOFIMEX S.A. ,30/03/2018 00:00,
50020,41,2,2084706,31/03/2017 00:00,07/04/2017 00:00,AFIANZADORA SOFIMEX S.A.,30/03/2018 00:00,
50021,42,1,2084702,31/05/2017 00:00,07/04/2017 00:00,AFIANZADORA SOFIMEX S.A. ,30/03/2018 00:00,
50022,43,1,2084702,31/03/2017 00:00,07/04/2017 00:00,AFIANZADORA SOFIMEX S.A. ,30/03/2018 00:00,
50023,43,2,2084706,31/03/2017 00:00,07/04/2017 00:00,AFIANZADORA SOFIMEX S.A. ,30/03/2018 00:00,
50024,40,1,1794906,07/04/2017 00:00,17/04/2017 00:00,ACE FIANZAS MONTERREY,06/04/2018 00:00,
50025,40,2,1794908,07/04/2017 00:00,17/04/2017 00:00,ACE FIANZAS MONTERREY,06/04/2018 00:00,
50026,45,1,4143-02189-4,31/03/2017 00:00,07/04/2017 00:00,ASERTA,30/03/2018 00:00,
50027,45,2,4143-02190-2,31/03/2017 00:00,07/04/2017 00:00,ASERTA,30/03/2018 00:00,
50028,47,1,1789473,14/03/2017 00:00,21/03/2017 00:00,ACE FIANZAS MONTERREY,14/03/2018 00:00,
50029,47,2,1789475,14/03/2017 00:00,21/03/2017 00:00,ACE FIANZAS MONTERREY,14/03/2018 00:00,
50030,48,2,4197-00365-5,22/03/2017 00:00,03/04/2017 00:00,AFIANZADORA ASERTA S.A DE C.V.,22/03/2018 00:00,
50031,49,2,4197-00365-5,22/03/2017 00:00,03/04/2017 00:00,AFIANZADORA ASERTA S.A DE C.V.,22/03/2018 00:00,
50032,50,2,4197-00365-5,22/03/2017 00:00,03/04/2017 00:00,AFIANZADORA ASERTA S.A DE C.V.,22/03/2018 00:00,
50033,51,2,4197-00365-5,22/03/2017 00:00,03/04/2017 00:00,AFIANZADORA ASERTA S.A DE C.V.,22/03/2018 00:00,
50034,52,1,III-49923-RC,31/03/2017 00:00,21/04/2017 00:00,FIANZAS ATLAS,30/03/2018 00:00,
50037,52,2,III-499925-RC,31/03/2017 00:00,21/04/2017 00:00,FIANZAS ATLAS,30/03/2018 00:00,
50039,55,2,1839386-0000,01/04/2017 00:00,12/04/2017 00:00,"LIBERTY FIANZAS, S.A. DE C.V. ",31/03/2018 00:00,
50040,55,1,1839385-0000,01/04/2017 00:00,12/04/2017 00:00,"LIBERTY FIANZAS, S.A. DE C.V. ",31/03/2018 00:00,
60017,56,2,1796093,31/03/2017 00:00,28/04/2017 00:00,ACE FIANZAS MONTERREY,30/03/2018 00:00,
60018,57,1,1788029,13/03/2017 00:00,14/03/2017 00:00,"ACE FIANZAS MONTERREY, S.A.",12/03/2018 00:00,
60019,57,2,1788036,13/03/2017 00:00,14/03/2017 00:00,ACE FIANZAS MONTERREY,12/03/2018 00:00,
