Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
619,600,,CONTRATO,387304.28,302258.42,0,302258.42,85045.86,0,0,0,0,0,0
620,601,,CONTRATO,257756.95,184723.91,0,184723.91,73033.04,0,0,0,0,0,0
621,602,,CONTRATO,1520517.25,395460.79,0,395460.79,1125056.46,30,456155.18,118638.24,0,118638.24,337516.94
622,603,,CONTRATO,4321442.8,59889.64,283059.4,342949.04,3978493.76,30,1296432.84,17966.89,84917.82,102884.71,1193548.13
623,604,,CONTRATO,507480.15,140220.79,322368.38,462589.17,44890.98,0,0,0,0,0,0
624,605,,CONTRATO,966857.7,181012.54,0,181012.54,785845.16,30,290057.31,54303.76,0,54303.76,235753.55
625,606,,CONTRATO,3023393.46,293649.77,0,293649.77,2729743.69,30,907018.04,88094.93,0,88094.93,818923.11
626,607,,CONTRATO,2629275.62,73368.13,0,73368.13,2555907.49,30,788782.69,22010.44,0,22010.44,766772.25
627,608,,CONTRATO,972788.56,148309.19,0,148309.19,824479.37,30,291836.57,44492.76,0,44492.76,247343.81
628,609,,CONTRATO,33079805.41,567233.97,17813115.45,18380349.42,14699455.99,50,16539902.7,283616.99,8906557.75,9190174.74,7349727.96
629,610,,CONTRATO,1873769.74,140979.66,588133.36,729113.02,1144656.72,30,562130.92,42293.9,176440.01,218733.91,343397.01
630,611,,CONTRATO,1559401.49,293231.85,293240.84,586472.69,972928.8,30,467820.44,87969.56,87972.25,175941.81,291878.63
631,612,,CONTRATO,1559401.49,237451.27,586472.69,823923.96,735477.53,30,467820.44,71235.38,175941.81,247177.19,220643.25
634,615,,CONTRATO,2620526.13,866278.8,214097.04,1080375.84,1540150.29,30,786157.84,259883.64,64229.11,324112.75,462045.09
635,616,,CONTRATO,663130.85,79037.44,131661.19,210698.63,452432.22,30,198939.25,23711.23,39498.36,63209.59,135729.66
637,618,,CONTRATO,3987823.94,654243.04,0,654243.04,3333580.9,30,1196347.18,196272.91,0,196272.91,1000074.27
638,619,,CONTRATO,104410,58460.93,45949.07,104410,0,0,0,0,0,0,0
639,620,,CONTRATO,1187194.94,174446.6,91176.67,265623.27,921571.67,30,356158.48,52333.98,27353,79686.98,276471.5
640,621,,CONTRATO,1490273.91,293879.13,274023.38,567902.51,922371.4,30,447082.17,88163.74,82207.01,170370.75,276711.42
641,622,,CONTRATO,1490273.91,82448.14,567902.51,650350.65,839923.26,30,447082.17,24734.44,170370.75,195105.19,251976.98
643,624,,CONTRATO,4747877.8,121848.73,204419.62,326268.35,4421609.45,30,1424363.34,36554.62,61325.89,97880.51,1326482.83
644,625,,CONTRATO,4747877.8,285463.19,326268.35,611731.54,4136146.26,30,1424363.34,85638.96,97880.51,183519.47,1240843.87
646,627,,CONTRATO,19223383.39,4553871.28,2044857.46,6598728.74,12624654.65,30,5767015.01,1366161.38,613457.24,1979618.62,3787396.39
