Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
79,1195,,CONTRATO,22944545.23,31262.99,9168167.85,9199430.84,13745114.39,30,6883363.57,9378.9,2750450.33,2759829.23,4123534.34
80,1255,,CONTRATO,22944545.23,48909.09,9199430.84,9248339.93,13696205.3,30,6883363.57,17747.68,2759829.23,2777576.91,4105786.66
81,1256,,CONTRATO,22944545.23,26410.54,9248339.93,9274750.47,13669794.76,30,6883363.57,7923.16,2777576.91,2785500.07,4097863.5
82,1257,,CONTRATO,22944545.23,100048.64,9274750.47,9374799.11,13569746.12,30,6883363.57,30014.59,2785500.07,2815514.66,4067848.91
83,1752,,CONTRATO,22944545.23,67139.01,9374799.11,9441938.12,13502607.11,30,6883363.57,20141.7,2815514.66,2835656.36,4047707.21
84,1859,,CONTRATO,22944545.23,23665.45,9441938.12,9465603.57,13478941.66,30,6883363.57,7099.64,2835656.36,2842756,4040607.57
85,1872,,CONTRATO,22944545.23,469631.31,9465603.57,9935234.88,13009310.35,30,6883363.57,140889.39,2842756,2983645.39,3899718.18
86,1875,,CONTRATO,22944545.23,38790.88,9935234.88,9974025.76,12970519.47,30,6883363.57,11637.26,2983645.39,2995282.65,3888080.92
87,1938,,CONTRATO,22944545.23,1329379.75,9974025.76,11303405.51,11641139.72,30,6883363.57,398813.93,2995282.65,3394096.58,3489266.99
88,2021,,CONTRATO,22944545.23,26104.12,11303405.51,11329509.63,11615035.6,30,6883363.57,7831.24,3394096.58,3401927.82,3481435.75
89,2022,,CONTRATO,22944545.23,46345.71,11329509.63,11375855.34,11568689.89,30,6883363.57,13903.71,3401927.82,3415831.53,3467532.04
90,2023,,CONTRATO,22944545.23,16788.09,11375855.34,11392643.43,11551901.8,30,6883363.57,5036.43,3415831.53,3420867.96,3462495.61
91,2044,,CONTRATO,22944545.23,19165.32,11392643.43,11411808.75,11532736.48,30,6883363.57,5749.6,3420867.96,3426617.56,3456746.01
92,2083,,CONTRATO,22944545.23,3974.45,11411808.75,11415783.2,11528762.03,30,6883363.57,1192.34,3426617.56,3427809.9,3455553.67
93,2088,,CONTRATO,22944545.23,228456.88,11415783.2,11644240.08,11300305.15,30,6883363.57,68537.06,3427809.9,3496346.96,3387016.61
94,2089,,CONTRATO,22944545.23,150758.9,11644240.08,11794998.98,11149546.25,30,6883363.57,45227.67,3496346.96,3541574.63,3341788.94
95,2101,,CONTRATO,22944545.23,12059.86,11794998.98,11807058.84,11137486.39,30,6883363.57,3617.96,3541574.63,3545192.59,3338170.98
96,2119,,CONTRATO,22944545.23,25336.06,11807058.84,11832394.9,11112150.33,30,6883363.57,7600.82,3545192.59,3552793.41,3330570.16
97,2158,,CONTRATO,22944545.23,6364.06,11832394.9,11838758.96,11105786.27,30,6883363.57,1909.22,3552793.41,3554702.63,3328660.94
98,2189,,CONTRATO,22944545.23,1663034.59,11838758.96,13501793.55,9442751.68,30,6883363.57,498910.38,3554702.63,4053613.01,2829750.56
99,2315,,CONTRATO,22944545.23,72205.53,13501793.55,13573999.08,9370546.15,30,6883363.57,21661.66,4053613.01,4075274.67,2808088.9
100,2318,,CONTRATO,22944545.23,94132.58,13573999.08,13668131.66,9276413.57,30,6883363.57,28239.77,4075274.67,4103514.44,2779849.13
101,2330,,CONTRATO,22944545.23,124170.02,13668131.66,13792301.68,9152243.55,30,6883363.57,37251.01,4103514.44,4140765.45,2742598.12
102,2386,,CONTRATO,22944545.23,8227.13,13792301.68,13800528.81,9144016.42,30,6883363.57,2468.14,4140765.45,4143233.59,2740129.98
103,2387,,CONTRATO,22944545.23,1277.75,13800528.81,13801806.56,9142738.67,30,6883363.57,383.33,4143233.59,4143616.92,2739746.65
104,2394,,CONTRATO,22944545.23,1189241.44,13801806.56,14991048,7953497.23,30,6883363.57,356772.43,4143616.92,4500389.35,2382974.22
105,2397,,CONTRATO,22944545.23,58388.54,14991048,15049436.54,7895108.69,30,6883363.57,17516.56,4500389.35,4517905.91,2365457.66
106,2402,,CONTRATO,22944545.23,212375.9,15049436.54,15261812.44,7682732.79,30,6883363.57,63712.77,4517905.91,4581618.68,2301744.89
107,2435,,CONTRATO,22944545.23,19032.35,15261812.44,15280844.79,7663700.44,30,6883363.57,5709.71,4581618.68,4587328.39,2296035.18
108,2436,,CONTRATO,22944545.23,25375.5,15280844.79,15306220.29,7638324.94,30,6883363.57,7612.65,4587328.39,4594941.04,2288422.53
109,2443,,CONTRATO,22944545.23,144967.59,15306220.29,15451187.88,7493357.35,30,6883363.57,43490.28,4594941.04,4638431.32,2244932.25
110,2469,,CONTRATO,22944545.23,41976.93,15451187.88,15493164.81,7451380.42,30,6883363.57,12593.08,4638431.32,4651024.4,2232339.17
111,2470,,CONTRATO,22944545.23,48410.94,15493164.81,15541575.75,7402969.48,30,6883363.57,14523.28,4651024.4,4665547.68,2217815.89
112,2494,,CONTRATO,22944545.23,92451.65,15541575.75,15634027.4,7310517.83,30,6883363.57,27735.5,4665547.68,4693283.18,2190080.39
113,2733,,CONTRATO,22944545.23,504085.48,15634027.4,16138112.88,6806432.35,30,6883363.57,151225.64,4693283.18,4844508.82,2038854.75
114,2776,,CONTRATO,22944545.23,45461.27,16138112.88,16183574.15,6760971.08,30,6883363.57,13638.38,4844508.82,4858147.2,2025216.37
115,2786,,CONTRATO,22944545.23,60976.71,16183574.15,16244550.86,6699994.37,30,6883363.57,18293.01,4858147.2,4876440.21,2006923.36
116,2813,,CONTRATO,22944545.23,0.9,16244550.86,16244551.76,6699993.47,30,6883363.57,0.27,4876440.21,4876440.48,2006923.09
117,2814,,CONTRATO,22944545.23,0.9,16244551.76,16244552.66,6699992.57,30,6883363.57,0.27,4876440.48,4876440.75,2006922.82
118,2815,,CONTRATO,22944545.23,836886.52,16244552.66,17081439.18,5863106.05,30,6883363.57,251065.96,4876440.75,5127506.71,1755856.86
119,2816,,CONTRATO,22944545.23,1572921.48,17081439.18,18654360.66,4290184.57,30,6883363.57,471876.44,5127506.71,5599383.15,1283980.42
120,2840,,CONTRATO,22944545.23,2187346.74,18654360.66,20841707.4,2102837.83,30,6883363.57,1283980.42,5599383.15,6883363.57,0
