Id_Suspension,Id_Contrato,Oficio_Suspension,Fecha_Suspension,Observaciones_Suspension,Oficio_Reinicio,Fecha_Reinicio,Observaciones_Reinicio,Fecha_Nuevo_Termino,Fecha_Oficio_Suspension,Fecha_Oficio_Reinicio
1,116,S/N,31/05/2011 00:00,,S/N,02/08/2011 00:00,,30/09/2011 00:00,31/05/2011 00:00,02/08/2011 00:00
2,90,DGOP/CT/0102/11,10/07/2011 00:00,,DGOP/CT/0102/11,19/12/2011 00:00,,25/12/2011 00:00,10/07/2011 00:00,19/12/2011 00:00
3,78,DGOP/CT/92/2011,17/06/2011 00:00,,DGOP/CT/147/11,04/10/2011 00:00,,27/11/2011 00:00,17/06/2011 00:00,04/10/2011 00:00
4,32,S/N,31/05/2012 00:00,,S/N,31/05/2012 00:00,,19/06/2012 00:00,31/05/2012 00:00,31/05/2012 00:00
5,39,S/N,28/11/2011 00:00,,S/N,25/06/2012 00:00,,01/07/2012 00:00,28/11/2011 00:00,25/06/2012 00:00
6,72,DGOP/CT/044/11,23/03/2011 00:00,,DGOP/CT/044/11,18/07/2011 00:00,,30/07/2011 00:00,23/03/2011 00:00,18/07/2011 00:00
7,415,DGOP/CT/0193/11,12/01/2012 00:00,,DGOP/CT/0193/11,10/09/2012 00:00,,26/09/2012 00:00,12/01/2012 00:00,10/09/2012 00:00
8,41,DGOP/CT/0157/11,22/10/2011 00:00,,DGOP/CT/0157/11,26/03/2012 00:00,,28/03/2012 00:00,22/10/2011 00:00,26/03/2012 00:00
9,223,DGOP/CT/0259/11,04/05/2012 00:00,,DGOP/CT/0259/11,02/04/2013 00:00,,03/04/2013 00:00,04/05/2012 00:00,02/04/2013 00:00
10,462,S/N SUSP,24/02/2014 00:00,,S/N REINICIO,24/02/2014 00:00,,24/03/2014 00:00,24/02/2014 00:00,24/02/2014 00:00
11,13,DGOP/CT/0307/12,30/07/2012 00:00,,DGOP/CT/0307/12,24/09/2012 00:00,,25/09/2012 00:00,30/07/2012 00:00,24/09/2012 00:00
