Id_Estimacion,Id_Contrato,No_Estimacion,Fecha_Estimacion,Avance_Fisico,Avance_Financiero,Fecha_Inicio_Estimacion,Fecha_Termino_Estimacion,Estatus,Tipo_Estimacion,Descripcion,No_Factura,Fecha_Factura,Fecha_Recibo,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Fecha_Suspension,Fecha_Reinicio,Fecha_Ampliacion,Fecha_Prorroga,Fecha_Ultima_Inicio_Contrato,Fecha_Ultima_Termino_Contrato,Caratula_Contrato_Estimado,Caratula_Contrato_IVA,Caratula_Contrato_Total,Caratula_Contrato_Amortizacion,Caratula_Contrato_Suma,Caratula_Contrato_Descuentos,Caratula_Contrato_Deducciones,Caratula_Contrato_Neto,Caratula_Ampliacion_Estimado,Caratula_Ampliacion_IVA,Caratula_Ampliacion_Total,Caratula_Ampliacion_Amortizacion,Caratula_Ampliacion_Suma,Caratula_Ampliacion_Descuentos,Caratula_Ampliacion_Deducciones,Caratula_Ampliacion_Neto,Caratula_Totales_Estimado,Caratula_Totales_IVA,Caratula_Totales_Total,Caratula_Totales_Amortizacion,Caratula_Totales_Suma,Caratula_Totales_Descuentos,Caratula_Totales_Deducciones,Caratula_Totales_Neto,Resumen_Contrato_Importe,Resumen_Contrato_Actual,Resumen_Contrato_Anterior,Resumen_Contrato_Acumulado,Resumen_Contrato_Por_Ejercer,Resumen_Ampliacion_Importe,Resumen_Ampliacion_Actual,Resumen_Ampliacion_Anterior,Resumen_Ampliacion_Acumulado,Resumen_Ampliacion_Por_Ejercer,Resumen_Total_Importe,Resumen_Total_Actual,Resumen_Total_Anterior,Resumen_Total_Acumulado,Resumen_Total_Por_Ejercer,Amortizacion_Contrato_Porcentaje,Amortizacion_Contrato_Importe,Amortizacion_Contrato_Actual,Amortizacion_Contrato_Anterior,Amortizacion_Contrato_Acumulado,Amortizacion_Contrato_Por_Ejercer,Amortizacion_Ampliacion_Porcentaje,Amortizacion_Ampliacion_Importe,Amortizacion_Ampliacion_Actual,Amortizacion_Ampliacion_Anterior,Amortizacion_Ampliacion_Acumulado,Amortizacion_Ampliacion_Por_Ejercer,Importe_Sancion,No_Control,Id_Fuente_Inversion,Numero_Oficio_Excedentes,Fecha_Oficio_Excedentes,Fecha_Registro,Fecha_Pago,Observaciones_Caratula,Observaciones_Generales,Imprime_Observaciones_Generales,Pagada,Fecha_Nuevo_Termino_Por_Reinicio
1205,331,1,30/09/2011 00:00,40.47,40.47,26/09/2011 00:00,30/09/2011 00:00,AUTORIZADA,NORMAL,EST. 1,,30/09/2011 00:00,30/09/2011 00:00,,,,,,,26/09/2011,19/11/2011,31504.38,5040.7,36545.08,0,36545.08,0,157.52,36387.56,0,0,0,0,0,0,0,0,31504.38,5040.7,36545.08,0,36545.08,0,157.52,36387.56,90290.86,36545.08,0,36545.08,53745.78,0,0,0,0,0,90290.86,36545.08,0,36545.08,53745.78,0,0,0,0,0,0,0,0,0,0,0,0,157.52,1,,,30/09/2011 00:00,28/10/2011 00:00,31/12/2011 00:00,,,0,0,
1206,171,7,27/10/2011 00:00,100,96.98,28/08/2011 00:00,03/09/2011 00:00,AUTORIZADA,FINIQUITO,7 FINIQUITO,,27/10/2011 00:00,27/10/2011 00:00,,,,,,,13/06/2011,03/09/2011,26607.5,4257.2,30864.7,0,30864.7,319.3,319.3,30545.4,0,0,0,0,0,0,0,0,26607.5,4257.2,30864.7,0,30864.7,319.3,319.3,30545.4,497572.43,30864.7,451701.37,482566.07,15006.36,0,0,0,0,0,497572.43,30864.7,451701.37,482566.07,15006.36,30,149271.73,0,149271.73,149271.73,0,0,0,0,0,0,0,0,1,,02146/2010,03/09/2011 00:00,28/10/2011 00:00,31/12/2011 00:00,,,0,0,
1207,193,7,27/10/2011 00:00,100,96.14,28/08/2011 00:00,03/09/2011 00:00,AUTORIZADA,FINIQUITO,7 FINIQUITO,,27/10/2011 00:00,27/10/2011 00:00,,,,,,,13/06/2011,03/09/2011,24974.32,3995.89,28970.21,0,28970.21,299.69,299.69,28670.52,0,0,0,0,0,0,0,0,24974.32,3995.89,28970.21,0,28970.21,299.69,299.69,28670.52,492334.52,28970.21,444382.09,473352.3,18982.22,0,0,0,0,0,492334.52,28970.21,444382.09,473352.3,18982.22,30,147700.36,0,147700.36,147700.36,0,0,0,0,0,0,0,0,1,,02147/2011,03/09/2011 00:00,28/10/2011 00:00,31/12/2011 00:00,,,0,0,
1208,329,1,15/10/2011 00:00,49.81,49.81,03/10/2011 00:00,15/10/2011 00:00,AUTORIZADA,NORMAL,EST. 1,,15/10/2011 00:00,15/10/2011 00:00,,,,,30/12/2011,,03/10/2011,30/12/2011,160281.45,25645.03,185926.48,55777.94,130148.54,0,801.41,129347.13,0,0,0,0,0,0,0,0,160281.45,25645.03,185926.48,55777.94,130148.54,0,801.41,129347.13,373251.53,185926.48,0,185926.48,187325.05,32679.75,0,0,0,32679.75,405931.28,185926.48,0,185926.48,220004.8,30,111975.46,55777.94,0,55777.94,56197.52,0,0,0,0,0,0,801.41,1,,0838/2011,15/10/2011 00:00,28/10/2011 00:00,31/12/2011 00:00,,,0,0,
1209,312,1,30/09/2011 00:00,10.35,10.35,05/09/2011 00:00,30/09/2011 00:00,AUTORIZADA,NORMAL,EST. 1,,30/09/2011 00:00,30/09/2011 00:00,,,,,30/12/2011,,05/09/2011,30/12/2011,85895.16,13743.23,99638.39,29891.52,69746.87,429.48,429.48,69317.39,0,0,0,0,0,0,0,0,85895.16,13743.23,99638.39,29891.52,69746.87,429.48,429.48,69317.39,962592.03,99638.39,0,99638.39,862953.64,216585.98,0,0,0,216585.98,1179178.01,99638.39,0,99638.39,1079539.62,30,288777.61,29891.52,0,29891.52,258886.09,0,0,0,0,0,0,0,1,,0841/2011,30/09/2011 00:00,28/10/2011 00:00,31/12/2011 00:00,,,0,0,
1210,311,1,30/09/2011 00:00,20.84,20.84,05/09/2011 00:00,30/09/2011 00:00,AUTORIZADA,NORMAL,EST. 1,,30/09/2011 00:00,30/09/2011 00:00,,,,,30/12/2011,,05/09/2011,30/12/2011,185091.38,29614.62,214706,64411.8,150294.2,925.46,925.46,149368.74,0,0,0,0,0,0,0,0,185091.38,29614.62,214706,64411.8,150294.2,925.46,925.46,149368.74,1030020.03,214706,0,214706,815314.03,100763.92,0,0,0,100763.92,1130783.95,214706,0,214706,916077.95,30,309006.01,64411.8,0,64411.8,244594.21,0,0,0,0,0,0,0,1,,0842/2011,30/09/2011 00:00,28/10/2011 00:00,31/12/2011 00:00,,,0,0,
1211,325,2,18/10/2011 00:00,16.34,16.34,01/10/2011 00:00,18/10/2011 00:00,AUTORIZADA,NORMAL,EST. 2,,18/10/2011 00:00,18/10/2011 00:00,,,,,04/03/2012,15/03/2012,26/09/2011,15/03/2012,404648.81,64743.81,469392.62,140817.79,328574.83,4855.79,4855.79,323719.04,0,0,0,0,0,0,0,0,404648.81,64743.81,469392.62,140817.79,328574.83,4855.79,4855.79,323719.04,6939228.44,469392.62,664154.01,1133546.63,5805681.81,2198645.99,0,0,0,2198645.99,9137874.43,469392.62,664154.01,1133546.63,8004327.8,60,2741308.33,140817.79,199246.2,340063.99,2401244.34,0,0,0,0,0,0,0,1,,0843/2011,18/10/2011 00:00,28/10/2011 00:00,31/12/2011 00:00,,,0,0,
1212,214,8,03/09/2011 00:00,81.29,81.29,01/09/2011 00:00,03/09/2011 00:00,AUTORIZADA,NORMAL,EST. 8,,03/09/2011 00:00,03/09/2011 00:00,27/06/2011,17/09/2011,,,,,27/06/2011,17/09/2011,197905.35,31664.86,229570.21,68871.06,160699.15,2374.86,2374.86,158324.29,0,0,0,0,0,0,0,0,197905.35,31664.86,229570.21,68871.06,160699.15,2374.86,2374.86,158324.29,2124287.78,229570.21,1497332.11,1726902.32,397385.46,0,0,0,0,0,2124287.78,229570.21,1497332.11,1726902.32,397385.46,30,637286.33,68871.06,449199.64,518070.7,119215.63,0,0,0,0,0,0,0,2,,0836/2011,03/09/2011 00:00,28/10/2011 00:00,31/12/2011 00:00,,,0,0,
1213,226,3,23/07/2011 00:00,20.66,20.66,18/07/2011 00:00,23/07/2011 00:00,AUTORIZADA,NORMAL,EST. 3,,23/07/2011 00:00,23/07/2011 00:00,,,,,30/11/2011,25/11/2011,04/07/2011,30/11/2011,141343.09,22614.89,163957.98,49187.39,114770.59,1696.12,1696.12,113074.47,0,0,0,0,0,0,0,0,141343.09,22614.89,163957.98,49187.39,114770.59,1696.12,1696.12,113074.47,3296706.68,163957.98,517145.59,681103.57,2615603.11,392855.69,0,0,0,392855.69,3689562.37,163957.98,517145.59,681103.57,3008458.8,30,989012,49187.39,155143.68,204331.07,784680.93,0,0,0,0,0,0,0,1,,0848/2011,23/07/2011 00:00,31/10/2011 00:00,31/12/2011 00:00,,,0,0,
1214,244,2,30/09/2011 00:00,21.16,21.16,01/09/2011 00:00,30/09/2011 00:00,AUTORIZADA,NORMAL,EST. 2,,30/09/2011 00:00,30/09/2011 00:00,19/08/2011,13/12/2011,,,30/12/2011,30/12/2011,19/08/2011,30/12/2011,428173.7,68507.79,496681.49,149004.45,347677.04,2140.87,2140.87,345536.17,0,0,0,0,0,0,0,0,428173.7,68507.79,496681.49,149004.45,347677.04,2140.87,2140.87,345536.17,3650514.59,496681.49,275809.02,772490.51,2878024.08,637717.44,0,0,0,637717.44,4288232.03,496681.49,275809.02,772490.51,3515741.52,30,1095154.38,149004.45,82742.71,231747.16,863407.22,0,0,0,0,0,0,0,2,,0825/2011,30/09/2011 00:00,31/10/2011 00:00,31/12/2011 00:00,,,0,0,
