Id_Obra_Recurso,Id_Obra,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Observaciones,Movimiento,No_Registro_Obrasi,Numero_Oficio,Fecha_Oficio
1,1,1,100,1698924.15,,INICIAL,1,S/N,02/01/2011 00:00
2,1,1,100,1718181.12,,AMPLIACION,62,S/N AMPLIACION,02/01/2011 00:00
3,2,1,100,846872.58,,INICIAL,2,S/N,02/01/2011 00:00
4,3,1,100,89108.3,,INICIAL,3,S/N,02/01/2011 00:00
5,5,1,49.47,489509.82,,INICIAL,7,S/N,02/01/2011 00:00
6,5,1,100,500000,,AMPLIACION,127,S/N AMPLIACION,02/01/2011 00:00
7,5,3,50.53,500000,,INICIAL,6,S/N,02/01/2011 00:00
8,13,1,100,1633086.59,,AMPLIACION,725,S/N AMP 2DA,02/01/2011 00:00
9,13,2,100,39431540.32,,INICIAL,16,S/N,02/01/2011 00:00
10,13,2,100,1772113.08,,AMPLIACION,723,S/N AMP,02/01/2011 00:00
11,6,4,100,9588023.41,,INICIAL,8,S/N,02/01/2011 00:00
12,7,6,12.61,2892685,,INICIAL,10,S/N,02/01/2011 00:00
13,7,5,87.39,20051860.23,,INICIAL,9,S/N,02/01/2011 00:00
14,8,11,68.51,20816448.08,,INICIAL,12,S/N,02/01/2011 00:00
15,8,2,31.49,9568849.68,,INICIAL,11,S/N,02/01/2011 00:00
16,42,24,100,73912137.93,,INICIAL,44,S/N,02/01/2011 00:00
17,16,7,100,112998.22,,INICIAL,18,S/N,02/01/2011 00:00
18,17,1,100,813091.95,,INICIAL,19,S/N,02/01/2011 00:00
19,17,1,100,33914.37,,AMPLIACION,297,S/N AMPLIACION,02/01/2011 00:00
20,9,1,100,1087630.81,,INICIAL,13,S/N,02/01/2011 00:00
21,29,7,100,584001.68,,INICIAL,30,S/N,02/01/2011 00:00
22,10,8,100,226969.78,,INICIAL,14,S/N,02/01/2011 00:00
23,11,7,100,530599.43,,INICIAL,15,S/N,02/01/2011 00:00
24,12,1,100,1610103.59,,INICIAL,128,S/N,02/01/2011 00:00
25,12,1,100,377539.9,,AMPLIACION,358,S/N AMPLIACION,02/01/2011 00:00
26,4,1,15.28,90187.86,,INICIAL,5,S/N,02/01/2011 00:00
27,4,10,84.72,500000,,INICIAL,4,S/N,02/01/2011 00:00
28,18,12,100,1146556.96,,INICIAL,20,S/N,02/01/2011 00:00
29,19,1,100,87653.76,,INICIAL,21,S/N,02/01/2011 00:00
30,20,14,100,1489010.13,,INICIAL,22,S/N,02/01/2011 00:00
31,26,14,100,1099793.53,,INICIAL,28,S/N,02/01/2011 00:00
32,26,14,100,40000,,AMPLIACION,109,S/N AMPLIACION,02/01/2011 00:00
33,30,14,100,789538.92,,INICIAL,31,S/N,02/01/2011 00:00
34,30,14,100,82277.12,,AMPLIACION,107,S/N AMPLIACION,02/01/2011 00:00
35,21,14,100,1617836.64,,INICIAL,23,S/N,02/01/2011 00:00
36,22,1,100,2342907.68,,INICIAL,24,S/N,02/01/2011 00:00
37,74,7,100,47924.37,,INICIAL,71,S/N,02/01/2011 00:00
38,74,7,100,72499.35,,AMPLIACION,251,S/N AMPLIACION,02/01/2011 00:00
39,14,15,100,644248.92,,INICIAL,17,S/N,02/01/2011 00:00
40,23,1,100,207661.62,,INICIAL,25,S/N,02/01/2011 00:00
41,32,16,100,243663.94,,INICIAL,33,S/N,02/01/2010 00:00
42,24,15,100,44094.8,,INICIAL,26,S/N,02/01/2011 00:00
43,33,22,100,265244.41,,INICIAL,34,S/N,02/01/2011 00:00
44,25,1,100,255964.05,,INICIAL,27,S/N,02/01/2011 00:00
45,34,23,100,523293.64,,INICIAL,35,S/N,02/01/2011 00:00
46,34,17,100,211967.45,,AMPLIACION,389,S/N AMPLIACION,02/01/2011 00:00
47,27,21,100,2935210.25,,INICIAL,36,S/N,02/01/2011 00:00
48,39,17,100,362884.86,,INICIAL,41,S/N,02/01/2011 00:00
49,35,17,100,330101.9,,INICIAL,37,S/N,02/01/2011 00:00
50,36,20,100,680553.6,,INICIAL,38,S/N,02/01/2011 00:00
51,37,20,100,283938.7,,INICIAL,39,S/N,02/01/2011 00:00
52,45,1,100,348000,,INICIAL,47,S/N,02/01/2011 00:00
53,28,1,100,136891.91,,INICIAL,29,S/N,02/01/2010 00:00
54,40,19,100,289001.22,,INICIAL,42,S/N,02/01/2011 00:00
55,40,19,100,105018.34,,AMPLIACION,470,S/N AMP,02/01/2011 00:00
56,38,19,100,23472.6,,INICIAL,40,S/N,02/01/2011 00:00
57,31,1,100,127062.92,,INICIAL,32,S/N,02/01/2011 00:00
58,41,7,100,497595.58,,INICIAL,43,S/N,02/01/2011 00:00
59,41,40,100,54333.05,,AMPLIACION,210,S/N AMPLIACION,02/01/2011 00:00
60,46,17,100,359548.65,,INICIAL,48,S/N,02/01/2011 00:00
61,44,1,100,508444.25,,INICIAL,46,S/N,02/01/2011 00:00
62,73,7,100,1517203.14,,INICIAL,70,S/N,02/01/2011 00:00
63,54,26,100,936428.1,,INICIAL,56,S/N,02/01/2011 00:00
64,54,26,100,637295.84,,AMPLIACION,254,S/N AMPLIACION,02/01/2011 00:00
65,58,26,100,466629.49,,INICIAL,60,S/N,02/01/2011 00:00
66,58,26,100,317637.32,,AMPLIACION,253,S/N AMPLIACION,02/01/2011 00:00
67,76,34,100,1798198.3,,INICIAL,79,S/N,02/01/2011 00:00
68,76,34,100,210636.35,,AMPLIACION,651,S/N AMP,02/01/2011 00:00
69,77,34,100,3445646.37,,INICIAL,80,,21/09/2016 00:00
70,77,34,100,395700.49,,AMPLIACION,652,S/N AMP,02/01/2011 00:00
71,67,26,100,644762.52,,INICIAL,64,S/N,02/01/2011 00:00
72,67,26,100,577126.45,,AMPLIACION,243,S/N AMPLIACION,02/01/2011 00:00
73,69,26,100,413938.58,,INICIAL,66,S/N,02/01/2011 00:00
74,69,26,100,304780.72,,AMPLIACION,242,S/N AMPLIACION,02/01/2011 00:00
75,49,26,100,1427139.97,,INICIAL,51,S/N,02/01/2011 00:00
76,49,26,100,977877.58,,AMPLIACION,246,S/N AMPLIACION,02/01/2011 00:00
77,135,26,100,401253.98,,INICIAL,142,S/N,02/01/2011 00:00
78,135,26,100,295501.56,,INICIAL,272,,21/09/2016 00:00
79,135,26,100,295501.56,,AMPLIACION,359,S/N   AMPLIACIO,02/01/2011 00:00
80,55,26,100,489728.57,,INICIAL,57,S/N,02/01/2011 00:00
81,55,26,100,333042.22,,AMPLIACION,239,S/N AMPLIACION,02/01/2011 00:00
82,70,26,100,485668.57,,INICIAL,67,S/N,02/01/2011 00:00
83,70,26,100,330313.99,,AMPLIACION,252,S/N AMPLIACION,02/01/2011 00:00
84,50,26,100,863830.08,,INICIAL,52,S/N,02/01/2011 00:00
85,50,26,100,588489.55,,AMPLIACION,245,S/N AMPLIACION,02/01/2011 00:00
86,51,26,100,890611.93,,INICIAL,53,S/N,02/01/2011 00:00
87,51,26,100,606222.74,,AMPLIACION,248,S/N AMPLIACION,02/01/2011 00:00
88,78,26,100,294764.58,,INICIAL,81,S/N,02/01/2011 00:00
89,78,26,100,310730.78,,AMPLIACION,287,S/N AMPLIACION,02/01/2011 00:00
90,57,26,100,293475.65,,INICIAL,59,S/N,02/01/2011 00:00
91,57,26,100,216929.65,,AMPLIACION,255,S/N AMPLIACION,02/01/2011 00:00
92,52,26,100,420512.76,,INICIAL,54,S/N,02/01/2011 00:00
93,52,26,100,377804.65,,AMPLIACION,249,S/N AMPLIACION,02/01/2011 00:00
94,53,26,100,375659.16,,INICIAL,55,,21/09/2016 00:00
95,53,26,100,265234.93,,AMPLIACION,240,S/N AMPLIACION,02/01/2011 00:00
96,56,26,100,301311.3,,INICIAL,58,S/N,02/01/2011 00:00
97,56,26,100,245719.74,,AMPLIACION,238,S/N AMPLIACION,02/01/2011 00:00
98,47,26,100,454610.96,,INICIAL,49,S/N,02/01/2011 00:00
99,47,26,100,405374.06,,AMPLIACION,250,S/N AMPLIACION,02/01/2011 00:00
100,72,26,100,154196.03,,INICIAL,69,S/N,02/01/2011 00:00
