Id_Fuera_Catalogo,Id_Contrato,Fecha_Registro,Fecha_Ultima_Autorizada,Fecha_Instruccion_Bitacora,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Estatus
4,2,21/02/2011 00:00,21/02/2011 00:00,21/02/2011 00:00,102/2011,21/02/2011 00:00,,AUTORIZADO
5,1,04/03/2011 00:00,04/03/2011 00:00,04/03/2011 00:00,103/2011,04/03/2011 00:00,,AUTORIZADO
11,1,04/03/2011 00:00,04/03/2011 00:00,04/03/2011 00:00,126/2011,04/03/2011 00:00,,AUTORIZADO
12,4,17/03/2011 00:00,17/03/2011 00:00,17/03/2011 00:00,130/2011,17/03/2011 00:00,,AUTORIZADO
16,4,18/03/2011 00:00,18/03/2011 00:00,18/03/2011 00:00,133/2011,18/03/2011 00:00,,AUTORIZADO
17,28,22/03/2011 00:00,22/03/2011 00:00,22/03/2011 00:00,137/2011,22/03/2011 00:00,,AUTORIZADO
18,25,25/03/2011 00:00,25/03/2011 00:00,25/03/2011 00:00,138/2011,25/03/2011 00:00,,AUTORIZADO
24,1,14/03/2011 00:00,14/03/2011 00:00,14/03/2011 00:00,156/2011,14/03/2011 00:00,,AUTORIZADO
26,7,18/03/2011 00:00,18/03/2011 00:00,18/03/2011 00:00,167/2011,18/03/2011 00:00,,AUTORIZADO
31,11,04/04/2011 00:00,04/04/2011 00:00,04/04/2011 00:00,171/2011,04/04/2011 00:00,,AUTORIZADO
38,25,11/04/2011 00:00,11/04/2011 00:00,11/04/2011 00:00,180/2011,11/04/2011 00:00,,AUTORIZADO
39,25,11/04/2011 00:00,11/04/2011 00:00,11/04/2011 00:00,181/2011,11/04/2011 00:00,,AUTORIZADO
40,28,11/04/2011 00:00,11/04/2011 00:00,11/04/2011 00:00,182/2011,11/04/2011 00:00,,AUTORIZADO
41,27,07/04/2011 00:00,07/04/2011 00:00,07/04/2011 00:00,183/2011,07/04/2011 00:00,,AUTORIZADO
45,1,25/03/2011 00:00,25/03/2011 00:00,25/03/2011 00:00,188/2011,25/03/2011 00:00,,AUTORIZADO
47,27,07/04/2011 00:00,07/04/2011 00:00,07/04/2011 00:00,200/2011,07/04/2011 00:00,,AUTORIZADO
49,19,18/04/2011 00:00,18/04/2011 00:00,18/04/2011 00:00,203/2011,18/04/2011 00:00,,AUTORIZADO
50,30,18/04/2011 00:00,18/04/2011 00:00,18/04/2011 00:00,206/2011,18/04/2011 00:00,,AUTORIZADO
103,20,03/05/2011 00:00,03/05/2011 00:00,03/05/2011 00:00,223/2011,03/05/2011 00:00,,AUTORIZADO
116,25,16/05/2011 00:00,16/05/2011 00:00,16/05/2011 00:00,231/2011,16/05/2011 00:00,,AUTORIZADO
118,8,03/05/2011 00:00,03/05/2011 00:00,03/05/2011 00:00,233/2011,03/05/2011 00:00,,AUTORIZADO
