Id_Estimacion,Id_Contrato,No_Estimacion,Fecha_Estimacion,Avance_Fisico,Avance_Financiero,Fecha_Inicio_Estimacion,Fecha_Termino_Estimacion,Estatus,Tipo_Estimacion,Descripcion,No_Factura,Fecha_Factura,Fecha_Recibo,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Fecha_Suspension,Fecha_Reinicio,Fecha_Ampliacion,Fecha_Prorroga,Fecha_Ultima_Inicio_Contrato,Fecha_Ultima_Termino_Contrato,Caratula_Contrato_Estimado,Caratula_Contrato_IVA,Caratula_Contrato_Total,Caratula_Contrato_Amortizacion,Caratula_Contrato_Suma,Caratula_Contrato_Descuentos,Caratula_Contrato_Deducciones,Caratula_Contrato_Neto,Caratula_Ampliacion_Estimado,Caratula_Ampliacion_IVA,Caratula_Ampliacion_Total,Caratula_Ampliacion_Amortizacion,Caratula_Ampliacion_Suma,Caratula_Ampliacion_Descuentos,Caratula_Ampliacion_Deducciones,Caratula_Ampliacion_Neto,Caratula_Totales_Estimado,Caratula_Totales_IVA,Caratula_Totales_Total,Caratula_Totales_Amortizacion,Caratula_Totales_Suma,Caratula_Totales_Descuentos,Caratula_Totales_Deducciones,Caratula_Totales_Neto,Resumen_Contrato_Importe,Resumen_Contrato_Actual,Resumen_Contrato_Anterior,Resumen_Contrato_Acumulado,Resumen_Contrato_Por_Ejercer,Resumen_Ampliacion_Importe,Resumen_Ampliacion_Actual,Resumen_Ampliacion_Anterior,Resumen_Ampliacion_Acumulado,Resumen_Ampliacion_Por_Ejercer,Resumen_Total_Importe,Resumen_Total_Actual,Resumen_Total_Anterior,Resumen_Total_Acumulado,Resumen_Total_Por_Ejercer,Amortizacion_Contrato_Porcentaje,Amortizacion_Contrato_Importe,Amortizacion_Contrato_Actual,Amortizacion_Contrato_Anterior,Amortizacion_Contrato_Acumulado,Amortizacion_Contrato_Por_Ejercer,Amortizacion_Ampliacion_Porcentaje,Amortizacion_Ampliacion_Importe,Amortizacion_Ampliacion_Actual,Amortizacion_Ampliacion_Anterior,Amortizacion_Ampliacion_Acumulado,Amortizacion_Ampliacion_Por_Ejercer,Importe_Sancion,No_Control,Id_Fuente_Inversion,Numero_Oficio_Excedentes,Fecha_Oficio_Excedentes,Fecha_Registro,Fecha_Pago,Observaciones_Caratula,Observaciones_Generales,Imprime_Observaciones_Generales,Pagada,Fecha_Nuevo_Termino_Por_Reinicio
1,9,1,16/02/2014 00:00,83.04,83.04,10/02/2014 00:00,16/02/2014 00:00,AUTORIZADA,NORMAL,EST. 1,,16/02/2014 00:00,16/02/2014 00:00,,,,,,,10/02/2014,22/02/2014,21891.74,3502.68,25394.42,0,25394.42,0,109.46,25284.96,0,0,0,0,0,0,0,0,21891.74,3502.68,25394.42,0,25394.42,0,109.46,25284.96,30579.62,25394.42,0,25394.42,5185.2,0,0,0,0,0,30579.62,25394.42,0,25394.42,5185.2,0,0,0,0,0,0,0,0,0,0,0,0,109.46,1,,,16/02/2014 00:00,25/02/2014 00:00,31/12/2014 00:00,,,0,0,
2,8,1,24/02/2014 00:00,20.81,20.81,17/02/2014 00:00,24/02/2014 00:00,AUTORIZADA,NORMAL,EST. 1,,24/02/2014 00:00,24/02/2014 00:00,,,14/11/2014,02/10/2015,19/10/2015,01/12/2014,17/02/2014,19/10/2015,192143.8,30743.01,222886.81,0,222886.81,0,960.72,221926.09,0,0,0,0,0,0,0,0,192143.8,30743.01,222886.81,0,222886.81,0,960.72,221926.09,1071183.88,222886.81,0,222886.81,848297.07,985050.26,0,0,0,985050.26,2056234.14,222886.81,0,222886.81,1833347.33,0,0,0,0,0,0,0,0,0,0,0,0,960.72,1,,,24/02/2014 00:00,25/02/2014 00:00,31/12/2014 00:00,,,0,0,
3,10,1,17/02/2014 00:00,55.84,55.84,10/02/2014 00:00,17/02/2014 00:00,AUTORIZADA,NORMAL,EST. 1,,17/02/2014 00:00,17/02/2014 00:00,,,,,,,10/02/2014,08/03/2014,43159.69,6905.55,50065.24,0,50065.24,0,215.8,49849.44,0,0,0,0,0,0,0,0,43159.69,6905.55,50065.24,0,50065.24,0,215.8,49849.44,89652.31,50065.24,0,50065.24,39587.07,0,0,0,0,0,89652.31,50065.24,0,50065.24,39587.07,0,0,0,0,0,0,0,0,0,0,0,0,215.8,1,,0001/2013,17/02/2014 00:00,28/02/2014 00:00,31/12/2014 00:00,,,0,0,
4,8,2,28/02/2014 00:00,44.8,44.8,25/02/2014 00:00,28/02/2014 00:00,AUTORIZADA,NORMAL,EST. 2,,28/02/2014 00:00,28/02/2014 00:00,,,14/11/2014,02/10/2015,19/10/2015,01/12/2014,17/02/2014,19/10/2015,221583.67,35453.39,257037.06,0,257037.06,0,1107.92,255929.14,0,0,0,0,0,0,0,0,221583.67,35453.39,257037.06,0,257037.06,0,1107.92,255929.14,1071183.88,257037.06,222886.81,479923.87,591260.01,985050.26,0,0,0,985050.26,2056234.14,257037.06,222886.81,479923.87,1576310.27,0,0,0,0,0,0,0,0,0,0,0,0,1107.92,1,,,28/02/2014 00:00,05/03/2014 00:00,31/12/2014 00:00,,,0,0,
5,6,1,28/02/2014 00:00,18.59,18.59,14/02/2014 00:00,28/02/2014 00:00,AUTORIZADA,NORMAL,EST. 1,,28/02/2014 00:00,28/02/2014 00:00,14/02/2014,04/06/2014,,,,28/06/2014,14/02/2014,28/06/2014,652650.36,104424.06,757074.42,227122.33,529952.09,7831.8,7831.8,522120.29,0,0,0,0,0,0,0,0,652650.36,104424.06,757074.42,227122.33,529952.09,7831.8,7831.8,522120.29,4073321.51,757074.42,0,757074.42,3316247.09,0,0,0,0,0,4073321.51,757074.42,0,757074.42,3316247.09,30,1221996.45,227122.33,0,227122.33,994874.12,0,0,0,0,0,0,0,1,,,28/02/2014 00:00,06/03/2014 00:00,31/12/2014 00:00,,,0,0,
6,8,3,10/03/2014 00:00,51.57,51.57,01/03/2014 00:00,10/03/2014 00:00,AUTORIZADA,NORMAL,EST. 3,,10/03/2014 00:00,10/03/2014 00:00,,,14/11/2014,02/10/2015,19/10/2015,01/12/2014,17/02/2014,19/10/2015,62492.05,9998.73,72490.78,0,72490.78,0,312.46,72178.32,0,0,0,0,0,0,0,0,62492.05,9998.73,72490.78,0,72490.78,0,312.46,72178.32,1071183.88,72490.78,479923.87,552414.65,518769.23,985050.26,0,0,0,985050.26,2056234.14,72490.78,479923.87,552414.65,1503819.49,0,0,0,0,0,0,0,0,0,0,0,0,312.46,1,,,10/03/2014 00:00,10/03/2014 00:00,31/12/2014 00:00,,,0,0,
7,20,1,28/02/2014 00:00,6.93,6.93,24/02/2014 00:00,28/02/2014 00:00,AUTORIZADA,NORMAL,EST. 1,,28/02/2014 00:00,28/02/2014 00:00,,,,,,,24/02/2014,17/05/2014,106158.95,16985.43,123144.38,36943.31,86201.07,1273.91,1273.91,84927.16,0,0,0,0,0,0,0,0,106158.95,16985.43,123144.38,36943.31,86201.07,1273.91,1273.91,84927.16,1776654.91,123144.38,0,123144.38,1653510.53,0,0,0,0,0,1776654.91,123144.38,0,123144.38,1653510.53,30,532996.47,36943.31,0,36943.31,496053.16,0,0,0,0,0,0,0,1,,,28/02/2014 00:00,10/03/2014 00:00,31/12/2014 00:00,,,0,0,
8,12,1,28/02/2014 00:00,19.64,19.64,14/02/2014 00:00,28/02/2014 00:00,AUTORIZADA,NORMAL,EST. 1,,28/02/2014 00:00,28/02/2014 00:00,14/02/2014,07/05/2014,,,,,14/02/2014,07/05/2014,73516.33,11762.61,85278.94,25583.68,59695.26,882.19,882.19,58813.07,0,0,0,0,0,0,0,0,73516.33,11762.61,85278.94,25583.68,59695.26,882.19,882.19,58813.07,434311.1,85278.94,0,85278.94,349032.16,0,0,0,0,0,434311.1,85278.94,0,85278.94,349032.16,30,130293.33,25583.68,0,25583.68,104709.65,0,0,0,0,0,0,0,1,,0989/2014,28/02/2014 00:00,12/03/2014 00:00,31/12/2014 00:00,,,0,0,
9,26,1,14/03/2014 00:00,7.67,7.67,03/03/2014 00:00,14/03/2014 00:00,AUTORIZADA,NORMAL,EST. 1,,14/03/2014 00:00,14/03/2014 00:00,,,,,23/12/2014,23/12/2014,03/03/2014,23/12/2014,79567.95,12730.87,92298.82,0,92298.82,0,397.84,91900.98,0,0,0,0,0,0,0,0,79567.95,12730.87,92298.82,0,92298.82,0,397.84,91900.98,1203025.66,92298.82,0,92298.82,1110726.84,310024.78,0,0,0,310024.78,1513050.44,92298.82,0,92298.82,1420751.62,0,0,0,0,0,0,0,0,0,0,0,0,397.84,1,,0002/2014,14/03/2014 00:00,19/03/2014 00:00,31/12/2014 00:00,,,0,0,
10,13,1,28/02/2014 00:00,2.34,2.34,17/02/2014 00:00,28/02/2014 00:00,AUTORIZADA,NORMAL,EST. 1,,28/02/2014 00:00,28/02/2014 00:00,,,,,31/05/2014,,17/02/2014,31/05/2014,27329.53,4372.72,31702.25,9510.68,22191.57,327.96,327.96,21863.61,0,0,0,0,0,0,0,0,27329.53,4372.72,31702.25,9510.68,22191.57,327.96,327.96,21863.61,1354488.96,31702.25,0,31702.25,1322786.71,230464.71,0,0,0,230464.71,1584953.67,31702.25,0,31702.25,1553251.42,30,406346.69,9510.68,0,9510.68,396836.01,0,0,0,0,0,0,0,1,,1020/2013,28/02/2014 00:00,21/03/2014 00:00,31/12/2014 00:00,,,0,0,
