Id_Fuera_Catalogo,Id_Contrato,Fecha_Registro,Fecha_Ultima_Autorizada,Fecha_Instruccion_Bitacora,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Estatus
1,11,25/02/2014 00:00,25/02/2014 00:00,25/02/2014 00:00,048/2014,25/02/2014 00:00,,AUTORIZADO
3,12,12/03/2014 00:00,12/03/2014 00:00,12/03/2014 00:00,071/2014,12/03/2014 00:00,,AUTORIZADO
5,1,10/03/2014 00:00,10/03/2014 00:00,10/03/2014 00:00,078/2014,10/03/2014 00:00,,AUTORIZADO
7,15,18/03/2014 00:00,18/03/2014 00:00,18/03/2014 00:00,082/2014,18/03/2014 00:00,,AUTORIZADO
13,15,18/03/2014 00:00,18/03/2014 00:00,18/03/2014 00:00,097/2014,18/03/2014 00:00,,AUTORIZADO
14,3,21/03/2014 00:00,21/03/2014 00:00,21/03/2014 00:00,098/2014,21/03/2014 00:00,,AUTORIZADO
16,32,21/03/2014 00:00,21/03/2014 00:00,21/03/2014 00:00,101/2014,21/03/2014 00:00,,AUTORIZADO
20,21,20/03/2014 00:00,20/03/2014 00:00,20/03/2014 00:00,108/2014,20/03/2014 00:00,,AUTORIZADO
22,12,04/04/2014 00:00,04/04/2014 00:00,04/04/2014 00:00,133/2014,04/04/2014 00:00,,AUTORIZADO
25,3,31/03/2014 00:00,31/03/2014 00:00,31/03/2014 00:00,140/2014,31/03/2014 00:00,,AUTORIZADO
30,4,08/04/2014 00:00,08/04/2014 00:00,08/04/2014 00:00,147/2014,08/04/2014 00:00,,AUTORIZADO
32,21,03/04/2014 00:00,03/04/2014 00:00,03/04/2014 00:00,153/2014,03/04/2014 00:00,,AUTORIZADO
33,8,03/04/2014 00:00,03/04/2014 00:00,03/04/2014 00:00,154/2014,03/04/2014 00:00,,AUTORIZADO
34,22,04/04/2014 00:00,04/04/2014 00:00,04/04/2014 00:00,155/2014,04/04/2014 00:00,,AUTORIZADO
35,22,09/04/2014 00:00,09/04/2014 00:00,09/04/2014 00:00,156/2014,09/04/2014 00:00,,AUTORIZADO
36,11,10/04/2014 00:00,10/04/2014 00:00,10/04/2014 00:00,157/2014,10/04/2014 00:00,,AUTORIZADO
40,1,01/04/2014 00:00,01/04/2014 00:00,01/04/2014 00:00,160/2014,01/04/2014 00:00,,AUTORIZADO
48,1,24/04/2014 00:00,24/04/2014 00:00,24/04/2014 00:00,163/2014,24/04/2014 00:00,,AUTORIZADO
50,12,09/04/2014 00:00,09/04/2014 00:00,09/04/2014 00:00,164/2014,09/04/2014 00:00,,AUTORIZADO
52,3,28/04/2014 00:00,28/04/2014 00:00,28/04/2014 00:00,168/2014,28/04/2014 00:00,,AUTORIZADO
53,32,15/04/2014 00:00,15/04/2014 00:00,15/04/2014 00:00,170/2014,15/04/2014 00:00,,AUTORIZADO
54,11,02/05/2014 00:00,02/05/2014 00:00,02/05/2014 00:00,171/2014,02/05/2014 00:00,,AUTORIZADO
60,33,06/05/2014 00:00,06/05/2014 00:00,06/05/2014 00:00,175/2014,06/05/2014 00:00,,AUTORIZADO
65,13,07/05/2014 00:00,07/05/2014 00:00,07/05/2014 00:00,181/2014,07/05/2014 00:00,,AUTORIZADO
66,3,30/04/2014 00:00,30/04/2014 00:00,30/04/2014 00:00,182/2014,30/04/2014 00:00,,AUTORIZADO
67,13,07/05/2014 00:00,07/05/2014 00:00,07/05/2014 00:00,183/2014,07/05/2014 00:00,,AUTORIZADO
71,57,15/05/2014 00:00,15/05/2014 00:00,15/05/2014 00:00,192/2014,15/05/2014 00:00,,AUTORIZADO
72,14,15/05/2014 00:00,15/05/2014 00:00,15/05/2014 00:00,193/2014,15/05/2014 00:00,,AUTORIZADO
82,4,21/05/2014 00:00,21/05/2014 00:00,21/05/2014 00:00,198/2014,21/05/2014 00:00,,AUTORIZADO
85,43,15/05/2014 00:00,15/05/2014 00:00,15/05/2014 00:00,200/2014,15/05/2014 00:00,,AUTORIZADO
97,49,01/05/2014 00:00,01/05/2014 00:00,01/05/2014 00:00,207/2014,01/05/2014 00:00,,AUTORIZADO
98,23,07/05/2014 00:00,07/05/2014 00:00,07/05/2014 00:00,208/2014,07/05/2014 00:00,,AUTORIZADO
100,48,09/05/2014 00:00,09/05/2014 00:00,09/05/2014 00:00,209/2014,09/05/2014 00:00,,AUTORIZADO
101,21,09/05/2014 00:00,09/05/2014 00:00,09/05/2014 00:00,210/2014,09/05/2014 00:00,,AUTORIZADO
102,15,25/04/2014 00:00,25/04/2014 00:00,25/04/2014 00:00,215/2014,25/04/2014 00:00,,AUTORIZADO
108,32,11/04/2014 00:00,11/04/2014 00:00,11/04/2014 00:00,221/2014,11/04/2014 00:00,,AUTORIZADO
109,14,15/05/2014 00:00,15/05/2014 00:00,15/05/2014 00:00,222/2014,15/05/2014 00:00,,AUTORIZADO
112,44,16/05/2014 00:00,16/05/2014 00:00,16/05/2014 00:00,224/2014,16/05/2014 00:00,,AUTORIZADO
113,12,14/05/2014 00:00,14/05/2014 00:00,14/05/2014 00:00,228/2014,14/05/2014 00:00,,AUTORIZADO
114,4,27/05/2014 00:00,27/05/2014 00:00,27/05/2014 00:00,229/2014,27/05/2014 00:00,,AUTORIZADO
116,4,27/05/2014 00:00,27/05/2014 00:00,27/05/2014 00:00,230/2014,27/05/2014 00:00,,AUTORIZADO
120,4,27/05/2014 00:00,27/05/2014 00:00,27/05/2014 00:00,231/2014,27/05/2014 00:00,,AUTORIZADO
121,26,29/05/2014 00:00,29/05/2014 00:00,29/05/2014 00:00,232/2014,29/05/2014 00:00,,AUTORIZADO
130,43,26/05/2014 00:00,26/05/2014 00:00,26/05/2014 00:00,242/2014,26/05/2014 00:00,,AUTORIZADO
131,35,04/06/2014 00:00,04/06/2014 00:00,04/06/2014 00:00,243/2014,04/06/2014 00:00,,AUTORIZADO
137,1,09/05/2014 00:00,09/05/2014 00:00,09/05/2014 00:00,249/2014,09/05/2014 00:00,,AUTORIZADO
138,5,04/05/2014 00:00,04/05/2014 00:00,04/05/2014 00:00,250/2014,04/05/2014 00:00,,AUTORIZADO
139,61,30/05/2014 00:00,30/05/2014 00:00,30/05/2014 00:00,251/2014,30/05/2014 00:00,,AUTORIZADO
140,74,30/05/2014 00:00,30/05/2014 00:00,30/05/2014 00:00,252/2014,30/05/2014 00:00,,AUTORIZADO
141,11,30/05/2014 00:00,30/05/2014 00:00,30/05/2014 00:00,253/2014,30/05/2014 00:00,,AUTORIZADO
142,59,02/06/2014 00:00,02/06/2014 00:00,02/06/2014 00:00,254/2014,02/06/2014 00:00,,AUTORIZADO
146,40,30/05/2014 00:00,30/05/2014 00:00,30/05/2014 00:00,245/2014,30/05/2014 00:00,,AUTORIZADO
147,36,02/06/2014 00:00,02/06/2014 00:00,02/06/2014 00:00,244/2014,02/06/2014 00:00,,AUTORIZADO
150,87,22/05/2014 00:00,22/05/2014 00:00,22/05/2014 00:00,259/2014,22/05/2014 00:00,,AUTORIZADO
152,64,16/06/2014 00:00,16/06/2014 00:00,16/06/2014 00:00,260/2014,16/06/2014 00:00,,AUTORIZADO
153,100,17/06/2014 00:00,17/06/2014 00:00,17/06/2014 00:00,262/2014,17/06/2014 00:00,,AUTORIZADO
156,64,17/06/2014 00:00,17/06/2014 00:00,17/06/2014 00:00,263/2014,17/06/2014 00:00,,AUTORIZADO
160,28,19/06/2014 00:00,19/06/2014 00:00,19/06/2014 00:00,265/2014,19/06/2014 00:00,,AUTORIZADO
173,56,26/05/2014 00:00,26/05/2014 00:00,26/05/2014 00:00,268/2014,26/05/2014 00:00,,AUTORIZADO
178,63,23/06/2014 00:00,23/06/2014 00:00,23/06/2014 00:00,269/2014,23/06/2014 00:00,,AUTORIZADO
179,49,23/06/2014 00:00,23/06/2014 00:00,23/06/2014 00:00,270/2014,23/06/2014 00:00,,AUTORIZADO
183,39,23/06/2014 00:00,23/06/2014 00:00,23/06/2014 00:00,274/2014,23/06/2014 00:00,,AUTORIZADO
184,28,28/05/2014 00:00,28/05/2014 00:00,28/05/2014 00:00,278/2014,28/05/2014 00:00,,AUTORIZADO
193,6,09/06/2014 00:00,09/06/2014 00:00,09/06/2014 00:00,283/2014,09/06/2014 00:00,,AUTORIZADO
194,13,26/06/2014 00:00,26/06/2014 00:00,26/06/2014 00:00,284/2014,26/06/2014 00:00,,AUTORIZADO
195,109,27/06/2014 00:00,27/06/2014 00:00,27/06/2014 00:00,286/2014,27/06/2014 00:00,,AUTORIZADO
196,117,27/06/2014 00:00,27/06/2014 00:00,27/06/2014 00:00,287/2014,27/06/2014 00:00,,AUTORIZADO
