Id_Obra_Recurso,Id_Obra,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Observaciones,Movimiento,No_Registro_Obrasi,Numero_Oficio,Fecha_Oficio
1,7,3,100,2682950.96,,INICIAL,7,S/N,02/01/2014 00:00
2,1,3,100,1998022.72,,INICIAL,3,S/N,02/01/2014 00:00
3,1,3,100,597350.41,,AMPLIACION,131,S/N AMPLIACION,02/01/2014 00:00
4,2,43,100,1999999.33,,AMPLIACION,386,S/N 2DA AMPLIAC,02/01/2014 00:00
5,2,4,100,57371414.11,,INICIAL,4,S/N,02/01/2014 00:00
6,2,4,100,4428585.89,,AMPLIACION,163,S/N AMPLIACION,02/01/2014 00:00
7,5,5,100,15520877.38,,INICIAL,5,S/N,02/01/2014 00:00
8,5,5,100,2530973.62,,AMPLIACION,136,S/N AMPLIACION,02/01/2014 00:00
9,6,2,100,4073321.51,,INICIAL,6,,08/11/2016 00:00
10,3,1,100,1649853.29,,INICIAL,1,S/N,02/01/2014 00:00
11,3,1,100,738245.8,,AMPLIACION,521,S/N AMPLIACION,02/01/2014 00:00
12,4,2,100,1875764.02,,INICIAL,2,S/N,02/01/2014 00:00
13,11,22,100,52049.67,,AMPLIACION,497,S/N AMPLIACION,02/01/2014 00:00
14,11,2,100,742358.54,,INICIAL,11,,08/11/2016 00:00
15,12,2,100,434311.1,,INICIAL,12,,08/11/2016 00:00
16,13,22,100,230464.71,,AMPLIACION,105,S/N AMPLIACION,03/01/2014 00:00
17,13,2,100,1354488.96,,INICIAL,13,,08/11/2016 00:00
18,14,2,100,683098.74,,INICIAL,14,S/N,02/01/2014 00:00
19,15,2,100,1690749.74,,INICIAL,15,S/N,02/01/2014 00:00
20,8,84,100,985050.26,,AMPLIACION,540,S/N AMPLIACION,02/01/2014 00:00
21,8,6,100,1071183.88,,INICIAL,8,S/N,02/01/2014 00:00
22,16,7,100,246588.61,,INICIAL,16,S/N,02/01/2014 00:00
23,9,7,100,30579.62,,INICIAL,9,S/N,02/01/2014 00:00
24,10,6,100,89652.31,,INICIAL,10,S/N,02/01/2014 00:00
25,17,7,100,987527.21,,INICIAL,17,,08/11/2016 00:00
26,17,7,100,322848.52,,AMPLIACION,219,S/N AMP 1,02/01/2014 00:00
27,17,7,100,2005726.1,,AMPLIACION,221,S/N AMP 2,03/01/2014 00:00
28,17,7,100,999503.66,,AMPLIACION,449,S/N AMP 3,04/01/2014 00:00
29,17,7,100,947309.19,,AMPLIACION,450,S/N AMP 4,05/01/2014 00:00
30,18,8,100,236884.91,,INICIAL,18,S/N,02/01/2014 00:00
31,19,9,100,551747.24,,INICIAL,19,S/N,02/01/2014 00:00
32,20,2,100,1776654.91,,INICIAL,20,S/N,02/01/2014 00:00
33,21,10,100,240822.38,,INICIAL,21,S/N,02/01/2014 00:00
34,21,22,100,124644.9,,AMPLIACION,146,S/N AMPLIACION,03/01/2014 00:00
35,22,10,100,481642.92,,INICIAL,22,S/N,02/01/2014 00:00
36,23,8,100,197518.71,,INICIAL,23,S/N,02/01/2014 00:00
37,26,6,100,1203025.66,,INICIAL,26,S/N,02/01/2014 00:00
38,26,6,100,310024.78,,AMPLIACION,446,S/N AMPLIACION,02/01/2014 00:00
39,28,14,100,24346842.76,,INICIAL,28,S/N,02/01/2014 00:00
40,28,14,100,7543677.67,,AMPLIACION,244,S/N AMP 1,02/01/2014 00:00
41,28,14,100,5019510.54,,AMPLIACION,307,S/N AMP 2,02/01/2014 00:00
42,28,14,100,561711.9,,AMPLIACION,511,S/N AMP 3,02/01/2014 00:00
43,27,13,100,6119433,,INICIAL,27,S/N,02/01/2014 00:00
44,24,11,100,4700977.92,,INICIAL,24,S/N,02/01/2014 00:00
45,24,11,100,117736.52,,AMPLIACION,526,S/N AMPLIACION,02/01/2014 00:00
46,32,15,100,1890105.28,,INICIAL,32,S/N,02/01/2014 00:00
47,32,15,100,253188.82,,AMPLIACION,97,S/N AMPLIACION,02/01/2014 00:00
48,25,12,100,195543.98,,INICIAL,25,S/N,02/01/2014 00:00
49,33,15,100,1107991.08,,INICIAL,33,S/N,02/01/2014 00:00
50,29,8,100,291143.96,,INICIAL,29,,08/11/2016 00:00
51,30,8,100,288497.36,,INICIAL,30,S/N,02/01/2014 00:00
52,31,8,100,173531.78,,INICIAL,31,S/N,02/01/2014 00:00
53,37,18,100,1365489.97,,INICIAL,38,S/N,02/01/2014 00:00
54,49,25,100,230521.01,,AMPLIACION,218,S/N AMP 1,02/01/2014 00:00
55,49,6,100,1844524.09,,INICIAL,51,S/N,02/01/2014 00:00
56,34,8,100,193417.9,,INICIAL,34,S/N,02/01/2014 00:00
57,35,8,100,292008.28,,INICIAL,35,S/N,02/01/2014 00:00
58,48,24,100,1081569.11,,INICIAL,50,S/N,02/01/2014 00:00
59,46,1,100,352706.14,,INICIAL,48,S/N,02/01/2014 00:00
60,56,26,100,850119.93,,INICIAL,58,S/N,02/01/2014 00:00
61,41,2,100,12399971.95,,INICIAL,42,S/N,02/01/2014 00:00
62,41,2,100,4747617.64,,AMPLIACION,177,S/N AMPLIACION,02/01/2014 00:00
63,36,16,48.78,20000000,,INICIAL,36,S/N,02/01/2014 00:00
64,36,16,100,5500000,,AMPLIACION,294,S/N AMPLIACION,02/01/2014 00:00
65,36,16,100,348000,,AMPLIACION,537,S/N 2DA AMPLIAC,02/01/2014 00:00
66,36,17,51.22,20996708.56,,INICIAL,37,S/N,02/01/2014 00:00
67,42,20,48.13,9277322.52,,INICIAL,44,S/N,02/01/2014 00:00
68,42,21,51.87,10000000,,INICIAL,43,S/N,02/01/2014 00:00
69,42,122,100,1910417.34,,AMPLIACION,553,S/N AMPLIACION3,02/01/2016 00:00
70,42,58,100,9916040.4,,AMPLIACION,290,S/N AMPLICION2,03/01/2014 00:00
71,42,14,100,15748851.95,,AMPLIACION,151,S/N AMPLIACION,02/01/2014 00:00
72,38,19,100,7402048.15,,INICIAL,39,S/N,02/01/2014 00:00
73,38,19,100,2050066.26,,AMPLIACION,293,S/N AMPLIACION,02/01/2013 00:00
74,58,23,100,36325876.7,,INICIAL,60,S/N,02/01/2014 00:00
75,44,23,100,38573729.83,,INICIAL,46,S/N,02/01/2014 00:00
76,39,1,100,597750.16,,INICIAL,40,S/N,02/01/2014 00:00
77,39,1,100,82423.44,,AMPLIACION,397,S/N AMPLIACION,02/01/2014 00:00
78,40,1,100,587587.92,,INICIAL,41,S/N,02/01/2014 00:00
79,40,1,100,23349.29,,AMPLIACION,137,S/N AMPLIACION,02/01/2014 00:00
80,51,8,100,208578.73,,INICIAL,53,S/N,02/01/2014 00:00
81,45,8,100,270441.53,,INICIAL,47,S/N,02/01/2014 00:00
82,52,8,100,298031.54,,INICIAL,54,S/N,02/01/2014 00:00
83,55,15,100,1406950.68,,INICIAL,57,S/N,02/01/2014 00:00
84,57,11,100,1179076.2,,INICIAL,59,S/N,02/01/2014 00:00
85,57,11,100,77564.42,,AMPLIACION,148,S/N AMPLIACION,02/01/2014 00:00
86,63,12,100,963475.43,,INICIAL,65,S/N,02/01/2014 00:00
87,63,12,100,652569.6,,AMPLIACION,176,S/N AMPLIACION,02/01/2014 00:00
88,50,25,100,238253.12,,INICIAL,52,S/N,02/01/2014 00:00
89,47,24,100,809852.26,,INICIAL,49,S/N,02/01/2014 00:00
90,47,43,100,29180.43,,AMPLIACION,150,S/N AMPLIACION,02/01/2014 00:00
91,54,1,100,620790.46,,INICIAL,56,S/N,02/01/2014 00:00
92,68,14,100,2157907.71,,INICIAL,98,S/N,02/01/2014 00:00
93,59,27,100,2006019.8,,INICIAL,61,S/N,02/01/2014 00:00
94,59,27,100,378645.02,,AMPLIACION,213,S/N AMPLIACION,02/01/2014 00:00
95,43,22,100,943308.96,,INICIAL,45,S/N,02/01/2014 00:00
96,62,8,100,153764.61,,INICIAL,64,S/N,02/01/2014 00:00
97,67,8,100,209782.95,,INICIAL,69,S/N,02/04/2014 00:00
98,66,8,100,277233.08,,INICIAL,68,S/N,02/01/2014 00:00
99,53,8,100,224323.55,,INICIAL,55,S/N,02/01/2014 00:00
100,60,28,100,1599462.26,,INICIAL,62,S/N,02/01/2014 00:00
101,61,28,100,2019920.06,,INICIAL,63,S/N,02/01/2014 00:00
102,65,28,100,1830709.18,,INICIAL,67,S/N,02/01/2014 00:00
103,65,43,100,90041.38,,AMPLIACION,161,S/N AMPLIACION,01/01/2014 00:00
104,64,28,100,3575306.13,,INICIAL,66,S/N,02/01/2014 00:00
105,71,22,100,412516.25,,INICIAL,71,S/N,02/01/2014 00:00
106,83,14,100,991042.04,,INICIAL,84,S/N,02/01/2014 00:00
107,100,14,100,1010166.49,,INICIAL,102,S/N,02/01/2014 00:00
108,93,43,100,458566.19,,AMPLIACION,147,S/N AMPLIACION,02/01/2014 00:00
109,93,14,100,1685253.95,,INICIAL,93,S/N,02/01/2014 00:00
110,77,6,100,502206.54,,INICIAL,78,S/N,02/01/2014 00:00
111,77,6,100,209693.58,,AMPLIACION,245,S/N AMPLIACION,02/01/2014 00:00
112,72,121,100,99982.4,,AMPLIACION,546,S/N 5TA AMPLI,02/01/2014 00:00
113,72,6,100,502206.54,,INICIAL,72,S/N,02/01/2014 00:00
114,72,6,100,498452.75,,AMPLIACION,469,S/N AMPLIACION,02/01/2014 00:00
115,72,6,100,349952.16,,AMPLIACION,538,S/N 2DA AMPLIAC,02/01/2015 00:00
116,72,6,100,99994.19,,AMPLIACION,541,S/N 3ER AMPLIAC,02/01/2015 00:00
117,72,6,100,99804.29,,AMPLIACION,542,S/N 4TA AMPLIAC,02/01/2014 00:00
118,70,8,100,284111.52,,INICIAL,77,S/N,02/01/2014 00:00
119,80,8,100,388183.18,,INICIAL,81,S/N,02/01/2014 00:00
120,81,8,100,314011.27,,INICIAL,82,S/N,02/01/2014 00:00
121,105,8,100,277233.08,,INICIAL,108,S/N,02/01/2014 00:00
122,76,8,100,225187.88,,INICIAL,76,S/N,02/01/2014 00:00
123,69,8,100,424921.33,,INICIAL,70,S/N,02/01/2014 00:00
124,133,8,100,127840.71,,INICIAL,135,S/N,01/01/2014 00:00
125,98,8,100,96482.84,,INICIAL,100,S/N,02/01/2014 00:00
126,78,11,100,864313.09,,INICIAL,79,S/N,02/01/2014 00:00
127,78,84,100,30173.26,,AMPLIACION,282,S/N AMPLIACION,02/01/2014 00:00
128,73,30,100,628910.53,,INICIAL,73,S/N,02/01/2014 00:00
129,79,31,100,2160977.55,,INICIAL,80,S/N,02/01/2014 00:00
130,74,6,100,172478.82,,INICIAL,74,S/N,02/01/2014 00:00
131,75,11,100,1428535.56,,INICIAL,75,S/N,02/01/2014 00:00
132,75,84,100,114112.45,,AMPLIACION,289,S/N AMPLIACION,02/01/2014 00:00
133,84,32,100,4677109.47,,INICIAL,85,S/N,02/01/2014 00:00
134,84,32,100,211740.13,,AMPLIACION,281,S/N AMPLIACION,02/01/2014 00:00
135,82,32,100,1685337.05,,INICIAL,83,S/N,02/01/2014 00:00
136,87,32,100,1839354.78,,INICIAL,87,S/N,02/01/2014 00:00
137,97,32,100,1146199.85,,INICIAL,99,S/N,02/01/2014 00:00
138,88,32,100,626981.48,,INICIAL,88,S/N,02/01/2014 00:00
139,88,32,100,181421.01,,AMPLIACION,383,S/N AMPLIACION,02/01/2014 00:00
140,89,6,100,2043698.52,,INICIAL,89,S/N,02/01/2014 00:00
141,89,24,100,63914.2,,AMPLIACION,385,S/N AMPLIACION,02/01/2014 00:00
142,90,6,100,1715939.94,,INICIAL,90,S/N,02/01/2014 00:00
143,91,43,100,147093.51,,AMPLIACION,164,S/N AMPLIACION,02/01/2014 00:00
144,91,14,100,1002625.43,,INICIAL,91,S/N,02/01/2014 00:00
145,102,32,100,2068386.06,,INICIAL,104,S/N,02/01/2014 00:00
146,92,6,100,1581869.75,,INICIAL,92,S/N,02/01/2014 00:00
147,94,14,100,231352.49,,INICIAL,94,S/N,02/01/2014 00:00
148,101,35,100,1393108.16,,INICIAL,103,S/N,02/01/2014 00:00
149,95,14,100,145052.04,,INICIAL,95,S/N,02/01/2014 00:00
150,96,33,100,469976.8,,INICIAL,96,S/N,02/01/2014 00:00
151,99,32,100,4498415.12,,INICIAL,101,S/N,02/01/2014 00:00
152,103,43,100,114762.16,,AMPLIACION,165,S/N AMPLIACION,02/01/2014 00:00
153,103,14,100,1137247.7,,INICIAL,106,S/N,02/01/2014 00:00
154,114,32,100,927591.07,,INICIAL,117,S/N,02/01/2014 00:00
155,114,32,100,123692.79,,AMPLIACION,157,S/N AMPLIACION,03/01/2014 00:00
156,115,8,100,310614.27,,INICIAL,118,S/N,02/01/2014 00:00
157,104,6,100,288494.01,,INICIAL,107,S/N,02/01/2014 00:00
158,104,6,100,23809.3,,AMPLIACION,291,S/N AMPLIACION,02/01/2014 00:00
159,116,32,100,3899277.44,,INICIAL,119,S/N,02/01/2014 00:00
160,110,23,100,1676102.91,,INICIAL,113,S/N,02/01/2014 00:00
161,106,23,100,1041347.74,,INICIAL,109,S/N,02/01/2014 00:00
162,106,23,100,102813.91,,AMPLIACION,253,S/N AMPLIACION,02/01/2014 00:00
163,107,23,100,770973.29,,INICIAL,110,S/N,02/01/2014 00:00
164,126,6,100,1074237.91,,INICIAL,129,S/N,02/01/2014 00:00
165,108,23,100,845567.72,,INICIAL,111,S/N,02/01/2014 00:00
166,109,32,100,1163173.26,,INICIAL,112,S/N,02/01/2014 00:00
167,117,23,100,1129439.89,,INICIAL,120,S/N,02/01/2014 00:00
168,117,23,100,199337.35,,AMPLIACION,214,S/N AMPLIACION,02/01/2014 00:00
169,122,8,100,179257.11,,INICIAL,125,S/N,02/01/2014 00:00
170,118,36,100,788887.02,,INICIAL,121,S/N,02/01/2014 00:00
171,125,32,100,993638.28,,INICIAL,128,S/N,02/01/2014 00:00
172,111,8,100,434405.08,,INICIAL,114,S/N,02/01/2014 00:00
173,119,23,100,1068023.05,,INICIAL,122,S/N,02/01/2014 00:00
