Id_Contrato_Descuento,Id_Contrato,Id_Descuento,Importe
443,281,2,0.005
312,209,1,0.002
101,60,1,0.002
389,266,2,0.005
413,291,4,0.005
493,337,4,0.005
150,104,4,0.005
218,146,1,0.002
245,163,3,0.01
72,51,4,0.005
393,255,1,0.002
48,29,4,0.005
187,124,4,0.005
411,290,4,0.005
442,282,2,0.005
453,286,2,0.005
209,139,2,0.005
166,113,3,0.01
383,249,1,0.002
28,17,4,0.005
213,152,2,0.005
477,322,1,0.002
539,374,2,0.005
