Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
113,366,,CONTRATO,15520877.38,915427.46,3452934.95,4368362.41,11152514.97,50,7760438.69,732341.97,1742276.83,2474618.8,5285819.89
114,366,4,AMPLIACIÓN 1,2530973.62,0,0,0,2530973.62,30,759292.09,0,0,0,759292.09
115,397,,CONTRATO,15520877.38,188271.42,4368362.41,4556633.83,10964243.55,50,7760438.69,56481.43,2474618.8,2531100.23,5229338.46
116,397,4,AMPLIACIÓN 1,2530973.62,0,0,0,2530973.62,30,759292.09,0,0,0,759292.09
117,401,,CONTRATO,15520877.38,784694.93,4556633.83,5341328.76,10179548.62,50,7760438.69,235408.48,2531100.23,2766508.71,4993929.98
118,401,4,AMPLIACIÓN 1,2530973.62,0,0,0,2530973.62,30,759292.09,0,0,0,759292.09
119,402,,CONTRATO,15520877.38,253471.24,5341328.76,5594800,9926077.38,50,7760438.69,30891.3,2766508.71,2797400.01,4963038.68
120,402,4,AMPLIACIÓN 1,2530973.62,0,0,0,2530973.62,30,759292.09,0,0,0,759292.09
121,495,,CONTRATO,15520877.38,142678.48,5594800,5737478.48,9783398.9,50,7760438.69,71339.24,2797400.01,2868739.25,4891699.44
122,495,4,AMPLIACIÓN 1,2530973.62,0,0,0,2530973.62,30,759292.09,0,0,0,759292.09
123,515,,CONTRATO,15520877.38,605138.84,5737478.48,6342617.32,9178260.06,50,7760438.69,302569.42,2868739.25,3171308.67,4589130.02
124,515,4,AMPLIACIÓN 1,2530973.62,0,0,0,2530973.62,30,759292.09,0,0,0,759292.09
125,516,,CONTRATO,15520877.38,1273850.17,6342617.32,7616467.49,7904409.89,50,7760438.69,636925.09,3171308.67,3808233.76,3952204.93
126,516,4,AMPLIACIÓN 1,2530973.62,0,0,0,2530973.62,30,759292.09,0,0,0,759292.09
127,593,,CONTRATO,15520877.38,280780.01,7616467.49,7897247.5,7623629.88,50,7760438.69,84234,3808233.76,3892467.76,3867970.93
128,593,4,AMPLIACIÓN 1,2530973.62,0,0,0,2530973.62,30,759292.09,0,0,0,759292.09
129,612,,CONTRATO,15520877.38,761410.75,7897247.5,8658658.25,6862219.13,50,7760438.69,228423.23,3892467.76,4120890.99,3639547.7
130,612,4,AMPLIACIÓN 1,2530973.62,0,0,0,2530973.62,30,759292.09,0,0,0,759292.09
131,768,,CONTRATO,15520877.38,1235643.73,8658658.25,9894301.98,5626575.4,50,7760438.69,617821.86,4120890.99,4738712.85,3021725.84
132,768,4,AMPLIACIÓN 1,2530973.62,0,0,0,2530973.62,30,759292.09,0,0,0,759292.09
133,797,,CONTRATO,15520877.38,2418186.56,9894301.98,12312488.54,3208388.84,50,7760438.69,1209093.28,4738712.85,5947806.13,1812632.56
134,797,4,AMPLIACIÓN 1,2530973.62,0,0,0,2530973.62,30,759292.09,0,0,0,759292.09
135,892,,CONTRATO,15520877.38,698137.61,12312488.54,13010626.15,2510251.23,50,7760438.69,488696.33,5947806.13,6436502.46,1323936.23
136,892,4,AMPLIACIÓN 1,2530973.62,0,0,0,2530973.62,30,759292.09,0,0,0,759292.09
137,1386,,CONTRATO,15520877.38,925697.88,13010626.15,13936324.03,1584553.35,50,7760438.69,555418.73,6436502.46,6991921.19,768517.5
138,1386,4,AMPLIACIÓN 1,2530973.62,0,0,0,2530973.62,30,759292.09,0,0,0,759292.09
139,1529,,CONTRATO,15520877.38,154432.54,13936324.03,14090756.57,1430120.81,50,7760438.69,77216.27,6991921.19,7069137.46,691301.23
140,1529,4,AMPLIACIÓN 1,2530973.62,0,0,0,2530973.62,30,759292.09,0,0,0,759292.09
141,2060,,CONTRATO,15520877.38,1430120.81,14090756.57,15520877.38,0,50,7760438.69,691301.23,7069137.46,7760438.69,0
142,2060,4,AMPLIACIÓN 1,2530973.62,610656.76,0,610656.76,1920316.86,30,759292.09,759292.09,0,759292.09,0
143,5,,CONTRATO,4073321.51,757074.42,0,757074.42,3316247.09,30,1221996.45,227122.33,0,227122.33,994874.12
144,21,,CONTRATO,4073321.51,245658.21,757074.42,1002732.63,3070588.88,30,1221996.45,73697.46,227122.33,300819.79,921176.66
145,54,,CONTRATO,4073321.51,304303.93,1002732.63,1307036.56,2766284.95,30,1221996.45,91291.18,300819.79,392110.97,829885.48
146,89,,CONTRATO,4073321.51,267532.69,1307036.56,1574569.25,2498752.26,30,1221996.45,80259.81,392110.97,472370.78,749625.67
147,101,,CONTRATO,4073321.51,449621.7,1574569.25,2024190.95,2049130.56,30,1221996.45,134886.51,472370.78,607257.29,614739.16
148,148,,CONTRATO,4073321.51,276077.9,2024190.95,2300268.85,1773052.66,30,1221996.45,82823.37,607257.29,690080.66,531915.79
149,209,,CONTRATO,4073321.51,140154.22,2300268.85,2440423.07,1632898.44,30,1221996.45,70077.11,690080.66,760157.77,461838.68
150,276,,CONTRATO,4073321.51,265046.96,2440423.07,2705470.03,1367851.48,30,1221996.45,132523.48,760157.77,892681.25,329315.2
151,520,,CONTRATO,4073321.51,530455.44,2705470.03,3235925.47,837396.04,30,1221996.45,329315.2,892681.25,1221996.45,0
152,2,,CONTRATO,1071183.88,222886.81,0,222886.81,848297.07,0,0,0,0,0,0
153,2,119,AMPLIACIÓN 1,985050.26,0,0,0,985050.26,0,0,0,0,0,0
154,4,,CONTRATO,1071183.88,257037.06,222886.81,479923.87,591260.01,0,0,0,0,0,0
155,4,119,AMPLIACIÓN 1,985050.26,0,0,0,985050.26,0,0,0,0,0,0
156,6,,CONTRATO,1071183.88,72490.78,479923.87,552414.65,518769.23,0,0,0,0,0,0
157,6,119,AMPLIACIÓN 1,985050.26,0,0,0,985050.26,0,0,0,0,0,0
158,24,,CONTRATO,1071183.88,72490.78,552414.65,624905.43,446278.45,0,0,0,0,0,0
159,24,119,AMPLIACIÓN 1,985050.26,0,0,0,985050.26,0,0,0,0,0,0
160,68,,CONTRATO,1071183.88,24604.08,624905.43,649509.51,421674.37,0,0,0,0,0,0
161,68,119,AMPLIACIÓN 1,985050.26,0,0,0,985050.26,0,0,0,0,0,0
162,137,,CONTRATO,1071183.88,28996.31,649509.51,678505.82,392678.06,0,0,0,0,0,0
163,137,119,AMPLIACIÓN 1,985050.26,0,0,0,985050.26,0,0,0,0,0,0
164,453,,CONTRATO,1071183.88,165352.47,678505.82,843858.29,227325.59,0,0,0,0,0,0
165,453,119,AMPLIACIÓN 1,985050.26,0,0,0,985050.26,0,0,0,0,0,0
166,454,,CONTRATO,1071183.88,122269.19,843858.29,966127.48,105056.4,0,0,0,0,0,0
167,454,119,AMPLIACIÓN 1,985050.26,0,0,0,985050.26,0,0,0,0,0,0
168,2302,,CONTRATO,1071183.88,102617.09,966127.48,1068744.57,2439.31,0,0,0,0,0,0
169,2302,119,AMPLIACIÓN 1,985050.26,0,0,0,985050.26,0,0,0,0,0,0
170,2303,,CONTRATO,1071183.88,2439.31,1068744.57,1071183.88,0,0,0,0,0,0,0
171,2303,119,AMPLIACIÓN 1,985050.26,370940.3,0,370940.3,614109.96,0,0,0,0,0,0
172,2310,,CONTRATO,1071183.88,0,1071183.88,1071183.88,0,0,0,0,0,0,0
173,2310,119,AMPLIACIÓN 1,985050.26,28996.31,370940.3,399936.61,585113.65,0,0,0,0,0,0
174,2311,,CONTRATO,1071183.88,0,1071183.88,1071183.88,0,0,0,0,0,0,0
175,2311,119,AMPLIACIÓN 1,985050.26,62688.28,399936.61,462624.89,522425.37,0,0,0,0,0,0
176,2319,,CONTRATO,1071183.88,0,1071183.88,1071183.88,0,0,0,0,0,0,0
177,2319,119,AMPLIACIÓN 1,985050.26,299623.45,462624.89,762248.34,222801.92,0,0,0,0,0,0
178,2320,,CONTRATO,1071183.88,0,1071183.88,1071183.88,0,0,0,0,0,0,0
179,2320,119,AMPLIACIÓN 1,985050.26,220862.34,762248.34,983110.68,1939.58,0,0,0,0,0,0
180,1,,CONTRATO,30579.62,25394.42,0,25394.42,5185.2,0,0,0,0,0,0
181,41,,CONTRATO,30579.62,4150.25,25394.42,29544.67,1034.95,0,0,0,0,0,0
182,3,,CONTRATO,89652.31,50065.24,0,50065.24,39587.07,0,0,0,0,0,0
183,22,,CONTRATO,89652.31,22071.45,50065.24,72136.69,17515.62,0,0,0,0,0,0
184,28,,CONTRATO,742358.54,28898.14,0,28898.14,713460.4,30,222707.56,8669.44,0,8669.44,214038.12
185,28,85,AMPLIACIÓN 1,52049.67,0,0,0,52049.67,0,0,0,0,0,0
186,36,,CONTRATO,742358.54,97494.24,28898.14,126392.38,615966.16,30,222707.56,29248.27,8669.44,37917.71,184789.85
187,36,85,AMPLIACIÓN 1,52049.67,0,0,0,52049.67,0,0,0,0,0,0
188,56,,CONTRATO,742358.54,40410.19,126392.38,166802.57,575555.97,30,222707.56,12123.06,37917.71,50040.77,172666.79
189,56,85,AMPLIACIÓN 1,52049.67,0,0,0,52049.67,0,0,0,0,0,0
190,112,,CONTRATO,742358.54,40200.73,166802.57,207003.3,535355.24,30,222707.56,12060.22,50040.77,62100.99,160606.57
191,112,85,AMPLIACIÓN 1,52049.67,0,0,0,52049.67,0,0,0,0,0,0
192,123,,CONTRATO,742358.54,64805.34,207003.3,271808.64,470549.9,30,222707.56,19441.6,62100.99,81542.59,141164.97
193,123,85,AMPLIACIÓN 1,52049.67,0,0,0,52049.67,0,0,0,0,0,0
194,170,,CONTRATO,742358.54,141475.58,271808.64,413284.22,329074.32,30,222707.56,42442.67,81542.59,123985.26,98722.3
195,170,85,AMPLIACIÓN 1,52049.67,0,0,0,52049.67,0,0,0,0,0,0
196,298,,CONTRATO,742358.54,24113.99,413284.22,437398.21,304960.33,30,222707.56,7234.2,123985.26,131219.46,91488.1
197,298,85,AMPLIACIÓN 1,52049.67,0,0,0,52049.67,0,0,0,0,0,0
198,320,,CONTRATO,742358.54,14779.3,437398.21,452177.51,290181.03,30,222707.56,4433.79,131219.46,135653.25,87054.31
199,320,85,AMPLIACIÓN 1,52049.67,0,0,0,52049.67,0,0,0,0,0,0
200,334,,CONTRATO,742358.54,5660.44,452177.51,457837.95,284520.59,30,222707.56,1698.13,135653.25,137351.38,85356.18
201,334,85,AMPLIACIÓN 1,52049.67,0,0,0,52049.67,0,0,0,0,0,0
202,361,,CONTRATO,742358.54,63257.19,457837.95,521095.14,221263.4,30,222707.56,18977.16,137351.38,156328.54,66379.02
203,361,85,AMPLIACIÓN 1,52049.67,0,0,0,52049.67,0,0,0,0,0,0
204,395,,CONTRATO,742358.54,41118.73,521095.14,562213.87,180144.67,30,222707.56,10500,156328.54,166828.54,55879.02
205,395,85,AMPLIACIÓN 1,52049.67,0,0,0,52049.67,0,0,0,0,0,0
206,1409,,CONTRATO,742358.54,29858.62,562213.87,592072.49,150286.05,30,222707.56,8957.59,166828.54,175786.13,46921.43
207,1409,85,AMPLIACIÓN 1,52049.67,0,0,0,52049.67,0,0,0,0,0,0
208,1565,,CONTRATO,742358.54,136133.67,592072.49,728206.16,14152.38,30,222707.56,46921.43,175786.13,222707.56,0
209,1565,85,AMPLIACIÓN 1,52049.67,0,0,0,52049.67,0,0,0,0,0,0
210,8,,CONTRATO,434311.1,85278.94,0,85278.94,349032.16,30,130293.33,25583.68,0,25583.68,104709.65
211,19,,CONTRATO,434311.1,56176.4,85278.94,141455.34,292855.76,30,130293.33,16852.92,25583.68,42436.6,87856.73
212,31,,CONTRATO,434311.1,23525.45,141455.34,164980.79,269330.31,30,130293.33,7057.64,42436.6,49494.24,80799.09
213,55,,CONTRATO,434311.1,35651.32,164980.79,200632.11,233678.99,30,130293.33,10695.4,49494.24,60189.64,70103.69
214,61,,CONTRATO,434311.1,37740.16,200632.11,238372.27,195938.83,30,130293.33,11322.05,60189.64,71511.69,58781.64
215,72,,CONTRATO,434311.1,24467.97,238372.27,262840.24,171470.86,30,130293.33,7340.39,71511.69,78852.08,51441.25
216,102,,CONTRATO,434311.1,69648.08,262840.24,332488.32,101822.78,30,130293.33,20894.42,78852.08,99746.5,30546.83
217,185,,CONTRATO,434311.1,62254.2,332488.32,394742.52,39568.58,30,130293.33,30546.83,99746.5,130293.33,0
218,10,,CONTRATO,1354488.96,31702.25,0,31702.25,1322786.71,30,406346.69,9510.68,0,9510.68,396836.01
219,10,2,AMPLIACIÓN 1,230464.71,0,0,0,230464.71,0,0,0,0,0,0
220,20,,CONTRATO,1354488.96,220174.9,31702.25,251877.15,1102611.81,30,406346.69,66052.47,9510.68,75563.15,330783.54
221,20,2,AMPLIACIÓN 1,230464.71,0,0,0,230464.71,0,0,0,0,0,0
222,39,,CONTRATO,1354488.96,130213.97,251877.15,382091.12,972397.84,30,406346.69,39064.19,75563.15,114627.34,291719.35
223,39,2,AMPLIACIÓN 1,230464.71,0,0,0,230464.71,0,0,0,0,0,0
224,53,,CONTRATO,1354488.96,91185.77,382091.12,473276.89,881212.07,30,406346.69,27355.73,114627.34,141983.07,264363.62
225,53,2,AMPLIACIÓN 1,230464.71,0,0,0,230464.71,0,0,0,0,0,0
226,80,,CONTRATO,1354488.96,34918.11,473276.89,508195,846293.96,30,406346.69,10475.43,141983.07,152458.5,253888.19
