Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion,Id_Presupuesto
1,32,1,06/05/2014 00:00,06/05/2014 00:00,24/05/2014 00:00,253188.82,0,0,1,43
2,13,1,26/05/2014 00:00,26/05/2014 00:00,31/05/2014 00:00,230464.71,0,0,1,14
3,1,1,23/05/2014 00:00,23/05/2014 00:00,30/05/2014 00:00,597350.41,0,0,1,
4,5,1,09/07/2014 00:00,09/07/2014 00:00,21/08/2014 00:00,2530973.62,30,759292.09,1,
5,39,1,27/06/2014 00:00,27/06/2014 00:00,28/07/2014 00:00,23349.29,0,0,1,
6,21,1,16/06/2014 00:00,16/06/2014 00:00,23/06/2014 00:00,124644.9,0,0,1,31
7,96,1,17/07/2014 00:00,17/07/2014 00:00,26/07/2014 00:00,458566.19,0,0,1,103
8,57,1,07/07/2014 00:00,07/07/2014 00:00,12/07/2014 00:00,77564.42,0,0,1,76
9,47,1,21/07/2014 00:00,21/07/2014 00:00,28/07/2014 00:00,29180.43,0,0,1,
10,41,1,25/07/2014 00:00,25/07/2014 00:00,28/02/2015 00:00,15748851.95,30,4724655.59,1,62
11,117,1,01/08/2014 00:00,01/08/2014 00:00,16/08/2014 00:00,123692.79,0,0,1,147
12,64,1,26/07/2014 00:00,26/07/2014 00:00,13/08/2014 00:00,90041.38,0,0,1,97
13,4,1,19/08/2014 00:00,19/08/2014 00:00,12/10/2014 00:00,4428585.89,30,1328575.77,1,4
14,94,1,17/07/2014 00:00,17/07/2014 00:00,26/07/2014 00:00,147093.51,0,0,1,136
15,106,1,11/08/2014 00:00,11/08/2014 00:00,16/08/2014 00:00,114762.16,0,0,1,145
16,123,1,01/08/2014 00:00,01/08/2014 00:00,15/08/2014 00:00,355813.66,0,0,1,170
17,68,1,02/06/2014 00:00,02/06/2014 00:00,07/06/2014 00:00,127293.09,0,0,1,
18,40,1,28/08/2014 00:00,28/08/2014 00:00,06/12/2014 00:00,4747617.64,0,0,1,58
19,69,1,02/06/2014 00:00,02/06/2014 00:00,07/06/2014 00:00,525276.51,0,0,1,79
20,59,1,15/08/2014 00:00,15/08/2014 00:00,17/09/2014 00:00,378645.02,0,0,1,88
21,120,1,05/09/2014 00:00,05/09/2014 00:00,15/10/2014 00:00,199337.35,0,0,1,160
22,49,1,19/09/2014 00:00,19/09/2014 00:00,26/11/2014 00:00,230521.01,0,0,1,51
23,17,1,11/09/2014 00:00,11/09/2014 00:00,02/08/2014 00:00,322848.52,0,0,1,23
24,81,1,10/10/2014 00:00,10/10/2014 00:00,31/12/2014 00:00,209693.58,0,0,1,105
25,109,1,01/09/2014 00:00,01/09/2014 00:00,12/09/2014 00:00,102813.91,0,0,1,154
26,142,1,22/10/2014 00:00,22/10/2014 00:00,10/11/2014 00:00,128212.85,0,0,1,180
27,88,1,17/09/2014 00:00,17/09/2014 00:00,23/09/2014 00:00,211740.13,0,0,1,
28,82,1,21/10/2014 00:00,21/10/2014 00:00,29/10/2014 00:00,30173.26,0,0,1,
29,135,1,13/10/2014 00:00,13/10/2014 00:00,18/10/2014 00:00,32496.91,0,0,1,192
30,78,1,20/10/2014 00:00,20/10/2014 00:00,24/10/2014 00:00,114112.45,0,0,1,125
31,41,2,04/11/2014 00:00,04/11/2014 00:00,28/02/2015 00:00,9916040.4,50,4958020.2,1,63
32,107,1,18/08/2014 00:00,18/08/2014 00:00,23/08/2014 00:00,23809.3,0,0,1,150
33,130,1,30/10/2014 00:00,30/10/2014 00:00,20/12/2014 00:00,1431742.88,0,0,1,175
34,37,1,01/10/2014 00:00,01/10/2014 00:00,09/10/2014 00:00,2050066.26,0,0,1,65
