Id_Oficio_Asignacion,Numero_Asignacion,Numero_Oficio_Asignacion,Fecha_Oficio_Asignacion,Id_Contratista,Id_Supervisor_Externo,Id_Supervisor_Interno,Observaciones_Generales,Tipo_Obra_Proyecto,Id_Modalidad,Id_Coordinador,Area
485,DGOP/0428/CONT/2018,DGOP/0428/CONT/2018,Dec 20 2018 12:00AM,638,729,59,,Obra,2,62,Construcción
486,DGOP/0442/PROY/2018,DGOP/0442/PROY/2018,Dec 20 2018 12:00AM,716,,55,,Obra,1,86,Proyectos
487,DGOP/0444/CONT/2018,DGOP/0444/CONT/2018,Dec 20 2018 12:00AM,365,529,55,,Obra,2,55,Construcción
488,DGOP/0446/CONT/2018,DGOP/0446/CONT/2018,Dec 20 2018 12:00AM,784,,55,,Obra,1,55,Construcción
489,DGOP/0419/PROY/2018,DGOP/0419/PROY/2018,Dec 20 2018 12:00AM,529,,55,,Proyecto,1,21,Proyectos
490,DGOP/0445/CONT/2018,DGOP/0445/CONT/2018,Dec 21 2018 12:00AM,516,758,55,,Obra,2,61,Construcción
491,DGOP/0444/CONT/2018,DGOP/0444/CONT/2018,Dec 21 2018 12:00AM,365,529,58,,Obra,2,54,Construcción
492,DGOP/0398/CONT/2018,DGOP/0398/CONT/2018,Dec 21 2018 12:00AM,514,359,55,,Obra,2,96,Construcción
493,DGOP/0416/CONT/2018,DGOP/0416/CONT/2018,Dec 21 2018 12:00AM,543,,55,,Obra,1,55,Construcción
494,DGOP/0403/OBRA/2018,DGOP/0403/OBRA/2018,Dec 14 2018 12:00AM,226,766,88,,Obra,3,54,Construcción
495,DGOP/0289/PROY/2018,DGOP/0289/PROY/2018,Jan 23 2019 12:00AM,294,,55,,Obra,1,84,Proyectos
496,DGOP/0364/OBRA/2018,DGOP/0364/OBRA/2018,Jan 23 2019 12:00AM,74,,56,,Obra,1,61,Construcción
497,DGOP/0447/OBRA/2018,DGOP/0447/OBRA/2018,Jan 23 2019 12:00AM,531,735,59,,Obra,1,54,Construcción
498,DGOP/0404/OBRA/2018,DGOP/0404/OBRA/2018,Dec 18 2018 12:00AM,326,464,58,,Obra,1,54,Construcción
499,DGOP/0399/OBRA/2018,DGOP/0399/OBRA/2018,Nov 29 2018 12:00AM,152,87,88,,Obra,3,54,Construcción
500,DGOP/0352/CONT/2018,DGOP/0352/CONT/2018,Jan 25 2019 12:00AM,514,,55,,Obra,1,95,Construcción
501,ESCALATORIA: G-2510-804-61401-D/0018/2018-ESC,ESCALATORIA: G-2510-804-61401-D/0018/2018-ESC,Jan 28 2019 12:00AM,74,,,Este Oficio se Crea Automáticamente por el registro de la Escalatoria referente al Número de Contrato Descrito,Obra,2,,Construcción
502,ESCALATORIA: G-2610-847-62201-E/0003/2018-ESC,ESCALATORIA: G-2610-847-62201-E/0003/2018-ESC,Jan 29 2019 12:00AM,531,,,Este Oficio se Crea Automáticamente por el registro de la Escalatoria referente al Número de Contrato Descrito,Obra,2,,Construcción
503,ESCALATORIA: G-5011-K100110-62201-E/0088/2018-ESC,ESCALATORIA: G-5011-K100110-62201-E/0088/2018-ESC,Jan 29 2019 12:00AM,578,727,88,Este Oficio se Crea Automáticamente por el registro de la Escalatoria referente al Número de Contrato Descrito,Obra,1,,Construcción
504,DGOP/0436/OBRA/2018,DGOP/0436/OBRA/2018,Feb  5 2019 12:00AM,623,247,58,,Obra,2,54,Construcción
