Id_Contrato,Id_Presupuesto,Numero_Contrato,Nombre_Final,Importe,Porcentaje_Anticipo,Importe_Anticipo,Fecha_Firma_Contrato,Fecha_Inicio,Fecha_Termino,Id_Formato_Contrato,Id_Formato_Caratula,Id_Formato_Hoja_Estimaciones,Observaciones,Estatus,Año,Id_Contratista,Id_Supervisor_Interno,Id_Supervisor_Externo,Id_Fuente_Inversion,Fecha_Adjudicacion,Id_Modalidad,Numero_Licitacion,Leyenda_Oficial,Id_Oficio_Asignacion_Obra,Id_Numero_Contrato_Pertenece
1,14,B-5051-236-7121-H/0009/2012,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: ANDADOR LOGROÑO TRAMO: DE MURCIA A MALAGA COL. SAN JUAN BOSCO; Y CALLE JOSE MANUEL SOMERA TRAMO: DE BLVD. MARIANO ESCOBEDO A CEFERINO ORTIZ; COL. LEON II,165826.22,0,0,30/01/2012 00:00,06/02/2012 00:00,31/03/2012 00:00,1,1,1,,EJECUCION,2012,484,,,2,30/01/2012 00:00,1,,NULL,0,NULL
2,1,A-2510-405-2461-E/0001/2012,SUMINISTRO E INSTALACION DE EQUIPOS DE TELEGESTION EN EQUIPOS AHORRADORES DE ENERGIA EN EL MUNICIPIO DE LEON,2618120,30,785436,17/01/2012 00:00,23/01/2012 00:00,11/02/2012 00:00,1,1,1,,EJECUCION,2012,485,,,1,17/01/2012 00:00,1,,NULL,0,NULL
3,2,A-2510-304-6121-D/0002/2012,PAVIMENTACION DE LA CALLE CANTERA TRAMO: CERDEÑA A CIMA COL. PARQUE MANZANARES,2704691.45,30,811407.44,30/01/2012 00:00,06/02/2012 00:00,08/06/2012 00:00,1,1,1,,EJECUCION,2012,482,,,1,30/01/2012 00:00,1,,NULL,0,NULL
4,3,A-2510-304-6121-D/0003/2012,PAVIMENTACION DE LA CALLE GRANITO TRAMO: CERDEÑA DE MANZANARES A VALLE DE MANZANARES COL. PARQUE MANZANARES,1844535.49,30,553360.65,30/01/2012 00:00,06/02/2012 00:00,11/05/2012 00:00,1,1,1,,EJECUCION,2012,475,,,1,30/01/2012 00:00,1,,NULL,0,NULL
5,5,H-2510-900-6111-D/0004/2012,VIALIDADES LATERALES CRUCE A NIVEL Y ADECUACION DE SERVICIOS DE LA INTERSECCION DE LA C.F. 45 CON EL BLVD. ANTONIO MADRAZO,39059362.82,30,11717808.85,27/01/2012 00:00,06/02/2012 00:00,10/08/2012 00:00,1,1,1,,EJECUCION,2012,17,,,3,27/01/2012 00:00,1,,NULL,0,NULL
6,9,G-5012-814-6211-E/0005/2012,"CONSTRUCCION DEL QUINTO CENTRO MULTIDICIPLINARIO PARA LA ATENCION INTEGRAL DE LA VIOLENCIA EN LEON, GUANAJUATO (2DA. ETAPA)",4021076.79,30,1206323.04,30/01/2012 00:00,30/01/2012 00:00,29/06/2012 00:00,1,1,1,,EJECUCION,2012,237,,,4,30/01/2012 00:00,1,,NULL,0,NULL
7,11,H-2510-920-6221-E/0006/2012,PROYECTO DEL MUSEO DE LAS IDENTIDADES LEONESAS,4855033.84,48,2333001.61,30/01/2012 00:00,06/02/2012 00:00,06/07/2012 00:00,1,1,1,,EJECUCION,2012,444,,,3,30/01/2012 00:00,1,,NULL,0,NULL
8,12,B-5051-236-7121-H/0007/2012,"PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: CERRO DE LOS ANGELES TRAMO: DE CERRO DEL CUBO A CERRO DE LOS MILAGROS; CASTILLO CHICO TRAMO: DE CASTILLOS DE ABAJO A MALECON DE BUCEFALO; Y CASTILLO DE MOCTEZUMA TRAMO: DE CASTILLOS DE ABAJO A MALECON DE BUCEFALO, COL. ARBOLEDAS DE LOS CASTILLOS II",234876.52,0,0,30/01/2012 00:00,30/01/2012 00:00,29/02/2012 00:00,1,1,1,,EJECUCION,2012,87,,,2,30/01/2012 00:00,1,,NULL,0,NULL
9,13,B-5051-236-7121-H/0008/2012,"PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: MADRE ROSARIO TRAMO: DE MADRE MARINA A MADRE SIERRA; CALLE MADRE SIERRA TRAMO: MADRE TERESA A MADRE ROSA; CALLE MADRE LIDIA DE MADRE TIERRA A CERRO DEL SOYATE; Y MADRE ROSARIO DE MADRE SIERRA A MADRE PATRICIA, COL. 10 DE MAYO",385101.52,0,0,30/01/2012 00:00,13/02/2012 00:00,07/04/2012 00:00,1,1,1,,EJECUCION,2012,372,,,2,30/01/2012 00:00,1,,NULL,0,NULL
10,15,B-5051-236-7121-H/0010/2012,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: LOMAS DE LA PLAZA TRAMO: DE LOMAS DE LAS PETUNIAS A TOPAR COL. LOMAS DE MEDINA; Y CALLE PRIVADA APOSTOL TRAMO: DE MARMOLEJO A TOPAR COL. RINCONADA DE SAN PEDRO,224025.88,30,67207.76,30/01/2012 00:00,06/02/2012 00:00,31/03/2012 00:00,1,1,1,,EJECUCION,2012,355,,,2,30/01/2012 00:00,1,,NULL,0,NULL
