Id_Fuera_Catalogo,Id_Contrato,Fecha_Registro,Fecha_Ultima_Autorizada,Fecha_Instruccion_Bitacora,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Estatus
7,20,09/03/2012 00:00,09/03/2012 00:00,09/03/2012 00:00,116/2012,09/03/2012 00:00,,AUTORIZADO
8,20,09/03/2012 00:00,09/03/2012 00:00,09/03/2012 00:00,117/2012,09/03/2012 00:00,,AUTORIZADO
10,24,15/03/2012 00:00,15/03/2012 00:00,15/03/2012 00:00,134/2012,15/03/2012 00:00,,AUTORIZADO
16,48,20/03/2012 00:00,20/03/2012 00:00,20/03/2012 00:00,140/2012,20/03/2012 00:00,,AUTORIZADO
18,30,06/03/2012 00:00,06/03/2012 00:00,06/03/2012 00:00,161/2012,06/03/2012 00:00,,AUTORIZADO
19,6,20/03/2012 00:00,20/03/2012 00:00,20/03/2012 00:00,168/2012,20/03/2012 00:00,,AUTORIZADO
21,24,19/03/2012 00:00,19/03/2012 00:00,19/03/2012 00:00,170/2012,19/03/2012 00:00,,AUTORIZADO
37,5,19/03/2012 00:00,19/03/2012 00:00,19/03/2012 00:00,143/2012,19/03/2012 00:00,,AUTORIZADO
42,49,13/04/2012 00:00,13/04/2012 00:00,13/04/2012 00:00,194/2012,13/04/2012 00:00,,AUTORIZADO
43,17,13/04/2012 00:00,13/04/2012 00:00,13/04/2012 00:00,195/2012,13/04/2012 00:00,,AUTORIZADO
44,3,26/03/2012 00:00,26/03/2012 00:00,26/03/2012 00:00,198/2012,26/03/2012 00:00,,AUTORIZADO
45,5,26/03/2012 00:00,26/03/2012 00:00,26/03/2012 00:00,204/2012,26/03/2012 00:00,,AUTORIZADO
51,28,05/04/2012 00:00,05/04/2012 00:00,05/04/2012 00:00,206/2012,05/04/2012 00:00,,AUTORIZADO
54,42,17/04/2012 00:00,17/04/2012 00:00,17/04/2012 00:00,209/2012,17/04/2012 00:00,,AUTORIZADO
55,29,12/04/2012 00:00,12/04/2012 00:00,12/04/2012 00:00,211/2012,12/04/2012 00:00,,AUTORIZADO
56,70,19/04/2012 00:00,19/04/2012 00:00,19/04/2012 00:00,212/2012,19/04/2012 00:00,,AUTORIZADO
57,30,03/04/2012 00:00,03/04/2012 00:00,03/04/2012 00:00,215/2012,03/04/2012 00:00,,AUTORIZADO
67,32,17/04/2012 00:00,17/04/2012 00:00,17/04/2012 00:00,222/2012,17/04/2012 00:00,,AUTORIZADO
68,90,23/04/2012 00:00,23/04/2012 00:00,23/04/2012 00:00,227/2012,23/04/2012 00:00,,AUTORIZADO
69,68,20/04/2012 00:00,20/04/2012 00:00,20/04/2012 00:00,229/2012,20/04/2012 00:00,,AUTORIZADO
70,31,02/03/2012 00:00,02/03/2012 00:00,02/03/2012 00:00,230/2012,02/03/2012 00:00,,AUTORIZADO
71,42,18/04/2012 00:00,18/04/2012 00:00,18/04/2012 00:00,231/2012,18/04/2012 00:00,,AUTORIZADO
72,29,13/04/2012 00:00,13/04/2012 00:00,13/04/2012 00:00,232/2012,13/04/2012 00:00,,AUTORIZADO
73,49,16/04/2012 00:00,16/04/2012 00:00,16/04/2012 00:00,234/2012,16/04/2012 00:00,,AUTORIZADO
74,68,23/04/2012 00:00,23/04/2012 00:00,23/04/2012 00:00,235/2012,23/04/2012 00:00,,AUTORIZADO
75,17,16/04/2012 00:00,16/04/2012 00:00,16/04/2012 00:00,237/2012,16/04/2012 00:00,,AUTORIZADO
76,10,04/04/2012 00:00,04/04/2012 00:00,04/04/2012 00:00,238/2012,04/04/2012 00:00,,AUTORIZADO
81,77,17/04/2012 00:00,17/04/2012 00:00,17/04/2012 00:00,240/2012,17/04/2012 00:00,,AUTORIZADO
82,35,24/04/2012 00:00,24/04/2012 00:00,24/04/2012 00:00,241/2012,24/04/2012 00:00,,AUTORIZADO
83,33,04/04/2012 00:00,04/04/2012 00:00,04/04/2012 00:00,239/2012,04/04/2012 00:00,,AUTORIZADO
84,46,25/04/2012 00:00,25/04/2012 00:00,25/04/2012 00:00,242/2012,25/04/2012 00:00,,AUTORIZADO
85,46,25/04/2012 00:00,25/04/2012 00:00,25/04/2012 00:00,247/2012,25/04/2012 00:00,,AUTORIZADO
86,3,19/04/2012 00:00,19/04/2012 00:00,19/04/2012 00:00,248/2012,19/04/2012 00:00,,AUTORIZADO
87,90,24/04/2012 00:00,24/04/2012 00:00,24/04/2012 00:00,249/2012,24/04/2012 00:00,,AUTORIZADO
88,5,27/03/2012 00:00,27/03/2012 00:00,27/03/2012 00:00,252/2012,27/03/2012 00:00,,AUTORIZADO
89,5,29/03/2012 00:00,29/03/2012 00:00,29/03/2012 00:00,253/2012,29/03/2012 00:00,,AUTORIZADO
