Id_Recalendarizacion,Id_Contrato,No_Recalendarizacion,Tipo_Recalendarizacion,Fecha_Deposito,Dias_Recorrer,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Inicio_Ultima_Anterior,Fecha_Termino_Ultima_Anterior
36,190,1,ANTICIPO,13/06/2012 00:00,7,11/06/2012 00:00,25/08/2012 00:00,S/N       ,13/06/2012 00:00,CP/REC/024/2012,13/06/2012 00:00,DOCUMENTACION EN EXPEDIENTE,04/06/2012 00:00,18/08/2012 00:00
38,209,1,ANTICIPO,19/06/2012 00:00,8,19/06/2012 00:00,19/08/2012 00:00,SN        ,19/06/2012 00:00,CP/REC/025/2012,19/06/2012 00:00,DOCUMENTOS EN EXPEDIENTE,11/06/2012 00:00,11/08/2012 00:00
43,194,1,ANTICIPO,08/06/2012 00:00,14,18/06/2012 00:00,14/12/2012 00:00,S/N       ,08/06/2012 00:00,CP/REC/026/2012,08/06/2012 00:00,DOCUMENTACION EN EXPEDIENTE,04/06/2012 00:00,30/11/2012 00:00
45,225,1,ANTICIPO,05/07/2012 00:00,11,29/06/2012 00:00,19/09/2012 00:00,S/N       ,05/07/2012 00:00,CP/REC/028/2012,05/07/2012 00:00,DOCUMENTACION EN EXPEDIENTE UNITARIO,18/06/2012 00:00,08/09/2012 00:00
46,229,1,ANTICIPO,05/07/2012 00:00,14,02/07/2012 00:00,22/09/2012 00:00,S/N       ,05/07/2012 00:00,CP/REC/027/2012,05/07/2012 00:00,DOCUMENTOS EN EXPEDIENTE UNITARIO,18/06/2012 00:00,08/09/2012 00:00
47,234,1,ANTICIPO,13/07/2012 00:00,7,09/07/2012 00:00,28/09/2012 00:00,S/N       ,13/07/2012 00:00,CP/REC/029/2012,13/07/2012 00:00,DOCUMENTOS EN EXPEDIENTE UNITARIO,02/07/2012 00:00,21/09/2012 00:00
48,235,1,ANTICIPO,10/07/2012 00:00,7,09/07/2012 00:00,28/09/2012 00:00,S/N       ,10/07/2012 00:00,CP/REC/029/2012,10/07/2012 00:00,DOCUMENTACION EN EXPEDIENTE UNITARIO,02/07/2012 00:00,21/09/2012 00:00
50,236,1,ANTICIPO,17/07/2012 00:00,9,11/07/2012 00:00,30/09/2012 00:00,S/N       ,17/07/2012 00:00,CP/REC/032/2012,17/07/2012 00:00,DOCUMENTACION EN EXPEDIENTE UNITARIO,02/07/2012 00:00,21/09/2012 00:00
51,245,1,ANTICIPO,17/07/2012 00:00,8,17/07/2012 00:00,29/09/2012 00:00,S/N       ,17/07/2012 00:00,CP/REC/031/2012,17/07/2012 00:00,DOCUEMENTACION EX EXPEDIENTE UNITARIO,09/07/2012 00:00,21/09/2012 00:00
52,116,1,ANTICIPO,28/05/2012 00:00,7,21/05/2012 00:00,18/08/2012 00:00,S/N RECAL ,28/05/2012 00:00,CTE/REC.0022/12,28/05/2012 00:00,SE ANEXÓ COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,14/05/2012 00:00,11/08/2012 00:00
53,242,1,ANTICIPO,17/07/2012 00:00,3,12/07/2012 00:00,24/09/2012 00:00,SN        ,17/07/2012 00:00,CP/REC/033/2012,17/07/2012 00:00,DOCUMENTACION EN EXPEDIENTE UNITARIO,09/07/2012 00:00,21/09/2012 00:00
60,262,1,ANTICIPO,25/07/2012 00:00,7,23/07/2012 00:00,25/08/2012 00:00,S/N       ,25/07/2012 00:00,CP/REC/034/2012,25/07/2012 00:00,DOCUMENTOS EN EXPEDIENTE UNITARIO,16/07/2012 00:00,18/08/2012 00:00
61,261,1,ANTICIPO,25/07/2012 00:00,7,23/07/2012 00:00,01/09/2012 00:00,      S/N ,25/07/2012 00:00,CP/REC/035/2012,25/07/2012 00:00,DOCUMENTOS EN EXPEDIENTE UNITARIO,16/07/2012 00:00,25/08/2012 00:00
62,260,1,ANTICIPO,25/07/2012 00:00,7,23/07/2012 00:00,01/09/2012 00:00,SN        ,25/07/2012 00:00,CP/REC/035/2012,25/07/2012 00:00,DOCUMENTOS EN EXPEDIENTE UNITARIO,16/07/2012 00:00,25/08/2012 00:00
66,263,1,ANTICIPO,25/07/2012 00:00,4,20/07/2012 00:00,01/09/2012 00:00,S/N       ,25/07/2012 00:00,CP/REC/036/2012,25/07/2012 00:00,DOCUMENTOS EN EXPEDIENTE ORIGINAL,16/07/2012 00:00,25/08/2012 00:00
67,254,1,ANTICIPO,01/08/2012 00:00,5,28/07/2012 00:00,13/09/2012 00:00,S/N       ,01/08/2012 00:00,CP/REC/037/2012,01/08/2012 00:00,"DOCUM,ENTOS EN EXPEDIENTE ORIGINAL",23/07/2012 00:00,08/09/2012 00:00
68,255,1,ANTICIPO,01/08/2012 00:00,5,28/07/2012 00:00,20/09/2012 00:00,S/N       ,01/08/2012 00:00,CP/REC/038/2012,01/08/2012 00:00,DOCUMENTOS EN EXPEDIENTE UNITARIO,23/07/2012 00:00,15/09/2012 00:00
69,273,1,ANTICIPO,02/08/2012 00:00,7,30/07/2012 00:00,28/09/2012 00:00,S/N       ,02/08/2012 00:00,CP/REC/039/2012,02/08/2012 00:00,DOCUEMENTOS EN EXPEDIENTE UNITARIO,23/07/2012 00:00,21/09/2012 00:00
70,270,1,ANTICIPO,03/08/2012 00:00,8,31/07/2012 00:00,08/09/2012 00:00,S/N       ,03/08/2012 00:00,CP/REC/040/2012,03/08/2012 00:00,DOCUMENTOS EN EXPEDINTE UNITARIO,23/07/2012 00:00,31/08/2012 00:00
71,269,1,ANTICIPO,03/08/2012 00:00,8,31/07/2012 00:00,03/09/2012 00:00,S/N       ,03/08/2012 00:00,CP/REC/041/2012,03/08/2012 00:00,DOCUMENTOS EN EXPEDIENTE UNITARIO,23/07/2012 00:00,25/08/2012 00:00
74,282,1,ANTICIPO,15/08/2012 00:00,9,15/08/2012 00:00,14/10/2012 00:00,S/N       ,15/08/2012 00:00,CP/REC/042/2012,15/08/2012 00:00,DOCUMENTOS EN EXPEDIENTE UNITARIO,06/08/2012 00:00,05/10/2012 00:00
75,251,1,ANTICIPO,01/08/2012 00:00,37,01/08/2012 00:00,23/10/2012 00:00,S/N       ,01/08/2012 00:00,CP/REC/043/2012,01/08/2012 00:00,DOCUMENTOS EN EXPEDIENTE UNITARIO,25/06/2012 00:00,15/09/2012 00:00
77,223,1,ANTICIPO,09/07/2012 00:00,4,06/07/2012 00:00,15/08/2012 00:00,S/N       ,09/07/2012 00:00,CP/REC/044/2012,09/07/2012 00:00,DOCUMENTACION EN EXPEDIENTE UNITARIO,02/07/2012 00:00,11/08/2012 00:00
82,237,1,ANTICIPO,17/07/2012 00:00,9,11/07/2012 00:00,30/09/2012 00:00,S/N       ,17/07/2012 00:00,S/N            ,17/07/2012 00:00,,02/07/2012 00:00,21/09/2012 00:00
91,289,1,ANTICIPO,28/08/2012 00:00,9,22/08/2012 00:00,01/10/2012 00:00,S/N       ,28/08/2012 00:00,CP/REC/045/2012,28/08/2012 00:00,DOCUMENTOS EN EXPEDIENTE,13/08/2012 00:00,22/09/2012 00:00
93,281,1,ANTICIPO,14/08/2012 00:00,8,14/08/2012 00:00,13/10/2012 00:00,S/N       ,14/08/2012 00:00,CP/REC/046/2012,14/08/2012 00:00,DOCUMENTOS EN EXPEDIENTE UNITARIO,06/08/2012 00:00,05/10/2012 00:00
98,297,1,ANTICIPO,31/08/2012 00:00,6,26/08/2012 00:00,05/11/2012 00:00,S/N       ,31/08/2012 00:00,CP/REC/047/2012,31/08/2012 00:00,DOCUMENTACION EN EXPEDIENTE UNITARIO,20/08/2012 00:00,05/10/2012 00:00
105,314,1,ANTICIPO,13/09/2012 00:00,7,07/09/2012 00:00,21/11/2012 00:00,S/N       ,13/09/2012 00:00,CP/REC/050/2012,13/09/2012 00:00,DOCUEMNTACION EN EXPEDIENTE,31/08/2012 00:00,14/11/2012 00:00
107,343,1,ANTICIPO,17/09/2012 00:00,7,17/09/2012 00:00,20/10/2012 00:00,S/N       ,17/09/2012 00:00,CP/REC/051/2012,17/09/2012 00:00,SOCUMENTACION EN EXPEDIENTE,10/09/2012 00:00,13/10/2012 00:00
127,370,1,ANTICIPO,25/09/2012 00:00,11,21/09/2012 00:00,19/12/2012 00:00,S/N       ,25/09/2012 00:00,CP/REC/052/2012,25/09/2012 00:00,ORIGINALES EN EXPEDIENTE,10/09/2012 00:00,08/12/2012 00:00
128,334,1,ANTICIPO,04/10/2012 00:00,25,28/09/2012 00:00,20/12/2012 00:00,S/N       ,04/10/2012 00:00,CP/REC/053/2012,04/10/2012 00:00,DOCUMENTOS EN EXPEDIENTE UNITARIO,03/09/2012 00:00,24/11/2012 00:00
129,335,1,ANTICIPO,26/09/2012 00:00,21,24/09/2012 00:00,15/12/2012 00:00,S/N       ,26/09/2012 00:00,CP/REC/054/2012,26/09/2012 00:00,DOCUMENTOS EN EXPEDIENTE UNITARIO,03/09/2012 00:00,24/11/2012 00:00
133,385,1,ANTICIPO,17/10/2012 00:00,14,15/10/2012 00:00,18/11/2012 00:00,SN        ,16/10/2012 00:00,CP/REC/055/2012,17/10/2012 00:00,,01/10/2012 00:00,03/11/2012 00:00
143,415,1,ANTICIPO,05/11/2012 00:00,17,01/11/2012 00:00,22/01/2013 00:00,SN        ,05/11/2012 00:00,DG/DCP/56/12   ,05/11/2012 00:00,,15/10/2012 00:00,05/01/2013 00:00
146,405,1,ANTICIPO,06/11/2012 00:00,24,01/11/2012 00:00,04/12/2012 00:00,SN        ,06/11/2012 00:00, DG/DCP/057/12 ,06/11/2012 00:00,,08/10/2012 00:00,10/11/2012 00:00
153,412,1,ANTICIPO,12/11/2012 00:00,17,01/11/2012 00:00,17/01/2013 00:00,SN        ,07/11/2012 00:00,DG/DCP/058/12  ,12/11/2012 00:00,,15/10/2012 00:00,31/12/2012 00:00
156,336,1,ANTICIPO,26/10/2012 00:00,32,19/10/2012 00:00,13/12/2012 00:00,SN        ,22/10/2012 00:00,DGOP/DCP/059/12,26/10/2012 00:00,,17/09/2012 00:00,10/11/2012 00:00
157,414,1,ANTICIPO,14/11/2012 00:00,25,09/11/2012 00:00,16/01/2013 00:00,SN        ,13/11/2012 00:00,DGOP/DCP/060/12,14/11/2012 00:00,,15/10/2012 00:00,22/12/2012 00:00
160,432,1,ANTICIPO,20/11/2012 00:00,14,12/11/2012 00:00,02/02/2013 00:00,SN        ,14/11/2012 00:00,DGOP/DCP/061/12,20/11/2012 00:00,,29/10/2012 00:00,19/01/2012 00:00
214,442,1,SITIO,17/12/2012 00:00,9,12/12/2012 00:00,17/02/2013 00:00,S/N RECAL ,17/12/2012 00:00,REC/0056/12    ,17/12/2012 00:00,SE ANEXA DOCUMENTACION ORIGINAL DE LA AUTORIZACION Y SOLICITUD DE LA RECALENDARIZACION POR SITIO EN EL EXPEDIENTE UNITARIO,03/12/2012 00:00,08/02/2013 00:00
240,445,1,ANTICIPO,12/02/2013 00:00,50,05/02/2013 00:00,08/06/2013 00:00,SN        ,08/02/2013 00:00,DG/DCP-R/001/13,12/02/2013 00:00,"Lo anterior con fundamento en lo dispuesto por al artículo 50 fracción I de la Ley de Obras Públicas y Servicios Relacionados con las mismas, así como los artículos 140 y 141 del respectivo reglamento.",17/12/2012 00:00,19/04/2013 00:00
