Id_Suspension,Id_Contrato,Oficio_Suspension,Fecha_Suspension,Observaciones_Suspension,Oficio_Reinicio,Fecha_Reinicio,Observaciones_Reinicio,Fecha_Nuevo_Termino,Fecha_Oficio_Suspension,Fecha_Oficio_Reinicio
1,145,DGOP/CT/0271/11,21/05/2012 00:00,,DGOP/CT/0271/12,18/06/2012 00:00,,28/07/2012 00:00,21/05/2012 00:00,18/06/2012 00:00
2,7,DGOP/CT/0237/11,24/03/2012 00:00,,DGOP/CT/0237/11,19/06/2012 00:00,,01/10/2012 00:00,24/03/2012 00:00,19/06/2012 00:00
3,57,DGOP/CT/0289/11,29/06/2012 00:00,,DGOP/CT/0289/11,30/07/2012 00:00,,24/08/2012 00:00,29/06/2012 00:00,30/07/2012 00:00
5,217,DGOP/CT/0303/11,23/07/2012 00:00,,DGOP/CT/0303/11,24/09/2012 00:00,,06/10/2012 00:00,23/07/2012 00:00,24/09/2012 00:00
6,418,DGOP/CT/0116/12,22/11/2012 00:00,,DGOP/CT/0116/12,12/08/2013 00:00,,23/10/2013 00:00,22/11/2012 00:00,12/08/2013 00:00
7,352,DGOP/CT/0102/12,14/09/2012 00:00,,DGOP/CT/0102/12,23/10/2012 00:00,,17/12/2012 00:00,14/09/2012 00:00,23/10/2012 00:00
8,16,DGOP/CT/0279/11,11/06/2012 00:00,,DGOP/CT/0279/11,15/06/2012 00:00,,01/10/2012 00:00,11/06/2012 00:00,15/06/2012 00:00
10,426,DGOP/CT/0132/12,26/12/2012 00:00,,DGOP/CT/0132/12,25/02/2013 00:00,,03/03/2013 00:00,26/12/2012 00:00,25/02/2013 00:00
11,277,DGOP/CT/0126/12,22/08/2012 00:00,,DGOPCT/0126/12,15/11/2012 00:00,,02/12/2012 00:00,22/08/2012 00:00,15/11/2012 00:00
12,472,DGOP/CT/006/13,11/01/2013 00:00,,DGOPCT/006/13,11/02/2013 00:00,,30/04/2013 00:00,11/01/2013 00:00,11/02/2013 00:00
13,445,DGOP/CT/022/13,08/04/2013 00:00,,DGOP/CT/022/13,20/05/2013 00:00,,20/07/2013 00:00,08/04/2013 00:00,20/05/2013 00:00
14,320,DGOP/CT/008/13,15/01/2013 00:00,,DGOP/CT/008/13,06/02/2015 00:00,,19/03/2015 00:00,15/01/2013 00:00,06/02/2015 00:00
15,441,DGOP/CT/0026/13,08/05/2013 00:00,,DGOP/CT/0026/13,08/07/2013 00:00,,07/09/2013 00:00,08/05/2013 00:00,08/07/2013 00:00
16,361,S/N,09/11/2012 00:00,,S/N,14/04/2015 00:00,,20/04/2015 00:00,09/11/2012 00:00,14/04/2015 00:00
17,43,S/N,17/04/2012 00:00,LA GEOMETRÍA DE LA SEGUNDA ETAPA AUN CONTINUA EN REVISIÓN CON LA SCT POR LO QUE NO SE PUEDE CONTINUAR CON LOS DEMÁS PROYECTOS,DGOP/ML/PROY/0188/2016,19/02/2016 00:00,SE VALIDA LA PLANTA GEOMÉTRICA POR PARTE DE LA SCT Y SE DETERMINA QUE LOS TRABAJOS SON ADECUADOS POR LO QUE SE DETERMINA EL REINICIO DE LOS TRABAJOS,03/04/2016 00:00,17/04/2012 00:00,19/02/2016 00:00
18,43,S/N,19/02/2016 00:00,"SCT SOLICITA LA NO MODIFICACIÓN DE LA OPERATIVIDAD DE LA VÍA BICENTENARIO, POR LO QUE ESTA EN LA ESPERA DEL RESOLUTIVO DE IMPACTO AMBIENTAL  DE LA INTERSECCIÓN DEL BLVD. MORELOS CON CLOUTHIER ",DGOP/ML/PROY/1231/2017,19/05/2017 00:00,SE NOTIFICA A LA SCT LA RESOLUCIÓN DE IMPACTO AMBIENTAL POR LO QUE SE RATIFICA QUE NO HAY CAMBIOS EN LA OPERATIVIDAD DE LA VÍA BICENTENARIO,02/07/2017 00:00,19/02/2016 00:00,19/05/2017 00:00
