Id_Estimacion_Deduccion,Id_Estimacion,Id_Descuento,Monto_Deduccion
6056,911,1,446.08
6298,1049,1,165.02
7088,1552,1,53.54
7447,1806,1,233.28
7534,1860,1,1709.62
8397,2386,2,1823.62
5595,655,3,2916.72
7276,1692,3,5588.86
8243,2302,1,22.45
4688,133,3,5010
6689,1286,2,3144.76
6819,1373,3,2875.38
6826,1379,1,1679.97
7252,1668,3,3850.16
8396,2385,2,1028.16
8566,2474,3,8257.03
6391,1103,3,576.3
8042,2184,1,1668.52
4497,2,1,4514
4951,301,3,1093.01
5226,456,1,188.57
6260,1025,2,757.89
6578,1212,1,619.83
7572,1883,3,2205.19
8423,2402,1,2556.87
4946,299,1,310.01
5946,852,1,287.67
7735,1998,1,127.87
4875,256,1,256.89
5077,375,1,391.88
7101,1563,2,780.45
7467,1818,1,329.85
8372,2369,3,3438.68
6085,928,3,3531.88
7832,2058,3,656.2
8418,2399,2,895.93
5060,367,1,203.67
5095,385,1,3484.91
5596,656,1,178.39
7659,1949,3,949.39
4788,200,3,843.11
5393,544,3,859.37
7621,1918,2,521.94
8071,2208,1,76.02
5030,350,1,1010.53
5165,423,1,165.55
6475,1151,1,155.74
6804,1363,1,205.39
7541,1863,3,494.69
8015,2168,3,6173.71
4968,310,1,76.03
5611,663,3,577.03
6471,1149,1,390.55
6573,1209,3,342.61
6148,965,1,190.35
7386,1763,1,610.52
7707,1982,3,52.8
7837,2061,1,294.62
4829,224,1,1438.75
7322,1718,3,487.08
8601,2495,3,8061.37
7158,1603,1,185.25
5022,346,1,631.91
6626,1245,1,546.89
6756,1336,1,622.36
7222,1648,1,203.95
5016,343,1,158.42
5893,823,3,3545.55
7633,1926,3,104.29
7888,2090,3,2748.63
8646,2521,3,3761.17
5761,750,1,586.9
8149,2255,3,5022.21
6789,1354,2,1450.24
7653,1943,2,1502.2
4883,260,1,2001.27
6300,1050,1,157.75
6622,1241,1,269.37
8444,2412,1,3047.69
5166,423,3,827.76
5565,637,3,1730.93
6219,1001,1,2204.19
6728,1315,2,489.67
7559,1875,1,2.48
7647,1937,3,719.8
5590,653,1,317.8
5914,835,1,23.43
5942,849,2,1169.95
6023,894,1,171.22
6620,1239,3,7760.97
6857,1402,3,1480.76
7288,1698,3,762.84
7078,1546,3,344.7
8302,2334,1,259.27
5817,780,3,411.07
5917,836,3,1725.97
6739,1325,3,2238.64
8030,2178,1,188.15
