Id_Presupuesto,Id_Obra,Nombre,Tipo_Presupuesto,Id_Modalidad,Fecha_Adjudicacion,Id_Presupuesto_Pertenece,Clave,Numero_Ampliacion
1,2,A-2510-405-2461-E/0001/2012  SUMINISTRO E INSTALACION DE EQUIPOS DE TELEGESTION EN EQUIPOS AHORRADORES DE ENERGIA EN EL MUNICIPIO DE LEON,ORIGINAL,1,17/01/2012 00:00,,0,0
2,3,A-2510-304-6121-D/0002/2012  PAVIMENTACION DE LA CALLE CANTERA TRAMO: CERDE¥A A CIMA COL. PARQUE MANZANARES,ORIGINAL,1,30/01/2012 00:00,,0,0
3,4,A-2510-304-6121-D/0003/2012  PAVIMENTACION DE LA CALLE GRANITO TRAMO: CERDE¥A DE MANZANARES A VALLE DE MANZANARES COL. PARQUE MANZANARES,ORIGINAL,1,30/01/2012 00:00,,0,0
4,4,AMPLIACION 1,AMPLIACION,1,30/01/2012 00:00,3,1,1
5,5,H-2510-900-6111-D/0004/2012  VIALIDADES LATERALES CRUCE A NIVEL Y ADECUACION DE SERVICIOS DE LA INTERSECCION DE LA C.F. 45 CON EL BLVD. ANTONIO MADRAZO,ORIGINAL,1,27/01/2012 00:00,,0,0
6,5,AMPLIACION 1,AMPLIACION,1,27/01/2012 00:00,5,1,1
7,5,AMPLIACION 2,AMPLIACION,1,27/01/2012 00:00,5,2,2
9,6,"G-5012-814-6211-E/0005/2012  CONSTRUCCION DEL QUINTO CENTRO MULTIDICIPLINARIO PARA LA ATENCION INTEGRAL DE LA VIOLENCIA EN LEON, GUANAJUATO (2DA. ETAPA)",ORIGINAL,1,30/01/2012 00:00,,0,0
10,6,AMPLIACION 1,AMPLIACION,1,30/01/2012 00:00,9,1,1
11,7,H-2510-920-6221-E/0006/2012  PROYECTO DEL MUSEO DE LAS IDENTIDADES LEONESAS,ORIGINAL,1,30/01/2012 00:00,,0,0
