Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
53,703,,CONTRATO,39059362.82,2346180.99,7215497.35,9561678.34,29497684.48,30,11717808.85,703854.3,2164649.21,2868503.51,8849305.34
54,703,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
55,703,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
56,769,,CONTRATO,39059362.82,2170257.93,9561678.34,11731936.27,27327426.55,30,11717808.85,651077.38,2868503.51,3519580.89,8198227.96
57,769,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
58,769,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
59,896,,CONTRATO,39059362.82,1183379.44,11731936.27,12915315.71,26144047.11,30,11717808.85,355013.83,3519580.89,3874594.72,7843214.13
60,896,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
61,896,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
62,899,,CONTRATO,39059362.82,1650713.19,12915315.71,14566028.9,24493333.92,30,11717808.85,495213.96,3874594.72,4369808.68,7348000.17
63,899,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
64,899,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
65,1029,,CONTRATO,39059362.82,721384.84,14566028.9,15287413.74,23771949.08,30,11717808.85,216415.45,4369808.68,4586224.13,7131584.72
66,1029,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
67,1029,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
68,1079,,CONTRATO,39059362.82,802824.14,15287413.74,16090237.88,22969124.94,30,11717808.85,240847.24,4586224.13,4827071.37,6890737.48
