Id_Estimacion_Deduccion,Id_Estimacion,Id_Descuento,Monto_Deduccion
1290,214,1,270.69
1291,214,3,1353.47
1292,215,1,210.15
1293,215,3,1050.74
1294,216,1,260.65
1295,216,3,1303.25
1296,219,1,207.64
1297,219,3,1038.19
1298,220,1,133.99
1299,220,3,669.95
1300,221,1,169.01
1301,221,3,845.06
1302,223,1,961.44
1303,223,3,4807.22
1304,224,1,151.29
1305,224,3,756.46
1306,225,1,299.88
1307,225,3,1499.39
1308,226,1,1621.96
1309,226,3,8109.81
1310,227,1,311.68
1311,227,3,1558.4
1312,228,1,115.84
1313,228,3,579.19
1314,229,1,85.74
1315,229,3,428.71
1316,231,1,238.24
1317,231,3,1191.18
1318,232,1,33.21
1319,232,3,166.07
1320,234,1,91.73
1321,234,3,458.63
1322,235,1,368.71
1323,235,3,1843.55
1324,236,1,79.36
1325,236,3,396.79
1326,237,1,0.43
1327,237,3,2.13
1328,238,1,207.36
1329,238,3,1036.82
1330,239,1,63.06
1331,239,3,315.29
1332,241,1,582.72
1333,241,3,2913.62
1334,243,2,2069.65
1335,244,1,250.57
1336,244,3,1252.84
1337,245,1,475.04
1338,245,3,2375.22
1339,248,1,219.58
1340,248,3,1097.88
1341,249,1,205.22
1342,249,3,1026.09
1343,250,1,123.41
1344,250,3,617.07
1345,251,1,208.62
1346,251,3,1043.12
1347,252,1,217.49
1348,252,3,1087.47
1349,253,1,100.21
1350,253,3,501.05
1351,256,1,179.06
1352,256,3,895.29
1353,260,1,112.86
1354,260,3,564.3
1355,261,1,670.04
1356,261,3,3350.2
1357,262,1,153.59
1358,262,3,767.93
1359,263,1,862.14
1360,263,3,4310.71
1361,264,1,70.23
1362,264,3,351.13
1363,265,1,184.8
1364,265,3,924
1365,266,1,81.01
1366,266,3,405.07
1367,268,1,14.6
1368,268,3,73.01
1369,269,1,100.39
1370,269,3,501.94
1371,270,1,175.58
1372,270,3,877.89
1373,271,1,34.61
1374,271,3,173.03
1375,272,1,29.05
1376,272,3,145.24
1377,273,1,781.79
1378,273,3,3908.94
