Id_Contrato_Fianza,Id_Contrato,Id_Fianza,Numero_Fianza,Fecha_Emision,Fecha_Recepcion,Nombre_Afianzadora,Fecha_Liberacion,Id_Contrato_Ampliacion,Descripcion_Fianza,Importe_Fianza,Observaciones_Fianza
2,0000000002,0000000002,1683125,2016-01-12 00:00:00,2016-01-12 00:00:00,"ACE FIANZAS MONTERREY, S.A.",2017-01-12 00:00:00,,CUMPLIMIENTO,40924.33,
3,0000000003,0000000002,1683125,2016-01-12 00:00:00,2016-01-12 00:00:00,ACE FIANZAS MONTERREY. S-A-,2017-01-12 00:00:00,,CUMPLIMIENTO,40924.33,
4,0000000007,0000000001,1682588,2016-01-12 00:00:00,2016-01-12 00:00:00,"ACE FIANZAS MONTERREY, S.A. DE",2017-01-12 00:00:00,,30% ANTICIPO,98787.84,
5,0000000007,0000000002,1682589,2016-01-12 00:00:00,2016-01-12 00:00:00,"ACE FIANZAS MONTERREY, S.A. DE",2017-01-12 00:00:00,,CUMPLIMIENTO,32929.28,
6,0000000008,0000000002,1682589,2016-01-12 00:00:00,2016-01-12 00:00:00,"ACE FIANZAS MONTERREY, S.A.",2017-01-12 00:00:00,,CUMPLIMIENTO,32929.28,
7,0000000008,0000000001,1682588,2016-01-12 00:00:00,2016-01-12 00:00:00,"ACE FIANZAS MONTERREY, S.A.",2017-01-12 00:00:00,,30% ANTICIPO,98787.84,
8,0000000009,0000000001,1682588,2016-01-12 00:00:00,2016-01-12 00:00:00,"ACE FIANZAS MONTERREY, S.A.",2017-01-12 00:00:00,,30% ANTICIPO,98787.84,
9,0000000009,0000000002,1682589,2016-01-12 00:00:00,2016-01-12 00:00:00,"ACE FIANZAS MONTERREY, S.A.",2017-01-12 00:00:00,,CUMPLIMIENTO,32929.28,
10,0000000010,0000000001,88277763,2016-01-12 00:00:00,2016-01-12 00:00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,2017-01-12 00:00:00,,30% ANTICIPO,77903.57,
11,0000000010,0000000002,88277765,2016-01-12 00:00:00,2016-01-12 00:00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,2017-01-12 00:00:00,,CUMPLIMIENTO,25967.85,
12,0000000011,0000000002,88277765,2016-01-12 00:00:00,2016-01-12 00:00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,2017-01-12 00:00:00,,CUMPLIMIENTO,25967.85,
13,0000000011,0000000001,88277763,2016-01-12 00:00:00,2016-01-12 00:00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,2017-01-12 00:00:00,,30% ANTICIPO,77903.57,
14,0000000004,0000000002,1667915,2016-01-18 00:00:00,2016-01-18 00:00:00,"PRIMERO FIANZAS, S.A. DE C.V.",2017-01-18 00:00:00,,CUMPLIMIENTO,47062.47,
15,0000000004,0000000001,1667916,2016-01-18 00:00:00,2016-01-18 00:00:00,"PRIMERO FIANZAS, S.A. DE C.V.",2017-01-18 00:00:00,,30% ANTICIPO,141187.40,
16,0000000005,0000000001,1667916,2016-01-18 00:00:00,2016-01-18 00:00:00,"PRIMERO FIANZAS, S.A. DE C.V.",2017-01-18 00:00:00,,30% ANTICIPO,141187.40,
17,0000000005,0000000002,1667915,2016-01-18 00:00:00,2016-01-18 00:00:00,"PRIMERO FIANZAS, S.A. DE C.V.",2017-01-18 00:00:00,,CUMPLIMIENTO,47062.47,
