Id_Contrato_Fianza,Id_Contrato,Id_Fianza,Numero_Fianza,Fecha_Emision,Fecha_Recepcion,Nombre_Afianzadora,Fecha_Liberacion,Id_Contrato_Ampliacion,Descripcion_Fianza,Importe_Fianza,
35,25,1,88287450,04/05/2016 00:00,04/05/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,04/05/2017 00:00,,ANTICIPO  OBRA,200569.55,
36,26,2,1990421,04/05/2016 00:00,04/05/2016 00:00,AFIANZADORA SOFIMEX S.A.,04/05/2017 00:00,,CUMPLIMIENTO,92857.09,
37,26,1,1990417,04/05/2016 00:00,04/05/2016 00:00,AFIANZADORA SOFIMEX S.A.,04/05/2017 00:00,,ANTICIPO 30%,278571.29,
38,27,2,III-486928-RC,04/05/2016 00:00,04/05/2016 00:00,FIANZAS ATLAS S.A.,04/05/2017 00:00,,CUMPLIMIENTO,91592.45,
39,27,1,III-486927-RC,04/05/2016 00:00,04/05/2016 00:00,FIANZAS ATLAS S.A.,04/05/2017 00:00,,ANTICIPO,274777.36,
40,67,2,88290562,04/05/2016 00:00,04/05/2016 00:00,CHUB DE MEXICO COMPAÑIA AFIAN,04/05/2017 00:00,,CUMPLIMIENTO,39269.42,
41,67,1,88290564,04/05/2016 00:00,04/05/2016 00:00,CHUB DE MEXICO COMPAÑIA AFIAN,04/05/2017 00:00,,ANTICIPO,117808.26,
42,68,2,88290562,04/05/2016 00:00,04/05/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,04/05/2017 00:00,,CUMPLIMIENTO,39269.42,
43,68,1,88290564,04/05/2016 00:00,04/05/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,04/05/2017 00:00,,ANTICIPO,117808.26,
44,28,1,1703763,05/05/2016 00:00,05/05/2016 00:00,ACA FIANZAS MONTERREY S.A.,05/05/2017 00:00,,ANTICIPO,335907.77,
45,28,2,1703767,05/05/2016 00:00,05/05/2016 00:00,ACA FIANZAS MONTERREY S.A.,05/05/2017 00:00,,CUMPLIMIENTO,111969.26,
46,29,1,88287354,05/05/2016 00:00,05/05/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,05/05/2017 00:00,,ANTICIPO,280679.2,
47,29,2,88287353,05/05/2016 00:00,05/05/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,05/05/2017 00:00,,CUMPLIMIENTO,93559.73,
48,30,2,1693074,05/05/2016 00:00,05/05/2016 00:00,PRIMERO FIANZAS S.A. DE C.V.,05/05/2017 00:00,,CUMPLIMIENTO,89872.05,
