Id_Fuera_Catalogo,Id_Contrato,Fecha_Registro,Fecha_Ultima_Autorizada,Fecha_Instruccion_Bitacora,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Estatus
216,94,19/09/2016 00:00,19/09/2016 00:00,19/09/2016 00:00,430/2016,19/09/2016 00:00,,AUTORIZADO
219,94,19/09/2016 00:00,19/09/2016 00:00,19/09/2016 00:00,431/2016,19/09/2016 00:00,,AUTORIZADO
221,98,05/09/2016 00:00,05/09/2016 00:00,05/09/2016 00:00,432/2016,05/09/2016 00:00,,AUTORIZADO
223,85,08/08/2016 00:00,08/08/2016 00:00,08/08/2016 00:00,433/2016,08/08/2016 00:00,,AUTORIZADO
236,28,18/07/2016 00:00,18/07/2016 00:00,18/07/2016 00:00,437/2016,18/07/2016 00:00,,AUTORIZADO
237,28,18/07/2016 00:00,18/07/2016 00:00,18/07/2016 00:00,438/2016,18/07/2016 00:00,,AUTORIZADO
241,90,05/09/2016 00:00,05/09/2016 00:00,05/09/2016 00:00,439/2016,05/09/2016 00:00,,AUTORIZADO
247,86,12/08/2016 00:00,12/08/2016 00:00,12/08/2016 00:00,441/2016,12/08/2016 00:00,,AUTORIZADO
251,111,12/09/2016 00:00,12/09/2016 00:00,12/09/2016 00:00,443/2016,12/09/2016 00:00,,AUTORIZADO
252,118,12/09/2016 00:00,12/09/2016 00:00,12/09/2016 00:00,444/2016,12/09/2016 00:00,,AUTORIZADO
253,112,15/09/2016 00:00,15/09/2016 00:00,15/09/2016 00:00,445/2016,15/09/2016 00:00,,AUTORIZADO
258,138,15/09/2016 00:00,15/09/2016 00:00,15/09/2016 00:00,440/2016,15/09/2016 00:00,,AUTORIZADO
261,119,26/09/2016 00:00,26/09/2016 00:00,26/09/2016 00:00,446/2016,26/09/2016 00:00,,AUTORIZADO
262,119,26/09/2016 00:00,26/09/2016 00:00,26/09/2016 00:00,447/2016,26/09/2016 00:00,,AUTORIZADO
263,119,26/09/2016 00:00,26/09/2016 00:00,26/09/2016 00:00,448/2016,26/09/2016 00:00,,AUTORIZADO
266,135,19/09/2016 00:00,19/09/2016 00:00,19/09/2016 00:00,449/2016,19/09/2016 00:00,,AUTORIZADO
271,54,25/07/2016 00:00,25/07/2016 00:00,25/07/2016 00:00,451/2016,25/07/2016 00:00,,AUTORIZADO
273,34,19/09/2016 00:00,19/09/2016 00:00,19/09/2016 00:00,453/2016,19/09/2016 00:00,,AUTORIZADO
276,77,22/08/2016 00:00,22/08/2016 00:00,22/08/2016 00:00,454/2016,22/08/2016 00:00,,AUTORIZADO
277,75,22/08/2016 00:00,22/08/2016 00:00,22/08/2016 00:00,456/2016,22/08/2016 00:00,,AUTORIZADO
278,52,15/08/2016 00:00,15/08/2016 00:00,15/08/2016 00:00,458/2016,15/08/2016 00:00,,AUTORIZADO
286,78,19/09/2016 00:00,19/09/2016 00:00,19/09/2016 00:00,462/2016,19/09/2016 00:00,,AUTORIZADO
292,155,23/09/2016 00:00,23/09/2016 00:00,23/09/2016 00:00,464/2016,23/09/2016 00:00,,AUTORIZADO
293,156,23/09/2016 00:00,23/09/2016 00:00,23/09/2016 00:00,465/2016,23/09/2016 00:00,,AUTORIZADO
294,157,23/09/2016 00:00,23/09/2016 00:00,23/09/2016 00:00,466/2016,23/09/2016 00:00,,AUTORIZADO
302,94,19/09/2016 00:00,19/09/2016 00:00,19/09/2016 00:00,431-1/2016,19/09/2016 00:00,,AUTORIZADO
308,90,08/09/2016 00:00,08/09/2016 00:00,08/09/2016 00:00,471/2016,08/09/2016 00:00,,AUTORIZADO
309,159,15/09/2016 00:00,15/09/2016 00:00,15/09/2016 00:00,452/2016,15/09/2016 00:00,,AUTORIZADO
310,155,23/09/2016 00:00,23/09/2016 00:00,23/09/2016 00:00,467/2016,23/09/2016 00:00,,AUTORIZADO
311,156,23/09/2016 00:00,23/09/2016 00:00,23/09/2016 00:00,468/2016,23/09/2016 00:00,,AUTORIZADO
312,157,23/09/2016 00:00,23/09/2016 00:00,23/09/2016 00:00,469/2016,23/09/2016 00:00,,AUTORIZADO
315,151,29/09/2016 00:00,29/09/2016 00:00,29/09/2016 00:00,473/2016,29/09/2016 00:00,,AUTORIZADO
316,152,07/10/2016 00:00,07/10/2016 00:00,07/10/2016 00:00,474/2016,07/10/2016 00:00,,AUTORIZADO
317,153,07/10/2016 00:00,07/10/2016 00:00,07/10/2016 00:00,475/2016,07/10/2016 00:00,,AUTORIZADO
322,61,15/09/2016 00:00,15/09/2016 00:00,15/09/2016 00:00,477/2016,15/09/2016 00:00,,AUTORIZADO
325,98,14/10/2016 00:00,14/10/2016 00:00,14/10/2016 00:00,478/2016,14/10/2016 00:00,,AUTORIZADO
327,119,10/10/2016 00:00,10/10/2016 00:00,10/10/2016 00:00,479/2016,10/10/2016 00:00,,AUTORIZADO
335,166,10/10/2016 00:00,10/10/2016 00:00,10/10/2016 00:00,483/2016,10/10/2016 00:00,,AUTORIZADO
344,112,29/09/2016 00:00,29/09/2016 00:00,29/09/2016 00:00,488/2016,29/09/2016 00:00,,AUTORIZADO
350,108,07/10/2016 00:00,07/10/2016 00:00,07/10/2016 00:00,489/2016,07/10/2016 00:00,,AUTORIZADO
351,36,29/08/2016 00:00,29/08/2016 00:00,29/08/2016 00:00,490/2016,29/08/2016 00:00,,AUTORIZADO
352,173,10/10/2016 00:00,10/10/2016 00:00,10/10/2016 00:00,491/2016,10/10/2016 00:00,,AUTORIZADO
353,117,03/10/2016 00:00,03/10/2016 00:00,03/10/2016 00:00,492/2016,03/10/2016 00:00,,AUTORIZADO
359,114,03/10/2016 00:00,03/10/2016 00:00,03/10/2016 00:00,493/2016,03/10/2016 00:00,,AUTORIZADO
360,70,02/09/2016 00:00,02/09/2016 00:00,02/09/2016 00:00,494/2016,02/09/2016 00:00,,AUTORIZADO
376,139,07/10/2016 00:00,07/10/2016 00:00,07/10/2016 00:00,502/2016,07/10/2016 00:00,,AUTORIZADO
377,161,06/10/2016 00:00,06/10/2016 00:00,06/10/2016 00:00,501/2016,06/10/2016 00:00,,AUTORIZADO
378,103,13/10/2016 00:00,13/10/2016 00:00,13/10/2016 00:00,503/2016,13/10/2016 00:00,,AUTORIZADO
380,94,17/10/2016 00:00,17/10/2016 00:00,17/10/2016 00:00,504/2016,17/10/2016 00:00,,AUTORIZADO
389,200,10/10/2016 00:00,10/10/2016 00:00,10/10/2016 00:00,508/2016,10/10/2016 00:00,,AUTORIZADO
390,115,13/10/2016 00:00,13/10/2016 00:00,13/10/2016 00:00,509/2016,13/10/2016 00:00,,AUTORIZADO
391,118,20/10/2016 00:00,20/10/2016 00:00,20/10/2016 00:00,510/2016,20/10/2016 00:00,,AUTORIZADO
392,116,21/10/2016 00:00,21/10/2016 00:00,21/10/2016 00:00,511/2016,21/10/2016 00:00,,AUTORIZADO
393,124,21/10/2016 00:00,21/10/2016 00:00,21/10/2016 00:00,512/2016,21/10/2016 00:00,,AUTORIZADO
394,139,27/10/2016 00:00,27/10/2016 00:00,27/10/2016 00:00,513/2016,27/10/2016 00:00,,AUTORIZADO
400,89,24/10/2016 00:00,24/10/2016 00:00,24/10/2016 00:00,514/2016,24/10/2016 00:00,,AUTORIZADO
408,31,20/10/2016 00:00,20/10/2016 00:00,20/10/2016 00:00,518/2016,23/01/2017 00:00,AUTORIZADO,TÉRMINADO
413,68,10/10/2016 00:00,10/10/2016 00:00,10/10/2016 00:00,519/2016,10/10/2016 00:00,AUTORIZADO,TÉRMINADO
414,151,24/10/2016 00:00,24/10/2016 00:00,24/10/2016 00:00,473-1/2016,24/10/2016 00:00,,AUTORIZADO
417,95,23/09/2016 00:00,23/09/2016 00:00,23/09/2016 00:00,521/2016,23/09/2016 00:00,,AUTORIZADO
427,154,27/10/2016 00:00,27/10/2016 00:00,27/10/2016 00:00,522/2016,27/10/2016 00:00,,AUTORIZADO
430,91,23/09/2016 00:00,23/09/2016 00:00,23/09/2016 00:00,523/2016,23/09/2016 00:00,,AUTORIZADO
436,198,03/11/2016 00:00,03/11/2016 00:00,03/11/2016 00:00,524/2016,03/11/2016 00:00,,AUTORIZADO
443,91,03/10/2016 00:00,03/10/2016 00:00,03/10/2016 00:00,530/2016,03/10/2016 00:00,,AUTORIZADO
451,209,31/10/2016 00:00,31/10/2016 00:00,31/10/2016 00:00,531/2016,31/10/2016 00:00,,AUTORIZADO
452,139,07/11/2016 00:00,07/11/2016 00:00,07/11/2016 00:00,532/2016,07/11/2016 00:00,,AUTORIZADO
454,103,07/11/2016 00:00,07/11/2016 00:00,07/11/2016 00:00,534/2016,07/11/2016 00:00,AUTORIZADO,TÉRMINADO
455,138,10/11/2016 09:01,24/10/2016 00:00,26/08/2016 00:00,440-1/2016,15/09/2016 00:00,AUTORIZADO,TÉRMINADO
456,210,10/11/2016 15:16,15/10/2016 00:00,13/10/2016 00:00,536/2016,17/10/2016 00:00,AUTORIZADO,TÉRMINADO
457,48,11/11/2016 09:52,24/09/2016 00:00,02/09/2016 00:00,537/2016,10/10/2016 00:00,AUTORIZADO,TÉRMINADO
458,49,11/11/2016 09:57,24/09/2016 00:00,02/09/2016 00:00,538/2016,10/10/2016 00:00,AUTORIZADO,TÉRMINADO
459,98,11/11/2016 10:04,24/12/2016 00:00,19/09/2016 00:00,539/2016,04/11/2016 00:00,AUTORIZADO,TÉRMINADO
460,116,11/11/2016 11:46,03/12/2016 00:00,14/10/2016 00:00,540/2016,21/10/2016 00:00,AUTORIZADO,TÉRMINADO
