Id_Obra_Recurso,Id_Obra,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Observaciones,Movimiento,No_Registro_Obrasi,Numero_Oficio,Fecha_Oficio
1,1,1,100,409243.34,,INICIAL,1,S/N,02/01/2016 00:00
2,3,1,100,329292.78,,INICIAL,3,S/N,02/01/2016 00:00
3,4,1,100,259678.55,,INICIAL,4,S/N,02/01/2016 00:00
4,2,1,100,470624.66,,INICIAL,2,S/N,02/01/2016 00:00
5,6,1,100,209104.63,,INICIAL,6,S/N,02/01/2016 00:00
6,5,1,100,206957.67,,INICIAL,5,S/N,02/01/2016 00:00
7,7,2,100,4804247.15,,INICIAL,7,S/N,02/01/2016 00:00
8,8,1,100,204285.5,,INICIAL,8,S/N},02/01/2016 00:00
9,10,4,100,70740.18,,INICIAL,10,S/N,02/01/2016 00:00
10,11,3,100,27394.26,,INICIAL,11,S/N,02/01/2016 00:00
11,9,3,100,16313.06,,INICIAL,9,S/N,02/01/2016 00:00
12,13,1,100,109764.26,,INICIAL,13,,08/11/2016 00:00
13,12,5,100,840650.97,,INICIAL,12,S/N,02/01/2016 00:00
14,14,1,100,118535.54,,INICIAL,14,S/N,02/01/2016 00:00
15,15,7,33.33,222855.05,,INICIAL,16,S/N,02/01/2016 00:00
16,15,6,66.67,445710.11,,INICIAL,15,S/N,02/01/2016 00:00
17,16,23,100,27992.25,,AMPLIACION,130,S/N AMPLIACION,02/01/2016 00:00
18,16,7,33.33,309523.66,,INICIAL,18,S/N,02/01/2016 00:00
19,16,6,66.67,619047.32,,INICIAL,17,S/N,02/01/2016 00:00
20,17,7,33.33,305308.17,,INICIAL,20,S/N,02/01/2016 00:00
21,17,6,66.67,610616.35,,INICIAL,19,S/N,02/01/2016 00:00
22,18,2,100,392694.21,,INICIAL,64,S/N,02/01/2016 00:00
23,19,7,33.33,373230.85,,INICIAL,22,S/N,02/01/2016 00:00
24,19,6,66.67,746461.71,,INICIAL,21,S/N,02/01/2016 00:00
25,20,8,100,935597.34,,INICIAL,23,S/N,02/01/2016 00:00
26,21,8,100,898720.47,,INICIAL,24,S/N,02/01/2016 00:00
27,22,7,33.33,225047.93,,INICIAL,26,S/N,02/01/2016 00:00
28,22,6,66.67,450095.86,,INICIAL,25,S/N,02/01/2016 00:00
29,23,7,33.33,410146.29,,INICIAL,28,S/N,02/01/2016 00:00
30,23,6,66.67,820292.57,,INICIAL,27,S/N,02/01/2016 00:00
31,24,7,33.33,378420.18,,INICIAL,30,S/N,02/01/2016 00:00
32,24,6,66.67,756840.38,,INICIAL,29,S/N,02/01/2016 00:00
33,25,7,33.33,383197,,INICIAL,32,S/N,02/01/2016 00:00
34,25,6,66.67,766394,,INICIAL,31,S/N,02/01/2016 00:00
35,26,8,100,998671.19,,INICIAL,33,S/N,02/01/2016 00:00
36,26,8,100,601987.47,,AMPLIACION,142,S/N AMPLIACION,02/01/2016 00:00
37,27,2,100,302321.34,,INICIAL,34,S/N,02/01/2016 00:00
38,28,2,100,368990.81,,INICIAL,35,S/N,02/01/2016 00:00
39,29,2,100,1255886.64,,INICIAL,36,S/N,02/01/2016 00:00
40,30,2,100,287661.58,,INICIAL,37,S/N,02/01/2016 00:00
41,31,2,100,232996.53,,INICIAL,38,S/N,02/01/2016 00:00
42,32,2,100,188698.33,,INICIAL,39,S/N,02/01/2016 00:00
43,33,2,100,153938.76,,INICIAL,40,S/N,02/01/2016 00:00
44,34,2,100,294590.62,,INICIAL,41,S/N,02/01/2016 00:00
45,35,2,100,363240.52,,INICIAL,42,S/N,02/01/2016 00:00
46,36,7,33.34,1807121.55,,INICIAL,43,S/N,02/01/2016 00:00
47,36,6,66.66,3613159.04,,INICIAL,44,S/N,02/01/2016 00:00
48,37,7,33.34,1020729.38,,INICIAL,45,S/N,02/01/2016 00:00
49,37,6,66.66,2040846.45,,INICIAL,46,S/N,02/01/2016 00:00
50,38,7,33.34,414107.84,,INICIAL,47,S/N,02/01/2016 00:00
51,38,6,66.66,828215.69,,INICIAL,48,S/N,02/01/2016 00:00
52,39,2,100,948866.89,,INICIAL,49,S/N,02/01/2016 00:00
53,40,8,100,659951.84,,INICIAL,50,S/N,02/01/2016 00:00
54,41,9,100,999944.87,,INICIAL,51,S/N,02/01/2016 00:00
55,50,2,100,348309.79,,INICIAL,65,S/N,02/01/2016 00:00
56,42,10,100,799938.34,,INICIAL,52,S/N,02/01/2016 00:00
58,51,7,34,716059.68,,INICIAL,66,S/N,02/01/2016 00:00
59,51,6,66,1432119.37,,INICIAL,67,S/N,02/01/2016 00:00
60,43,7,33.34,943604.07,,INICIAL,53,S/N,02/01/2016 00:00
61,43,6,66.66,1886642.08,,INICIAL,54,S/N,02/01/2016 00:00
62,48,7,34,666449.34,,INICIAL,61,S/N,02/01/2016 00:00
63,48,6,66,1332898.68,,INICIAL,62,S/N,02/01/2016 00:00
64,47,8,100,111120.32,,INICIAL,60,S/N,02/01/2016 00:00
65,49,2,100,284695.5,,INICIAL,63,S/N,02/01/2016 00:00
66,44,8,100,109508.77,,INICIAL,55,S/N,02/01/2016 00:00
67,46,7,33.34,1666592.23,,INICIAL,58,S/N,01/02/2016 00:00
68,46,6,66.66,3333184.47,,INICIAL,59,S/N,01/02/2016 00:00
69,45,7,33.34,457576.18,,INICIAL,56,S/N,02/01/2016 00:00
70,45,6,66.66,914877.88,,INICIAL,57,S/N,02/01/2016 00:00
71,52,7,34,2016107.56,,INICIAL,68,S/N,02/01/2016 00:00
72,52,6,66,4032215.12,,INICIAL,69,S/N,02/01/2016 00:00
73,53,7,34,633053.4,,INICIAL,70,S/N,02/01/2016 00:00
74,53,6,66,1266106.78,,INICIAL,71,S/N,02/01/2016 00:00
75,54,7,34,752166.69,,INICIAL,72,S/N,02/01/2016 00:00
76,54,6,66,1504333.38,,INICIAL,73,S/N,02/01/2016 00:00
77,55,8,100,598270.43,,INICIAL,74,S/N,02/01/2016 00:00
78,56,11,100,1377112.3,,INICIAL,75,S/N,02/01/2016 00:00
79,57,7,34,505307.21,,INICIAL,76,S/N,02/01/2016 00:00
80,57,6,66,1010614.41,,INICIAL,77,S/N,02/01/2016 00:00
81,58,7,34,1220209.63,,INICIAL,78,S/N,02/01/2016 00:00
82,58,6,66,2440419.24,,INICIAL,79,S/N,02/01/2016 00:00
83,59,7,34,660638.77,,INICIAL,80,S/N,02/01/2016 00:00
84,59,6,66,1321277.54,,INICIAL,81,S/N,02/01/2016 00:00
85,60,12,100,3277000,,INICIAL,82,S/N,02/01/2016 00:00
86,70,13,100,831753.66,,INICIAL,98,S/N,02/01/2016 00:00
87,61,2,100,1463306.91,,INICIAL,83,S/N,02/01/2016 00:00
88,62,3,100,542579.41,,INICIAL,84,S/N,02/01/2016 00:00
89,62,3,100,74883.37,,AMPLIACION,181,S/N AMPLIACION,02/01/2016 00:00
90,63,7,34,1311004.04,,INICIAL,85,S/N,02/01/2016 00:00
91,63,6,66,2622008.08,,INICIAL,86,S/N,02/01/2016 00:00
92,64,7,34,1272403.33,,INICIAL,87,S/N,02/01/2016 00:00
93,64,6,66,2544806.65,,INICIAL,88,S/N,02/01/2016 00:00
94,65,7,34,701669.69,,INICIAL,89,S/N,02/01/2016 00:00
95,65,6,66,1403339.38,,INICIAL,90,S/N,02/01/2016 00:00
96,66,7,34,588529.79,,INICIAL,91,S/N,02/01/2016 00:00
97,66,6,66,1177059.58,,INICIAL,92,S/N,02/01/2016 00:00
98,67,7,34,547564.18,,INICIAL,93,S/N,02/01/2016 00:00
99,67,6,66,1095128.38,,INICIAL,94,S/N,02/01/2016 00:00
100,68,7,34,724101.8,,INICIAL,95,S/N,02/01/2016 00:00
101,68,6,66,1448203.6,,INICIAL,96,S/N,02/01/2016 00:00
102,69,2,100,753217.2,,INICIAL,97,S/N,02/01/2016 00:00
103,71,14,100,780762.86,,INICIAL,99,S/N,02/01/2016 00:00
104,74,7,34,1106953.23,,INICIAL,102,S/N,02/01/2016 00:00
105,74,6,66,2213906.46,,INICIAL,103,S/N,02/01/2016 00:00
106,72,15,100,2357164.21,,INICIAL,100,S/N,02/01/2016 00:00
107,75,17,100,1738342.01,,INICIAL,104,S/N,02/01/2016 00:00
108,78,9,100,874395.7,,INICIAL,107,S/N,02/01/2016 00:00
109,73,16,100,321470.56,,INICIAL,101,S/N,02/01/2016 00:00
110,77,2,100,398740.64,,INICIAL,106,S/N,02/01/2016 00:00
111,76,11,100,3356200.26,,INICIAL,105,S/N,02/01/2016 00:00
112,76,11,100,450000.01,,AMPLIACION,187,S/N AMPLIACION,02/01/2016 00:00
113,79,2,100,523772.75,,INICIAL,108,S/N,02/01/2016 00:00
114,80,2,100,523772.75,,INICIAL,109,S/N,02/01/2016 00:00
115,81,7,34,488049.19,,INICIAL,110,S/N,02/01/2016 00:00
116,81,6,66,976098.39,,INICIAL,111,S/N,02/01/2016 00:00
117,82,18,100,5691796.38,,INICIAL,112,S/N,02/01/2016 00:00
118,83,19,100,7491288.21,,INICIAL,113,S/N,02/01/2016 00:00
119,89,20,100,698451.72,,INICIAL,119,S/N,02/01/2016 00:00
120,85,2,100,565812.43,,INICIAL,115,S/N,02/01/2016 00:00
121,86,11,100,3576769.11,,INICIAL,116,S/N,02/01/2016 00:00
122,84,12,100,4190000.54,,INICIAL,114,S/N,02/01/2006 00:00
123,87,20,100,304568.63,,INICIAL,118,S/N,02/01/2016 00:00
124,100,3,100,71988.93,,INICIAL,131,S/N,02/01/2016 00:00
125,88,13,100,253274.33,,INICIAL,117,S/N,02/01/2016 00:00
126,98,2,100,1099789.81,,INICIAL,128,S/N,02/01/2016 00:00
127,90,21,100,771546.38,,INICIAL,120,S/N,02/01/2016 00:00
128,101,24,100,22825153.7,,INICIAL,132,S/N,02/01/2016 00:00
129,91,20,100,653727.62,,INICIAL,121,S/N,02/01/2016 00:00
130,92,20,100,394700.25,,INICIAL,122,S/N,02/01/2016 00:00
131,93,6,100,635764.69,,INICIAL,123,S/N,02/01/2016 00:00
132,94,6,100,797989.07,,INICIAL,124,S/N,02/01/2016 00:00
133,95,6,100,708398.82,,INICIAL,125,S/N,02/01/2016 00:00
134,96,6,100,1127409.2,,INICIAL,126,S/N,02/01/2016 00:00
135,111,2,100,886570.32,,INICIAL,143,S/N,02/01/2016 00:00
136,97,6,100,532370.16,,INICIAL,127,S/N,02/01/2016 00:00
137,99,22,100,6363270.56,,INICIAL,129,S/N,02/01/2016 00:00
138,102,6,100,565069.63,,INICIAL,133,S/N,02/01/2016 00:00
139,103,6,100,1112424.76,,INICIAL,134,S/N,02/01/2016 00:00
140,104,6,100,4500122.07,,INICIAL,135,S/N,02/01/2016 00:00
141,105,6,100,490315.71,,INICIAL,136,S/N,02/01/2016 00:00
142,106,6,100,1200394.9,,INICIAL,137,S/N,02/01/2016 00:00
143,112,6,100,1102194.21,,INICIAL,144,S/N,02/01/2016 00:00
144,113,2,100,643210.12,,INICIAL,145,S/N,02/01/2016 00:00
145,107,6,100,1403128.72,,INICIAL,138,S/N,02/01/2016 00:00
146,121,6,100,5647760.29,,INICIAL,158,S/N,02/01/2016 00:00
147,108,6,100,2500623.04,,INICIAL,139,S/N,02/01/2016 00:00
148,109,2,100,757660.75,,INICIAL,140,S/N,02/01/2016 00:00
149,118,6,100,800787.96,,INICIAL,153,S/N,02/01/2016 00:00
150,114,6,100,654869.83,,INICIAL,146,S/N,02/01/2016 00:00
151,122,6,100,3060436.56,,INICIAL,159,S/N,02/01/2016 00:00
152,110,6,100,4063277.7,,INICIAL,141,S/N,02/01/2016 00:00
153,115,26,40,749095.21,,INICIAL,148,S/N,02/01/2016 00:00
154,115,25,60,1736343.42,,INICIAL,147,S/N,02/01/2016 00:00
155,116,26,30,970139.14,,INICIAL,150,S/N,02/01/2016 00:00
156,116,25,70,2248705.71,,INICIAL,149,S/N,02/01/2016 00:00
157,125,26,30,1050959.37,,INICIAL,164,S/N,02/01/2016 00:00
158,125,25,70,2436040.63,,INICIAL,163,S/N,02/01/2016 00:00
159,117,26,30,317040.8,,INICIAL,151,S/N,02/01/2016 00:00
160,117,25,70,734875.48,,INICIAL,152,S/N,02/01/2016 00:00
161,119,26,30,300431.95,,INICIAL,155,S/N,02/01/2016 00:00
162,119,25,70,696377.48,,INICIAL,154,S/N,02/01/2016 00:00
163,120,26,30,317040.8,,INICIAL,157,S/N,02/01/2016 00:00
164,120,25,70,734875.48,,INICIAL,156,S/N,02/01/2016 00:00
165,126,26,30,350258.49,,INICIAL,166,S/N,02/01/2016 00:00
166,126,25,70,811871.48,,INICIAL,165,S/N,02/01/2016 00:00
167,127,26,30,366867.34,,INICIAL,168,S/N,02/01/2016 00:00
168,127,25,70,850369.48,,INICIAL,167,S/N,02/01/2016 00:00
169,128,26,30,317040.8,,INICIAL,170,S/N,02/01/2016 00:00
170,128,25,70,734875.48,,INICIAL,169,S/N,02/01/2016 00:00
171,130,26,30,333649.65,,INICIAL,173,S/N,02/01/2016 00:00
172,130,25,70,773373.48,,INICIAL,172,S/N,02/01/2016 00:00
173,145,26,30,315574.89,,INICIAL,191,S/N,02/01/2016 00:00
174,145,25,70,736341.39,,INICIAL,190,S/N,02/01/2016 00:00
175,129,2,100,371765.36,,INICIAL,171,S/N,02/01/2016 00:00
176,148,26,30,689327.57,,INICIAL,195,S/N,02/01/2016 00:00
177,148,25,70,1597806.75,,INICIAL,194,S/N,02/01/2016 00:00
