Id_Contrato_Recurso,Id_Contrato,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Id_Contrato_Ampliacion
178,142,6,100,1591138.57,
10492,71,23,33.34,86750.73,10
102,81,6,66.67,2622008.08,
208,162,29,100,32029786.43,
287,94,17,100,252518.22,7
387,102,19,93.44,1409711.79,16
50643,534,51,100,38455726.98,
433,316,47,27.78,58730.04,31
20658,511,26,100,979936.11,
70652,309,106,100,57810.64,84
80741,572,68,100,33603.45,
359,312,70,100,2420925.1,
20616,472,2,100,103746.53,
31,28,7,33.33,373230.85,
468,356,2,100,109251.87,
138,108,20,100,304568.63,
305,264,47,100,1537227.79,
442,269,82,27.78,22685.22,33
384,94,80,100,245748.11,15
10563,430,78,100,2778422.96,
35,31,7,33.33,225047.93,
255,198,20,100,213438.67,
239,185,26,30.14,474654.83,
10534,402,2,100,127172.86,
144,114,20,100,653727.62,
171,137,25,69.86,2248705.71,
80673,279,46,100,106127.3,96
80669,401,113,34,8641.47,94
10551,418,94,100,1185791.51,59
117,89,13,100,831753.66,
10499,372,78,100,2960598.9,
151,121,22,100,6363270.56,
423,282,83,16.66,14425.59,28
451,268,82,27.78,74714,36
388,77,6,100,58572.12,17
10561,428,2,100,126256.57,
325,281,47,100,4338876.57,
80678,36,2,100,71306.47,
80684,504,120,100,69613.55,103
80706,557,106,100,50858.11,
10543,411,26,100,1029880.83,
20645,498,2,100,133290.33,
22,22,5,100,840650.97,
326,282,47,100,894588.95,
427,281,83,16.66,52103.71,29
80703,471,2,100,149613.34,
10465,363,20,100,607645.39,
80668,544,20,100,599014.93,
222,174,2,100,1468406.42,
20654,507,101,100,141764.78,
99,79,2,100,1463306.91,
366,319,1,100,1421919.65,
80696,553,108,100,70149.06,
76,64,7,33.33,666449.34,
60645,67,2,100,77191.91,42
77,64,6,66.67,1332898.68,
80708,559,108,100,48609.13,
80699,554,123,100,60957.34,
34,30,8,100,898720.47,
250,194,25,100,790552.66,
439,263,25,16.66,21725.98,32
10532,400,2,100,126256.57,
398,339,75,100,4542844.34,
60643,535,20,100,402891.15,
70654,537,56,100,1027293.71,
258,201,33,100,979479.58,
20663,516,101,100,208212.7,
92,75,7,33.33,505307.21,
217,170,2,100,362480.44,
344,297,67,100,69600,
371,324,73,100,335553.86,
175,140,26,30.14,300431.95,
364,317,67,100,199971.6,
43,35,8,100,998671.19,
457,162,29,100,8599550.27,38
174,139,6,100,800787.96,
70,60,8,100,109508.77,
197,155,26,30.14,133490.87,
220,95,11,100,450000.01,4
465,353,2,100,122821.95,
140,110,20,100,266953.67,
20,20,4,100,70740.18,
10493,292,64,100,1061927.54,57
229,179,28,100,290724.11,
459,263,47,27.78,36227.34,32
20638,491,2,100,111604.01,
10565,432,90,100,1185127.77,
10589,455,87,100,1073300.49,
10610,441,90,100,228913.23,67
65,56,8,100,659951.84,
242,186,25,69.86,366737.44,
143,113,21,100,771546.38,
10527,396,26,100,1330233.64,
10569,436,2,100,142717,
260,203,36,100,900938.26,
20630,484,90,100,495147.87,73
80671,421,116,18,2000000,95
212,166,28,100,1198465.81,
262,205,6,100,1306288.78,
183,147,6,100,1420283.36,
10538,406,2,100,126256.57,
70651,288,106,100,295655,83
10508,381,46,100,1364109.7,
57,49,2,100,169626.37,
130,100,6,66.67,976098.39,
89,72,6,66.67,1504333.38,
88,72,7,33.33,752166.69,
235,183,26,30.14,1109429.73,
331,287,67,100,608579.52,
20622,478,26,100,998967.21,
352,305,67,100,163031.68,
263,206,2,100,336489.67,
327,283,47,100,900735.09,
10497,370,89,100,1134601.24,
20612,468,2,100,135172.71,
63,53,6,66.66,2040846.45,
347,300,74,100,294782.26,
392,335,77,100,657548.75,
80674,347,95,50.44,92212.58,97
3,3,1,100,123014.16,
204,159,26,30.14,333649.65,
4,4,1,100,155902.46,
252,195,20,100,595847.3,
223,175,26,30,182701.25,
10529,397,102,50.98,5199000,
147,117,6,100,708398.82,
