Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion,Id_Presupuesto
167,75,1,15/05/2011 00:00,15/05/2011 00:00,22/07/2011 00:00,407153.06,0,0,1,156
23,40,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,53
89,274,1,13/12/2010 00:00,13/12/2010 00:00,30/12/2010 00:00,137747.36,0,0,1,239
79,224,1,08/11/2010 00:00,08/11/2010 00:00,29/11/2010 00:00,608103.56,0,0,1,364
144,157,1,09/03/2011 00:00,09/03/2011 00:00,15/03/2011 00:00,132192.17,0,0,1,209
153,561,1,04/04/2011 00:00,04/04/2011 00:00,16/04/2011 00:00,92728.86,0,0,1,758
201,556,4,29/05/2012 00:00,29/05/2012 00:00,31/07/2012 00:00,4745085.08,0,0,1,746
45,40,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,
133,314,1,21/01/2011 00:00,21/01/2011 00:00,22/01/2011 00:00,20500.09,0,0,1,409
178,376,1,16/03/2011 00:00,16/03/2011 00:00,27/03/2011 00:00,77365.5,0,0,1,560
12,54,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,120
182,550,2,03/08/2011 00:00,03/08/2011 00:00,01/11/2011 00:00,2967978.89,30,890393.67,1,721
126,155,1,31/01/2011 00:00,31/01/2011 00:00,25/02/2011 00:00,71965.79,0,0,1,225
136,159,1,31/12/2010 00:00,31/12/2010 00:00,01/01/2011 00:00,15896.15,0,0,1,212
122,251,1,30/11/2010 00:00,30/11/2010 00:00,31/12/2010 00:00,361272.43,0,0,1,376
184,574,1,06/07/2011 00:00,06/07/2011 00:00,05/08/2011 00:00,495775.88,0,0,1,738
60,239,1,17/09/2010 00:00,17/09/2010 00:00,02/10/2010 00:00,43826.36,0,0,1,346
15,60,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,123
71,225,1,08/11/2010 00:00,08/11/2010 00:00,05/12/2010 00:00,203577.79,0,0,1,336
179,375,1,31/05/2011 00:00,31/05/2011 00:00,17/07/2011 00:00,583818.48,0,0,1,558
194,29,1,24/11/2011 00:00,24/11/2011 00:00,17/12/2011 00:00,538399.34,0,0,1,15
57,136,1,01/10/2010 00:00,01/10/2010 00:00,06/10/2010 00:00,70379.79,0,0,1,207
193,296,1,08/11/2011 00:00,08/11/2011 00:00,14/11/2011 00:00,157591.07,0,0,1,
34,48,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,88
174,519,1,01/06/2011 00:00,01/06/2011 00:00,22/06/2011 00:00,207786.57,0,0,1,671
68,107,1,18/10/2010 00:00,18/10/2010 00:00,06/11/2010 00:00,549999.7,0,0,1,
77,237,1,01/11/2010 00:00,01/11/2010 00:00,04/12/2010 00:00,126244.68,0,0,1,333
72,218,1,06/11/2010 00:00,06/11/2010 00:00,20/11/2010 00:00,150624.43,0,0,1,314
111,182,1,13/11/2010 00:00,13/11/2010 00:00,13/12/2010 00:00,22901.36,0,0,1,301
140,232,2,08/03/2011 00:00,08/03/2011 00:00,31/03/2011 00:00,181054.2,0,0,1,324
50,139,1,14/10/2010 00:00,14/10/2010 00:00,13/11/2010 00:00,184418.58,0,0,1,
11,38,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,73
48,70,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,512031.99,0,0,1,95
42,49,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,68
63,81,1,30/09/2010 00:00,30/09/2010 00:00,31/10/2010 00:00,724469.57,0,0,1,158
59,242,1,26/10/2010 00:00,26/10/2010 00:00,20/11/2010 00:00,233398.62,0,0,1,348
22,65,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,128003.98,0,0,1,91
169,540,1,28/04/2011 00:00,28/04/2011 00:00,14/05/2011 00:00,99999.78,0,0,1,628
181,267,1,08/08/2011 00:00,08/08/2011 00:00,13/08/2011 00:00,52923.61,0,0,1,396
61,131,1,11/10/2010 00:00,11/10/2010 00:00,23/10/2010 00:00,200578.74,0,0,1,201
142,269,2,30/01/2011 00:00,30/01/2011 00:00,15/03/2011 00:00,174330.69,0,0,1,402
118,266,1,29/11/2010 00:00,29/11/2010 00:00,26/12/2010 00:00,845875.64,0,0,1,387
