Id_Contrato,Id_Presupuesto,Numero_Contrato,Nombre_Final,Importe,Porcentaje_Anticipo,Importe_Anticipo,Fecha_Firma_Contrato,Fecha_Inicio,Fecha_Termino,Id_Formato_Contrato,Id_Formato_Caratula,Id_Formato_Hoja_Estimaciones,Observaciones,Estatus,Año,Id_Contratista,Id_Supervisor_Interno,Id_Supervisor_Externo,Id_Fuente_Inversion,Fecha_Adjudicacion,Id_Modalidad,Numero_Licitacion,Leyenda_Oficial,Id_Oficio_Asignacion_Obra,Id_Numero_Contrato_Pertenece
486,673,A-2510-315-6101-H/0499/2010,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: LOMAS DEL RIO TRAMO: PETUNIAS - BUGAMBILIAS COL. JARDINES DE LOMAS DE MEDINA; AURORA DE SAN JUAN TRAMO: FARO DE SAN JUAN - PROVINCIA DE SAN JUAN COL. VILLAS DE SAN JUAN I SECC; OCASO TRAMO: CAMINO AL POTRERO - TEMPRANO COL. NUEVP AMANECER; PRESA DEL REFUGIO TRAMO: BLVD. HIDALGO - PRESA ALLENDE COL. PRESITAS DEL CONSUELO; DE LA MISERICORDIA TRAMO: MADRE MAURA - MADRE AURORA COL. LA GLORIETA,430601.47,30,129180.44,14/12/2010 00:00,27/12/2010 00:00,19/03/2011 00:00,1,1,1,,EJECUCION,2010,265,,,1,14/12/2010 00:00,1,,NULL,0,NULL
487,681,A-2510-327-6101-C/0507/2010,REHABILITACION DE LOS PAVIMENTOS Y CONSTRUCCION DE MURO DE CONTENCION EN AV. INSURGENTES LEON,2092939.69,30,627881.91,17/12/2010 00:00,03/01/2011 00:00,26/02/2011 00:00,1,1,1,,EJECUCION,2010,206,,,1,17/12/2010 00:00,1,,NULL,0,NULL
488,650,A-2510-315-6101-H/0479/2010,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: BALCON DE LOS FRAILECILLOS TRAMO: BALCON DE LOS CANGUROS - BALCON DE LOS RUISEÑORES; BALCON DE LOS CHORLITEJOS TRAMO: BALCON DE LOS CANGUROS - BALCON DE LOS RUISEÑORES; BALCON DE LOS TURACOS TRAMO: BALCON DE LOS CANGUROS - BALCON DE LOS RUISEÑORES; BALCON DE LOS MAQUIS TRAMO: BALCON DE LOS CANGUROS - BALCON DE LOS RUISEÑORES; BALCON DE LOS CARDENALES TRAMO: BALCON DE LOS CANGUROS - BALCON DE LOS RUISEÑORES; BALCON DE LOS COLIMBOS TRAMO: BALCON DE LOS CANGUROS - BALCON DE LOS RUISEÑORES Y BALCON DE LOS CANGUROS TRAMO: BALCON DE LOS RUISEÑORES - BALCON DE LAS PALOMAS COL. COLINAS DE LA HACIENDA,575061.76,30,172518.53,16/12/2010 00:00,27/12/2010 00:00,19/03/2011 00:00,1,1,1,,EJECUCION,2010,103,,,1,16/12/2010 00:00,1,,NULL,0,NULL
489,672,A-1519-342-6201-E/0498/2010,REMODELACION DE INSTALACIONES DEL CENTRO DE FORMACION POLICIAL LEON,269381.03,30,80814.31,16/12/2010 00:00,27/12/2010 00:00,05/02/2011 00:00,1,1,1,,EJECUCION,2010,38,,,1,16/12/2010 00:00,1,,NULL,0,NULL
490,634,C-2510-602-6902-C/0463/2010,CONFORMACION DE LAS CALLES NO PAVIMENTADAS EN EL SECTOR PILETAS SAN JUAN BOSCO LEON,278779.52,30,83633.86,09/12/2010 00:00,20/12/2010 00:00,15/01/2011 00:00,1,1,1,,EJECUCION,2010,16,,,10,09/12/2010 00:00,1,,NULL,0,NULL
492,583,A-1810-351-6101-D/0421/2010,REHABILITACION  DE PUENTE METALICO EN LA COMUNIDAD DE GUANAJUATITO LEON.,97424.61,0,0,17/11/2010 00:00,22/11/2010 00:00,04/12/2010 00:00,1,1,1,,EJECUCION,2010,77,,,1,17/11/2010 00:00,1,,NULL,0,NULL
493,691,A-2110-302-6101-E/0516/2010,KIOSCO DE LA PLAZA DEL MUSICO.LEON,1530603.08,50,765301.54,20/12/2010 00:00,27/12/2010 00:00,19/02/2011 00:00,1,1,1,,EJECUCION,2010,88,,,1,20/12/2010 00:00,1,,NULL,0,NULL
494,666,A-2510-315-6101-H/0493/2010,PROYECTO EJECUTIVO DE LA PAVIMENTACION DE LAS  CALLES: DEL BEATO TRAMO: CUENCA FLORIDA - TOPAR COL. SANTA CECILIA II SECC. DEL SOLAR TRAMO: CUENCA FLORIDA - CAMPO ESCONDIDO COL. SANTA CECILIA III SECC.,130993.55,0,0,15/12/2010 00:00,27/12/2010 00:00,19/03/2011 00:00,1,1,1,,EJECUCION,2010,421,,,1,15/12/2010 00:00,1,,NULL,0,NULL
495,657,A-2210-338-6201-E/0486/2010,CONSTRUCCION DE MURO PERIMETRAL EN LA TELESECUNDARIA # 529 EN CALLE 16 DE JULIO EN LA COL. SAN FRANCISCO DE ASIS,148720.7,0,0,15/12/2010 00:00,20/12/2010 00:00,22/01/2011 00:00,1,1,1,,EJECUCION,2010,237,,,1,15/12/2010 00:00,1,,NULL,0,NULL
496,656,A-2510-315-6101-H/0485/2010,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: MEDELLIN TRAMO: SANTIAGO - BLVD. ANTONIO MADRAZO; BARRANQUILLA TRAMO: BLVD. ANTONIO MADRAZO - AV. PORTO ALEGRE; VALPARAISO TRAMO; BLVD. ANTONIO MADRAZO - AV. PORTO ALEGRE; SUCRE TRAMO: MAR DE PLARA  - CARACAS; MARACAIBO TRAMO: MAR DE PLATA - CARACAS COL. LA CARMONA; Y PERON TRAMO: 16 DE SEPTIEMBRE - PERON COL. EL DURAZNAL,567868.89,30,170360.67,15/12/2010 00:00,27/12/2010 00:00,19/03/2011 00:00,1,1,1,,EJECUCION,2010,271,,,1,15/12/2010 00:00,1,,NULL,0,NULL
