Id_Contrato_Descuento,Id_Contrato,Id_Descuento,Importe
582,589,1,0.002
617,394,2,0.005
721,457,1,0.002
501,325,2,0.005
760,464,3,0.01
808,507,4,0.005
841,524,3,0.01
779,515,4,0.005
166,113,4,0.005
507,386,3,0.01
819,520,3,0.01
840,524,1,0.002
583,589,3,0.01
145,78,4,0.005
618,395,2,0.005
958,596,1,0.002
379,223,3,0.01
215,131,3,0.01
458,269,1,0.002
237,151,4,0.005
498,309,1,0.002
560,382,2,0.005
609,350,1,0.002
826,516,4,0.005
407,258,3,0.01
733,459,1,0.002
53,3,1,0.002
124,51,4,0.005
195,123,1,0.002
341,189,3,0.01
168,99,4,0.005
265,165,1,0.002
601,359,3,0.01
918,559,4,0.005
910,552,1,0.002
611,342,1,0.002
939,273,3,0.01
497,305,3,0.01
771,480,1,0.002
874,567,5,0.002
189,118,3,0.01
399,254,3,0.01
448,264,3,0.01
573,353,3,0.01
362,202,1,0.002
532,317,3,0.01
330,179,4,0.005
516,391,2,0.005
519,312,3,0.01
938,273,2,0.005
235,147,3,0.01
718,455,1,0.002
810,484,4,0.005
597,343,3,0.01
533,369,1,0.002
871,562,3,0.01
421,227,3,0.01
493,431,4,0.005
353,216,1,0.002
309,174,1,0.002
824,530,1,0.002
282,162,1,0.002
423,244,3,0.01
500,300,2,0.005
200,125,4,0.005
369,232,1,0.002
74,42,1,0.002
319,231,1,0.002
965,482,3,0.01
511,318,3,0.01
596,343,1,0.002
688,434,1,0.002
694,436,1,0.002
363,202,2,0.005
740,458,3,0.01
843,538,3,0.01
395,239,3,0.01
738,468,3,0.01
512,316,1,0.002
517,388,2,0.005
98,70,3,0.01
852,555,1,0.002
894,574,3,0.01
41,588,1,0.002
264,166,3,0.01
297,210,4,0.005
632,401,2,0.005
685,444,4,0.005
110,122,4,0.005
349,176,3,0.01
274,168,3,0.01
945,594,1,0.002
280,183,1,0.002
481,284,2,0.005
524,362,3,0.01
164,104,3,0.01
314,194,3,0.01
438,262,1,0.002
120,54,1,0.002
969,584,1,0.002
936,71,3,0.01
28,14,4,0.005
308,212,3,0.01
753,490,1,0.002
663,378,3,0.01
206,128,1,0.002
951,591,1,0.002
798,582,1,0.002
891,573,3,0.01
5,26,4,0.005
435,259,3,0.01
34,46,4,0.005
129,53,3,0.01
764,498,3,0.01
600,359,1,0.002
769,485,3,0.01
870,562,1,0.002
927,581,3,0.01
355,220,1,0.002
255,153,1,0.002
466,314,3,0.01
554,321,3,0.01
775,502,4,0.005
173,121,3,0.01
452,267,3,0.01
39,9,1,0.002
681,428,1,0.002
856,523,3,0.01
650,390,2,0.005
879,568,3,0.01
288,163,1,0.002
262,167,4,0.005
354,216,3,0.01
480,284,1,0.002
829,531,4,0.005
805,489,3,0.01
48,1,3,0.01
431,236,3,0.01
116,587,1,0.002
711,451,3,0.01
774,483,3,0.01
12,10,4,0.005
281,183,3,0.01
365,234,4,0.005
414,221,1,0.002
673,441,3,0.01
815,487,3,0.01
410,241,1,0.002
413,224,3,0.01
454,278,3,0.01
680,430,4,0.005
716,454,1,0.002
905,556,2,0.005
908,569,3,0.01
961,481,2,0.005
521,393,2,0.005
709,449,3,0.01
561,383,2,0.005
143,88,4,0.005
220,150,1,0.002
541,319,4,0.005
224,136,1,0.002
703,450,3,0.01
140,92,4,0.005
644,375,3,0.01
695,436,3,0.01
232,171,1,0.002
370,232,3,0.01
447,264,1,0.002
525,326,2,0.005
37,59,2,0.005
62,33,3,0.01
727,461,1,0.002
899,575,1,0.002
439,262,3,0.01
723,476,1,0.002
14,28,2,0.005
23,17,3,0.01
3,61,4,0.005
715,453,3,0.01
752,477,3,0.01
328,173,3,0.01
783,495,1,0.002
848,534,1,0.002
172,121,1,0.002
534,369,3,0.01
888,572,3,0.01
43,23,1,0.002
45,8,1,0.002
671,465,3,0.01
24,56,1,0.002
456,270,1,0.002
126,32,4,0.005
495,296,4,0.005
858,579,3,0.01
69,40,3,0.01
101,67,1,0.002
472,291,4,0.005
652,379,4,0.005
331,217,1,0.002
578,355,1,0.002
338,185,1,0.002
477,283,2,0.005
766,471,3,0.01
300,229,2,0.005
335,257,1,0.002
786,501,3,0.01
271,169,1,0.002
40,9,3,0.01
676,492,1,0.002
836,518,4,0.005
862,529,1,0.002
4,13,4,0.005
222,134,1,0.002
81,39,1,0.002
368,200,3,0.01
371,246,4,0.005
549,366,1,0.002
226,157,4,0.005
244,140,3,0.01
125,52,4,0.005
428,280,1,0.002
486,286,2,0.005
658,437,2,0.005
705,448,3,0.01
54,3,3,0.01
661,418,3,0.01
73,43,3,0.01
383,276,3,0.01
218,133,1,0.002
378,223,1,0.002
241,139,1,0.002
475,290,2,0.005
737,468,1,0.002
820,509,4,0.005
321,271,2,0.005
492,298,4,0.005
260,272,2,0.005
633,408,2,0.005
773,483,1,0.002
398,254,1,0.002
669,415,3,0.01
885,580,3,0.01
925,561,3,0.01
227,158,4,0.005
949,597,2,0.005
970,584,2,0.005
712,452,1,0.002
144,86,4,0.005
42,588,3,0.01
531,317,1,0.002
576,354,1,0.002
588,380,3,0.01
778,506,4,0.005
895,574,5,0.002
248,144,4,0.005
19,20,2,0.005
747,460,1,0.002
392,226,1,0.002
552,338,3,0.01
621,411,2,0.005
538,333,3,0.01
177,110,3,0.01
270,172,3,0.01
346,186,1,0.002
817,521,3,0.01
418,219,1,0.002
574,356,1,0.002
954,593,2,0.005
123,60,3,0.01
809,505,4,0.005
457,270,3,0.01
558,413,2,0.005
585,340,1,0.002
675,426,3,0.01
903,543,3,0.01
8,6,4,0.005
440,266,1,0.002
971,584,3,0.01
420,227,1,0.002
622,412,2,0.005
655,348,3,0.01
55,21,1,0.002
291,206,4,0.005
559,414,2,0.005
859,579,5,0.002
915,558,3,0.01
52,2,3,0.01
139,101,3,0.01
761,474,1,0.002
342,182,4,0.005
488,299,2,0.005
750,470,3,0.01
901,575,5,0.002
940,598,1,0.002
784,495,3,0.01
828,493,3,0.01
904,556,1,0.002
275,195,1,0.002
279,161,3,0.01
654,348,1,0.002
789,546,1,0.002
919,566,4,0.005
197,304,1,0.002
243,140,1,0.002
272,169,3,0.01
356,220,3,0.01
380,237,1,0.002
793,508,4,0.005
907,569,1,0.002
642,433,3,0.01
134,85,1,0.002
208,129,1,0.002
229,160,4,0.005
605,347,1,0.002
734,459,3,0.01
296,209,3,0.01
424,275,1,0.002
203,127,3,0.01
82,39,3,0.01
228,159,4,0.005
231,135,3,0.01
572,353,1,0.002
886,580,5,0.002
107,62,1,0.002
138,101,1,0.002
192,107,3,0.01
612,342,3,0.01
111,50,1,0.002
22,17,1,0.002
84,38,3,0.01
518,312,1,0.002
929,553,3,0.01
35,19,4,0.005
860,564,1,0.002
112,50,3,0.01
217,132,3,0.01
657,437,1,0.002
537,333,1,0.002
351,247,1,0.002
581,344,3,0.01
776,488,4,0.005
188,118,1,0.002
251,148,1,0.002
388,250,1,0.002
430,236,1,0.002
547,364,3,0.01
643,375,1,0.002
136,119,1,0.002
842,538,1,0.002
900,575,3,0.01
103,68,1,0.002
914,558,1,0.002
425,275,3,0.01
562,384,2,0.005
689,434,3,0.01
115,72,3,0.01
320,231,3,0.01
406,258,1,0.002
460,281,4,0.005
565,402,2,0.005
1,30,4,0.005
324,255,5,0.002
946,594,2,0.005
276,195,3,0.01
336,257,3,0.01
47,1,1,0.002
613,368,1,0.002
154,75,4,0.005
496,305,1,0.002
855,523,1,0.002
745,463,1,0.002
924,561,1,0.002
834,528,4,0.005
892,573,5,0.002
207,128,3,0.01
247,143,3,0.01
293,203,4,0.005
873,567,3,0.01
389,250,3,0.01
329,191,4,0.005
339,185,3,0.01
724,476,3,0.01
146,74,4,0.005
259,274,4,0.005
446,253,3,0.01
806,486,4,0.005
921,560,4,0.005
450,265,3,0.01
619,397,2,0.005
758,473,3,0.01
60,16,3,0.01
515,322,3,0.01
417,222,3,0.01
183,102,4,0.005
529,363,1,0.002
691,435,3,0.01
679,427,3,0.01
692,439,1,0.002
249,145,1,0.002
563,339,1,0.002
161,94,1,0.002
216,132,1,0.002
487,287,2,0.005
744,540,3,0.01
396,242,1,0.002
75,42,3,0.01
352,247,3,0.01
883,571,5,0.002
587,380,1,0.002
160,93,4,0.005
358,218,3,0.01
699,438,3,0.01
277,164,4,0.005
485,288,2,0.005
303,211,1,0.002
536,315,3,0.01
566,396,4,0.005
589,370,4,0.005
682,428,3,0.01
687,429,3,0.01
137,119,3,0.01
800,533,1,0.002
490,329,2,0.005
196,123,3,0.01
465,314,1,0.002
