Id_Presupuesto,Id_Obra,Nombre,Tipo_Presupuesto,Id_Modalidad,Fecha_Adjudicacion,Id_Presupuesto_Pertenece,Clave,Numero_Ampliacion
13,29,"H-2510-904-6101-D/0013/2010  EJE METROPOLITANO LEON- SILAO ( TRAMO: BLVD. JOSE MARIA MORELOS - BLVD. DELTA ) PAVIMENTACION CUERPO CENTRALES BLVD. JUAN ALONSO DE TORRES TRAMO: TRES PUENTES ALFARO OBRAS DE RE-DESAZOLVE, RECTIFICACION DE CAUSE Y VIALIDAD DE CAD. 0+400 AL 0+600",ORIGINAL,1,17/02/2010 00:00,,0,0
14,30,H-2510-904-6101-D/0014/2010  EJE METROPOLITANO LEON - SILAO ( TRAMO: BLVD. JOSE MARIA MORELOS - BLVD. DELTA ) ALUMBRADO Y ELECTRIFICACION BLVD. JUAN ALONSO DE TORRES ETAPA ONCE DE LOS CUERPOS CENTRALES DEL CAD. 0+273 A BLVD. DELTA LEON,ORIGINAL,1,17/02/2010 00:00,,0,0
15,30,AMPLIACION 1,AMPLIACION,1,17/02/2010 00:00,14,1,1
16,21,"H-2510-906-6902-E/0015/2010  SUBCOMANDANCIA DE POLICIA ( CONSTRUCCION DE BARDA EN LA DELEGACION DE POLICIA SUR EN LA CARRETERA LEON - CUERAMARO KM. 1.5 Y CONSTRUCCION DE BARDA EN LA CENTRAL DE POLICIA "" CEPOL"" UBICADA EN BLVD. LAS TORRES PONIENTE COL. PILETAS IV SECCION ) LEON",ORIGINAL,1,17/02/2010 00:00,,0,0
17,19,"A-2510-307-6101-D/0016/2010  PROGRAMA SIT SISTEMA INTEGRADO DE TRANSPORTE, SEMAFORIZACION DEL CORREDOR BLVD. TORRES LANDA TRAMO: BLVD. VENUSTIANO CARRANZA A CALLE OBRERO MUNDIAL LEON",ORIGINAL,1,17/02/2010 00:00,,0,0
18,17,"A-2510-307-6101-D/0017/2010  PROGRAMA SIT SISTEMA INTEGRADO DE TRANSPORTE, SUMINISTRO E INSTALACION DE CONTROLADORES PARA SEMAFOROS CORREDOR BLVD. TORRES LANDA TRAMO: BLVD. VENUSTIANO CARRANZA A CALLE OBRERO MUNDIAL LEON",ORIGINAL,1,17/02/2010 00:00,,0,0
19,18,"A-2510-307-6101-D/0018/2010  MANTENIMIENTO A LOS ELEMENTOS DEL PARQUE HIDALGO, DISTRIBUIDOR VIAL JUAN PABLO II, PARQUE BENITO JUAREZ Y AL MONUMENTO A LA INDUSTRAL LEONESA LEON",ORIGINAL,1,17/02/2010 00:00,,0,0
20,26,B-5051-236-7101-H/0019/2010  PROYECTO EJECUTIVO DE LAS CALLES: MADRE MONICA TRAMO: MADRE TIERRA - CERRO DEL ZOYATE COL. DIEZ DE MAYO; RANCHO QUEMADO TRAMO: CASCADA DE REGLA - CERRO DE LA BUFA COL. LOMAS DE JEREZ; VALLE DE MESOREA TRAMO: PROLONGACION RIO MAYO - VALLE JORDAN COL. VALLE DE SEÑORA SAN JOSE LEON,ORIGINAL,1,22/02/2010 00:00,,0,0
21,28,B-5051-236-7101-H/0020/2010  PROYECTO EJECUTIVO DE LAS CALLES: LAGO ALBERTO TRAMO: LAGO ZUMPANGO - TOPAR CON PAVIMENTO SUR COL. INFONAVIT GRANADA; LAGO ZUMPANGO TRAMO: LAGO ALBERTO - LAGO MEXTITLAN COL. LOMAS DE LA TRINIDAD; CARBON TRAMO: SEVILLA - SORIA COL. PILETAS II SECC; PRESA DE BARRIAL TRAMO: PASEO DE LA PRESA A RIO DE LOS CASTILLOS; COSTA AZUL TRAMO: PAQUISTAN A TOPAR CON PAVIMENTO COL. EL LAUREL; FRANCISCO ALVAREZ TARMO: ARTURO VALDEZ - ARTURO VILLEGAS COL. LEON I CENTRO.,ORIGINAL,1,22/02/2010 00:00,,0,0
22,15,B-5051-236-7101-H/0021/2010  PROYECTO EJECUTIVO DE LAS CALLES: NITROGENO TRAMO: MAGNESIO - HELIO COL. VALLE DE SEÑORA; CALLE COSTAS DE OCEANO ARTICO TRAMPO: MAR ROJO - MALECON DEL RIO COL. CEMENTOS LEON,ORIGINAL,1,22/02/2010 00:00,,0,0
23,13,B-5051-236-7101-H/0022/2010  PROYECTO EJECUTIVO DE LAS CALLES: H. AYUNTAMIENTO TRAMO: ARTICULO 123 - BLVD. TIMOTEO LOZANO COL. LIBERTAD; CALLE MOSTO TRAMO: DE LA CEPA - SARMIENTO COL. SAN JOSE EL ALTO; TORRE EIFEL TRAMO: H. AYUNTAMIENTO - TORRE DE CASTILLO COL. LAS TORRES LEON,ORIGINAL,1,22/02/2010 00:00,,0,0
24,10,B-5051-236-7101-H/0023/2010  PROYECTO EJECUTIVO DE LAS CALLES: CALLE 26 DE AGOSTO TRAMO: LUCIO CABAÑAS - MISAEL NUÑEZ COL. MORELOS; ALICIA TRAMO: FUEGO - TOPAR LADO SUR COL. ORIENTAL; BONIFACIO COLLAZO TRAMO: CRISTINA ORTEGA - JUAN NEPOMUCENO COL. CASA BLANCA. LEON,ORIGINAL,1,22/02/2010 00:00,,0,0
25,53,B-5051-236-7101-H/0024/2010  PROYECTO EJECUTIVO DE LAS CALLES: ANTONIO BARROSO TRAMO: BLVD. MARIANO ESCOBEDO-LEON II; CALLE ESTEBAN DE LARIS TRAMO: DE BLVD. MARIANO ESCOBEDO-CEFERINO ORTIZ Y CALLE MARTIN MUÑOZ TRAMO: BLVD. MARIANO ESCOBEDO-JOSEFINA CAMARENA COL. LEON II; LEON,ORIGINAL,1,22/02/2010 00:00,,0,0
26,32,"A-1199-316-6502-H/0025/2010  PROYECTO GEOMETRICO, ESTUDIOS TOPOGRAFICOS Y FICHAS DE AFECTACIONES DEL BLVD. MORELOS TRAMO: DE BLVD. CLOUTHIER A BLVD. INSURGENTES LEON",ORIGINAL,1,22/02/2010 00:00,,0,0
27,4,B-5051-236-7101-H/0026/2010  PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES : ANDRES QUINTANA ROO TRAMO; PLUTARCO ELIAS CALLES- PRIMER MANDATARIO COL. PRESIDENTES DE MEXICO; CALLE CUBILETE TRAMO: BLVD GUANAJUATO - NEVADO DE COLIMA COL. LINARES; CALLE EGEO TRAMO : BLVD. HILARIO MEDINA - TOPAR COL. NVA. SANTA ROSA DE LIMA LEON,ORIGINAL,1,23/02/2010 00:00,,0,0
