Id_Contrato_Recurso,Id_Contrato,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Id_Contrato_Ampliacion
384,320,92,100,240799.54,
466,382,100,50,988037.4,
255,231,98,100,1589831.62,
141,26,4,100,12641.21,3
865,508,156,100,140948.32,200
79,82,4,100,45560.3,
393,65,87,100,512031.99,52
220,202,100,50,737966.28,
420,340,29,100,512465.94,
649,509,77,100,262422.95,
206,41,86,100,94117.48,13
14,15,4,100,216718.91,
168,170,92,100,639995.44,
561,218,4,100,150624.43,72
712,9,31,100,32176146.28,110
800,368,132,100,1261462.24,145
32,33,2,100,166117.43,
504,403,100,50,354343.85,
601,469,46,100,2026256.53,
607,476,46,100,1679913.23,
283,255,103,27.58,2665230.17,
828,308,144,100,39918.36,172
22,8,1,100,352441.94,
85,88,5,100,145554.83,
659,519,92,100,1895114.25,
443,364,9,100,10841.97,
570,447,77,100,113279.41,
164,166,92,100,518412.53,
542,421,121,2.24,78116.18,
721,552,93,100,1345780.67,
847,255,103,100,6190181.22,188
229,209,92,100,525040.09,
461,378,99,100,41351.77,
464,381,4,100,111015.43,
594,463,46,100,908143,
647,507,77,100,156526.49,
323,283,100,50,53575.04,
65,67,87,100,399959.24,
479,389,100,50,534205.63,
757,577,124,100,21905444.28,
218,62,87,100,160115.2,21
390,325,100,50,76251.18,
572,448,124,100,1000000.06,
484,392,118,50,752051.19,
669,236,4,100,310170.21,91
681,536,77,100,356961.39,
187,39,86,100,94117.48,8
463,380,92,100,596751.7,
707,219,4,100,617788.33,106
453,369,92,100,537528.48,
665,525,92,100,691772.69,
132,135,92,100,1107816.82,
309,272,110,25,158492.9,
373,39,87,100,376469.93,46
581,450,92,100,3602251.27,
741,256,103,100,123000.82,116
264,239,92,100,36622.67,
488,394,101,50,1060083,
848,284,55,100,1037584.23,189
291,263,76,100,259155.45,
401,68,87,100,239933.7,55
738,563,,100,3094221.11,
179,179,39,100,360457.09,
595,464,94,100,742762.96,
633,496,77,100,567868.89,
432,355,92,100,395689.02,
672,340,29,100,262831.65,94
442,363,92,100,1151890.96,
826,540,132,100,450070.23,170
850,570,124,100,750000,191
584,453,93,100,52075.24,
703,232,4,100,600523.82,102
771,315,4,100,62758.38,124
51,52,39,100,329329.5,
641,502,77,100,346473.92,
