Id_Suspension,Id_Contrato,Oficio_Suspension,Fecha_Suspension,Observaciones_Suspension,Oficio_Reinicio,Fecha_Reinicio,Observaciones_Reinicio,Fecha_Nuevo_Termino,Fecha_Oficio_Suspension,Fecha_Oficio_Reinicio
1,128,DGOP/CT/0124/10,30/07/2010 00:00,,DGOP/CT/0124/10,13/09/2010 00:00,,06/11/2010 00:00,30/07/2010 00:00,13/09/2010 00:00
2,123,DGOP/CT/0126/10,30/07/2010 00:00,,DGOP/CT/0126/10,13/09/2010 00:00,,06/11/2010 00:00,30/07/2010 00:00,13/09/2010 00:00
3,29,DGOP/CT/0100/10,18/06/2010 00:00,,DGOP/CT/0100/10,16/06/2011 00:00,,17/07/2011 00:00,18/06/2010 00:00,16/06/2011 00:00
4,139,DGOP/CT/0122/10,26/07/2010 00:00,,DGOP/CT/0122/10,13/09/2010 00:00,,03/11/2010 00:00,26/07/2010 00:00,13/09/2010 00:00
5,211,DGOP/CT/0142/10,19/08/2010 00:00,,DGOP/CT/0142/10,13/10/2010 00:00,,22/10/2010 00:00,19/08/2010 00:00,13/10/2010 00:00
6,131,DGOP/CT/0144/10,20/08/2010 00:00,,DGOP/CT/0144/10,11/10/2010 00:00,,23/10/2010 00:00,20/08/2010 00:00,11/10/2010 00:00
7,212,DGOP/CT/0146/10,30/08/2010 00:00,,DGOP/CT/0146/10,01/11/2010 00:00,,26/11/2010 00:00,30/08/2010 00:00,01/11/2010 00:00
8,315,DGOP/CT/0186/10,03/12/2010 00:00,,DGOP/CT/0186/10,04/04/2011 00:00,,05/04/2011 00:00,03/12/2010 00:00,04/04/2011 00:00
9,312,DGOP/CT/0191/10,11/12/2010 00:00,,DGOP/CT/0191/10,01/03/2011 00:00,,17/03/2011 00:00,11/12/2010 00:00,01/03/2011 00:00
10,232,DGOP/CT/0192/10,13/12/2010 00:00,,DGOP/CT/0192/10,08/03/2011 00:00,,31/03/2011 00:00,13/12/2010 00:00,08/03/2011 00:00
11,358,DGOP/CT/0202/10,30/12/2010 00:00,,DGOP/CT/0202/10,04/03/2011 00:00,,13/03/2011 00:00,30/12/2010 00:00,04/03/2011 00:00
12,359,DGOP/CT/0199/10,28/12/2010 00:00,,DGOP/CT/0199/10,04/03/2011 00:00,,15/03/2011 00:00,28/12/2010 00:00,04/03/2011 00:00
13,250,DGOP/CT/0180/10,19/11/2010 00:00,,DGOP/CT/0180/10,02/03/2011 00:00,,05/03/2011 00:00,19/11/2010 00:00,02/03/2011 00:00
14,483,DGOP/CT/0198/10,27/12/2010 00:00,,DGOP/CT/0198/10,14/02/2011 00:00,,09/04/2011 00:00,27/12/2010 00:00,14/02/2011 00:00
15,341,DGOP/CT/014/11,19/01/2011 00:00,,DGOP/CT/014/11,20/06/2011 00:00,,30/06/2011 00:00,19/01/2011 00:00,20/06/2011 00:00
16,356,DGOP/CT/016/11,29/01/2011 00:00,,DGOP/CT/016/11,24/02/2011 00:00,,24/02/2011 00:00,29/01/2011 00:00,24/02/2011 00:00
17,267,DGOP/CT/0185/10,01/12/2010 00:00,,DGOP/CT/0185/10,08/08/2011 00:00,,10/08/2011 00:00,01/12/2010 00:00,08/08/2011 00:00
18,251,DGOP/CT/0197A/1,24/12/2010 00:00,,DGOP/CT/0197A/1,17/02/2011 00:00,,12/03/2011 00:00,24/12/2010 00:00,17/02/2011 00:00
19,317,DGOP/CT/0182/10,25/02/2011 00:00,,DGOP/CT/0182/10,25/02/2011 00:00,,27/02/2011 00:00,25/02/2011 00:00,25/02/2011 00:00
20,320,DGOP/CT/0188/10,08/12/2010 00:00,,DGOP/CT/0188/10,01/03/2011 00:00,,15/03/2011 00:00,08/12/2010 00:00,01/03/2011 00:00
21,247,DGOP/CT/009/11,15/01/2011 00:00,,DGOP/CT/009/11,17/02/2011 00:00,,05/03/2011 00:00,15/01/2011 00:00,17/02/2011 00:00
22,368,DGOP/CT/0204/10,31/12/2010 00:00,,DGOP/CT/0204/10,25/02/2011 00:00,,15/04/2011 00:00,31/12/2010 00:00,25/02/2011 00:00
23,357,DGOP/CT/07/11,07/01/2011 00:00,,DGOP/CT/07/11,04/03/2011 00:00,,05/03/2011 00:00,07/01/2011 00:00,04/03/2011 00:00
25,546,DGOP/CT/038/11,08/03/2011 00:00,,DGOP/CT/038/11,15/04/2011 00:00,,07/06/2011 00:00,08/03/2011 00:00,15/04/2011 00:00
26,363,DGOP/CT/004/11,03/01/2011 00:00,,DGOP/CT/004/11,09/03/2011 00:00,,12/03/2011 00:00,03/01/2011 00:00,09/03/2011 00:00
27,322,DGOP/CT/0196/10,16/12/2010 00:00,,DGOP/CT/0196/10,16/02/2011 00:00,,18/02/2011 00:00,16/12/2010 00:00,16/02/2011 00:00
28,561,DGOP/CT/039/11,17/03/2011 00:00,,DGOP/CT/039/11,04/04/2011 00:00,,16/04/2011 00:00,17/03/2011 00:00,04/04/2011 00:00
29,260,DGOP/CT/0176/11,12/11/2011 00:00,,DGOP/CT/0176/11,07/03/2011 00:00,,14/03/2011 00:00,12/11/2011 00:00,07/03/2011 00:00
30,339,DGOP/CT/006/11,07/01/2011 00:00,,DGOP/CT/006/11,22/03/2011 00:00,,23/04/2011 00:00,07/01/2011 00:00,22/03/2011 00:00
31,252,DGOP/CT/008/11,12/01/2011 00:00,,DGOP/CT/008/11,01/03/2011 00:00,,12/03/2011 00:00,12/01/2011 00:00,01/03/2011 00:00
32,321,DGOP/CT/0200/10,29/12/2010 00:00,,DGOP/CT/0200/10,07/02/2011 00:00,,12/03/2011 00:00,29/12/2010 00:00,07/02/2011 00:00
33,223,DGOP/CT/0174/10,02/11/2010 00:00,,DGOP/CT/0174/10,02/03/2011 00:00,,10/03/2011 00:00,02/11/2010 00:00,02/03/2011 00:00
34,369,DGOP/CT/0197/10,22/12/2010 00:00,,DGOP/CT/0197/10,18/02/2011 00:00,,20/03/2011 00:00,22/12/2010 00:00,18/02/2011 00:00
35,255,DGOP/CT/0162/10,08/10/2010 00:00,,DGOP/CT/0162/10,22/08/2011 00:00,,03/09/2011 00:00,08/10/2010 00:00,22/08/2011 00:00
36,572,QDGOP/CT/036/11,03/03/2011 00:00,,DGOP/CT/036/11,04/04/2011 00:00,,08/07/2011 00:00,03/03/2011 00:00,04/04/2011 00:00
37,115,S/N,01/08/2010 00:00,,S/N,28/07/2011 00:00,,29/07/2011 00:00,01/08/2010 00:00,28/07/2011 00:00
38,380,DGOP/CT/0012/11,17/01/2011 00:00,,DGOP/CT/012/11,13/07/2011 00:00,,16/07/2011 00:00,17/01/2011 00:00,13/07/2011 00:00
39,343,DGOP/CT/030/11,25/02/2011 00:00,,DGOP/CT/030/11,08/09/2011 00:00,,09/09/2011 00:00,25/02/2011 00:00,08/09/2011 00:00
40,29,DGOP/CT/098/11,24/06/2011 00:00,,DGOP/CT/098/11,24/11/2011 00:00,,17/12/2011 00:00,24/06/2011 00:00,24/11/2011 00:00
42,546,S/N,21/06/2011 00:00,,DGOP/CT/0171/11,17/11/2011 00:00,,21/11/2011 00:00,21/06/2011 00:00,17/11/2011 00:00
43,29,DGOP/CT/175/11,28/11/2011 00:00,,DGOP/CT/0175/11,20/04/2012 00:00,,09/05/2012 00:00,28/11/2011 00:00,20/04/2012 00:00
44,346,S/N,24/07/2012 00:00,,S/N,24/07/2012 00:00,,17/08/2012 00:00,24/07/2012 00:00,24/07/2012 00:00
45,570,DGOP/CT/096/11,20/06/2011 00:00,,DGOP/CT/096/11,19/09/2011 00:00,,19/11/2011 00:00,20/06/2011 00:00,19/09/2011 00:00
46,365,S/N,14/05/2011 00:00,,S/N,28/05/2013 00:00,,29/07/2013 00:00,14/05/2011 00:00,28/05/2013 00:00
48,400,S/N,31/03/2011 00:00,,S/N,16/01/2012 00:00,,08/02/2012 00:00,31/03/2011 00:00,16/01/2012 00:00
49,371,S/N,01/04/2011 00:00,,S/N,16/01/2012 00:00,,07/02/2012 00:00,01/04/2011 00:00,16/01/2012 00:00
50,371,S/N02,17/01/2012 00:00,,S/N,28/03/2016 00:00,,17/04/2016 00:00,17/01/2012 00:00,28/03/2016 00:00
51,400,S/N2,17/01/2012 00:00,,S/N,19/02/2016 00:00,,10/03/2016 00:00,17/01/2012 00:00,19/02/2016 00:00
53,508,S/N,13/09/2012 00:00,,S/N,31/05/2016 00:00,,01/06/2016 00:00,13/09/2012 00:00,31/05/2016 00:00
55,268,S/N,09/07/2012 00:00,LA SCT A LA FECHA NO AUTORIZADO LA PLANTA GEOMÉTRICA DE LAS INTERSECCIONES POR LO CUAL NO SE PUEDE CONTINUAR CON LOS DEMÁS PROYECTOS,DGOP/ML/PROY/0193/2016,19/02/2016 00:00,SE AUTORIZA POR PARTE DE SCT LA VALIDACIÓN DE LOS TRABAJOS REALIZADOS POR LO QUE REANUDA EL PROYECTO ,22/03/2016 00:00,09/07/2012 00:00,19/02/2016 00:00
57,268,S/N,19/02/2016 00:00,LA SCT SOLICITA QUE NO EXISTA MODIFICACIÓN A OPERATIVIDAD DE LA VÍA RÁPIDA BICENTENARIO POR MOTIVO DEL LA NO ENTREG DEL RESOLUTIVO DE IMPACTO AMBIENTAL DE LA INTERSECCIÓN DE MORELOS CON CLOUTHIER,DGOP/ML/PROY/1232/2017,19/05/2017 00:00,EL 19 DE MAYO SE NOTIFICA A LA SCT EL RESOLUTIVO DE IMPACTO AMBIENTAL Y SE RATIFICA QUE NO HAY CAMBIOS POR LO QUE SE REANUDAN LOS TRABAJOS,20/06/2017 00:00,19/02/2016 00:00,19/05/2017 00:00
