Id_Fuera_Catalogo,Id_Contrato,Fecha_Registro,Fecha_Ultima_Autorizada,Fecha_Instruccion_Bitacora,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Estatus
0000000001,0000000003,2018-05-18 08:57:00,2018-06-24 00:00:00,2018-04-13 00:00:00,307/2018,2018-04-19 00:00:00,AUTORIZADO,TÉRMINADO
0000000002,0000000045,2018-06-13 11:18:00,2018-06-12 00:00:00,2018-05-08 00:00:00,386/2018,2018-06-07 00:00:00,AUTORIZADO,TÉRMINADO
0000000003,0000000046,2018-06-13 11:20:00,2018-06-12 00:00:00,2018-05-08 00:00:00,387/2018,2018-06-07 00:00:00,AUTORIZADO,TÉRMINADO
0000000004,0000000045,2018-06-13 11:38:00,2018-06-12 00:00:00,2018-05-02 00:00:00,388/2018,2018-06-07 00:00:00,AUTORIZADO,TÉRMINADO
0000000005,0000000046,2018-06-13 11:41:00,2018-06-12 00:00:00,2018-05-02 00:00:00,389/2018,2018-06-07 00:00:00,AUTORIZADO,TÉRMINADO
0000000006,0000000054,2018-06-26 11:33:00,2018-08-06 00:00:00,2018-06-11 00:00:00,430/2018,2018-06-22 00:00:00,AUTORIZADO,TÉRMINADO
0000000007,0000000094,2018-07-03 10:01:00,2018-06-09 00:00:00,2018-06-25 00:00:00,479/2018,2018-07-03 00:00:00,AUTORIZADO,TÉRMINADO
0000000008,0000000013,2018-07-03 14:03:00,2018-08-03 00:00:00,2018-05-22 00:00:00,481/2018,2018-06-11 00:00:00,AUTORIZADO,TÉRMINADO
0000000009,0000000049,2018-07-06 08:56:00,2018-05-08 00:00:00,2018-05-04 00:00:00,495/2018,2018-05-07 00:00:00,AUTORIZADO,TÉRMINADO
0000000010,0000000050,2018-07-06 08:59:00,2018-05-08 00:00:00,2018-05-04 00:00:00,496/2018,2018-05-07 00:00:00,AUTORIZADO,TÉRMINADO
0000000011,0000000133,2018-07-12 10:59:00,2018-10-05 00:00:00,2018-06-22 00:00:00,507/2018,2018-07-06 00:00:00,AUTORIZADO,TÉRMINADO
0000000012,0000000093,2018-07-12 14:31:00,2018-08-11 00:00:00,2018-06-04 00:00:00,508/2018,2018-06-14 00:00:00,AUTORIZADO,TÉRMINADO
0000000013,0000000060,2018-07-12 15:11:00,2018-05-08 00:00:00,2018-03-21 00:00:00,509/2018,2018-03-23 00:00:00,AUTORIZADO,TÉRMINADO
0000000014,0000000061,2018-07-12 15:13:00,2018-05-08 00:00:00,2018-03-21 00:00:00,510/2018,2018-03-23 00:00:00,AUTORIZADO,TÉRMINADO
0000000015,0000000062,2018-07-12 15:15:00,2018-05-08 00:00:00,2018-03-21 00:00:00,511/2018,2018-03-23 00:00:00,AUTORIZADO,TÉRMINADO
0000000016,0000000063,2018-07-12 15:17:00,2018-05-08 00:00:00,2018-03-21 00:00:00,512/2018,2018-03-23 00:00:00,AUTORIZADO,TÉRMINADO
0000000017,0000000064,2018-07-12 15:19:00,2018-05-08 00:00:00,2018-03-21 00:00:00,513/2018,2018-03-23 00:00:00,AUTORIZADO,TÉRMINADO
0000000018,0000000071,2018-07-12 15:29:00,2018-09-01 00:00:00,2018-06-29 00:00:00,514/2018,2018-07-06 00:00:00,AUTORIZADO,TÉRMINADO
0000000019,0000000085,2018-07-13 10:03:00,2018-06-08 00:00:00,2018-06-05 00:00:00,515/2018,2018-06-11 00:00:00,AUTORIZADO,TÉRMINADO
0000000020,0000000054,2018-07-17 08:53:00,2018-08-06 00:00:00,2018-06-30 00:00:00,520/2018,2018-07-16 00:00:00,AUTORIZADO,TÉRMINADO
0000000021,0000000021,2018-07-19 13:49:00,2018-07-20 00:00:00,2018-07-18 00:00:00,528/2018,2018-07-19 00:00:00,AUTORIZADO,TÉRMINADO
0000000022,0000000071,2018-07-24 12:49:00,2018-09-01 00:00:00,2018-07-19 00:00:00,535/2018,2018-07-23 00:00:00,AUTORIZADO,TÉRMINADO
0000000023,0000000043,2018-07-24 15:25:00,2018-07-27 00:00:00,2018-07-18 00:00:00,536/2018,2018-07-20 00:00:00,AUTORIZADO,TÉRMINADO
0000000024,0000000118,2018-07-26 09:12:00,2018-09-15 00:00:00,2018-07-20 00:00:00,537/2018,2018-07-26 00:00:00,AUTORIZADO,TÉRMINADO
0000000025,0000000055,2018-07-26 09:17:00,2018-07-04 00:00:00,2018-07-11 00:00:00,538/2018,2018-07-26 00:00:00,AUTORIZADO,TÉRMINADO
0000000026,0000000128,2018-07-26 14:43:00,2018-08-25 00:00:00,2018-07-19 00:00:00,542/2018,2018-07-26 00:00:00,AUTORIZADO,TÉRMINADO
0000000027,0000000160,2018-07-27 09:10:00,2018-08-31 00:00:00,2018-07-18 00:00:00,544/2018,2018-07-20 00:00:00,AUTORIZADO,TÉRMINADO
0000000028,0000000161,2018-07-27 09:18:00,2018-08-31 00:00:00,2018-07-18 00:00:00,545/2018,2018-07-20 00:00:00,AUTORIZADO,TÉRMINADO
0000000029,0000000039,2018-07-30 11:39:00,2018-08-15 00:00:00,2018-06-22 00:00:00,550/2018,2018-07-13 00:00:00,AUTORIZADO,TÉRMINADO
0000000030,0000000088,2018-07-31 08:54:00,2018-07-24 00:00:00,2018-07-18 00:00:00,554/2018,2018-07-30 00:00:00,AUTORIZADO,TÉRMINADO
0000000031,0000000021,2018-08-02 10:13:00,2018-07-20 00:00:00,2018-07-18 00:00:00,558/2018,2018-07-20 00:00:00,AUTORIZADO,TÉRMINADO
0000000032,0000000161,2018-08-06 15:16:00,2018-08-31 00:00:00,2018-07-18 00:00:00,570/2018,2018-08-02 00:00:00,AUTORIZADO,TÉRMINADO
0000000033,0000000089,2018-08-06 15:25:00,2018-10-08 00:00:00,2018-07-23 00:00:00,576/2018,2018-08-06 00:00:00,AUTORIZADO,TÉRMINADO
0000000034,0000000152,2018-08-07 09:09:00,2018-10-09 00:00:00,2018-07-31 00:00:00,577/2018,2018-08-03 00:00:00,AUTORIZADO,TÉRMINADO
0000000035,0000000195,2018-08-07 13:04:00,2018-08-11 00:00:00,2018-07-13 00:00:00,578/2018,2018-08-03 00:00:00,AUTORIZADO,TÉRMINADO
0000000036,0000000196,2018-08-07 13:05:00,2018-08-11 00:00:00,2018-07-13 00:00:00,579/2018,2018-08-03 00:00:00,AUTORIZADO,TÉRMINADO
