Id_Contrato_Fianza,Id_Contrato,Id_Fianza,Numero_Fianza,Fecha_Emision,Fecha_Recepcion,Nombre_Afianzadora,Fecha_Liberacion,Id_Contrato_Ampliacion
1,0000000001,0000000002,4197-00600-5,2018-02-27 00:00:00,2018-03-05 00:00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",2019-02-26 00:00:00,
2,0000000002,0000000001,BKY-0004-0007027,2018-03-09 00:00:00,2018-03-15 00:00:00,"BERKLEY INTERNATIONAL FIANZAS MEXICO, S.A. DE C.V.",2019-03-08 00:00:00,
3,0000000002,0000000002,BKY-0004-0007029,2018-03-09 00:00:00,2018-03-15 00:00:00,"BERKLEY INTERNATIONAL FIANZAS MEXICO, S.A. DE C.V.",2019-03-08 00:00:00,
4,0000000003,0000000002,4197-00604-3,2018-02-27 00:00:00,2018-03-02 00:00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",2019-02-26 00:00:00,
5,0000000004,0000000002,4197-00601-6,2018-03-09 00:00:00,2018-03-16 00:00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",2019-03-08 00:00:00,
6,0000000005,0000000001,BKY-0007-0006920,2018-03-09 00:00:00,2018-03-16 00:00:00,"BERKLEY INTERNATIONAL FIANZAS MEXICO, S.A. DE C.V.",2019-03-08 00:00:00,
7,0000000005,0000000002,BKY-0007-0006925,2018-03-09 00:00:00,2018-03-16 00:00:00,B,2019-03-08 00:00:00,
8,0000000006,0000000002,1961293,2018-03-08 00:00:00,2018-03-15 00:00:00,"LIBERTY FIANZAS, S.A.",2019-03-07 00:00:00,
9,0000000006,0000000001,1961294,2018-03-08 00:00:00,2018-03-15 00:00:00,"LIBERTY FIANZAS, S.A.",2019-03-07 00:00:00,
10,0000000007,0000000001,1885054,2018-02-20 00:00:00,2018-02-28 00:00:00,"ACE FIANZAS MONTERREY, S.A.",2019-02-19 00:00:00,
11,0000000007,0000000002,1885057,2018-02-20 00:00:00,2018-02-28 00:00:00,ACE,2019-02-19 00:00:00,
12,0000000008,0000000002,1901877,2018-02-27 00:00:00,2018-03-06 00:00:00,"LIBERTY FIANZAS, S.A.",2019-02-26 00:00:00,
13,0000000008,0000000001,1901876,2018-02-27 00:00:00,2018-03-06 00:00:00,"LIBERTY FIANZAS, S.A.",2019-02-26 00:00:00,
14,0000000009,0000000002,2186797,2018-02-23 00:00:00,2018-03-15 00:00:00,"AFIANZADORA SOFIMEX, S.A.",2019-02-22 00:00:00,
15,0000000009,0000000001,2186793,2018-02-23 00:00:00,2018-03-15 00:00:00,"AFIANZADORA SOFIMEX, S.A.",2019-02-22 00:00:00,
17,0000000012,0000000002,1903597,2018-04-30 00:00:00,2018-05-09 00:00:00,"ACE FIANZAS MONTERREY, S.A.",2019-04-29 00:00:00,
18,0000000012,0000000001,1903593,2018-04-30 00:00:00,2018-05-09 00:00:00,"ACE FIANZAS MONTERREY, S.A.",2019-04-29 00:00:00,
19,0000000013,0000000001,III-512498-RC,2018-02-09 00:00:00,2018-02-19 00:00:00,"FIANZAS ATLAS, S.A.",2019-02-08 00:00:00,
20,0000000013,0000000002,III-512500-RC,2018-02-09 00:00:00,2018-02-19 00:00:00,"FIANZAS ATLAS, S.A.",2019-02-08 00:00:00,
21,0000000014,0000000001,III-514016-RC,2018-04-13 00:00:00,2018-04-17 00:00:00,"FIANZAS ATLAS, S.A.",2019-04-12 00:00:00,
22,0000000014,0000000002,III-514018-RC,2018-04-13 00:00:00,2018-04-17 00:00:00,"FIANZAS ATLAS, S.A.",2019-04-12 00:00:00,
23,0000000015,0000000002,III-514018-RC,2018-04-13 00:00:00,2018-04-17 00:00:00,"FIANZAS ATLAS, S.A.",2019-04-12 00:00:00,
24,0000000015,0000000001,III-514016-RC,2018-04-13 00:00:00,2018-04-17 00:00:00,"FIANZAS ATLAS, S.A.",2019-04-12 00:00:00,
25,0000000016,0000000002,III-514018-RC,2018-04-13 00:00:00,2018-04-17 00:00:00,"FIANZAS ATLAS, S.A.",2019-04-12 00:00:00,
26,0000000016,0000000001,III-514016-RC,2018-04-13 00:00:00,2018-04-17 00:00:00,"FIANZAS ATLAS, S.A.",2019-04-12 00:00:00,
27,0000000018,0000000001,2195536,2018-04-12 00:00:00,2018-04-18 00:00:00,"AFIANZADORA SOFIMEX, S.A.",2019-04-11 00:00:00,
