Id_Oficio_Asignacion,Año,Numero_Asignacion,Numero_Oficio_Asignacion,Fecha_Oficio_Asignacion,Id_Contratista,Id_Supervisor_Externo,Id_Supervisor_Interno,Observaciones_Generales,Tipo_Obra_Proyecto,Id_Modalidad,Id_Coordinador,Area
0000000153,2018,DGOP/0126/CONT/2018,DGOP/0126/CONT/2018,2018-05-28 00:00:00,0000000363,0000000588,0000000060,,Obra,0000000001,0000000061,Construcción
0000000154,2018,DGOP/0129/CONT/2018,DGOP/0129/CONT/2018,2018-05-28 00:00:00,0000000166,,0000000067,,Obra,0000000001,0000000067,Construcción
0000000155,2018,DGOP/CONT/0131/2018,DGOP/CONT/0131/2018,2018-05-28 00:00:00,0000000302,,0000000072,,Obra,0000000001,0000000072,Construcción
0000000156,2018,DGOP/0096/CONT/2018,DGOP/0096/CONT/2018,2018-05-10 00:00:00,0000000294,0000000352,0000000080,,Obra,0000000001,0000000080,Construcción
0000000158,2018,DGOP/0116/CONT/2018,DGOP/0116/CONT/2018,2018-05-25 00:00:00,0000000464,,0000000088,,Obra,0000000001,0000000061,Construcción
0000000159,2018,DGOP/0118/CONT/2018,DGOP/0118/CONT/2018,2018-05-28 00:00:00,0000000251,,0000000075,,Obra,0000000001,0000000075,Proyectos
0000000160,2018,DGOP/0134/CONT/2018,DGOP/0134/CONT/2018,2018-06-06 00:00:00,0000000678,0000000758,0000000056,,Obra,0000000001,0000000054,Construcción
0000000161,2018,DGOP/0135/CONT/2018,DGOP/0135/CONT/2018,2018-07-02 00:00:00,0000000718,,0000000056,,Obra,0000000001,0000000054,Construcción
0000000162,2018,DGOP/0036/CONT/2018,DGOP/0036/CONT/2018,2018-04-05 00:00:00,0000000094,,0000000020,,Obra,0000000001,0000000020,Proyectos
0000000163,2018,DGOP/0151/CONT/2018,DGOP/0151/CONT/2018,2018-05-10 00:00:00,0000000157,,0000000080,,Obra,0000000001,0000000080,Construcción
0000000164,2018,DGOP/0086/CONT/2018,DGOP/0086/CONT/2018,2018-05-08 00:00:00,0000000328,0000000111,0000000058,,Obra,0000000001,0000000053,Construcción
0000000165,2018,DGOP/0078/CONT/2018,DGOP/0078/CONT/2018,2018-04-25 00:00:00,0000000700,0000000759,0000000058,,Obra,0000000001,0000000088,Construcción
0000000166,2018,DGOP/0079/CONT/2018,DGOP/0079/CONT/2018,2018-04-25 00:00:00,0000000738,0000000683,0000000088,,Obra,0000000001,0000000061,Construcción
0000000167,2018,DGOP/0080/CONT/201/,DGOP/0080/CONT/201/,2018-04-25 00:00:00,0000000279,,0000000057,,Obra,0000000001,0000000061,Construcción
0000000168,2018,DGOP/0087/CONT/2018,DGOP/0087/CONT/2018,2018-05-08 00:00:00,0000000042,0000000753,0000000059,,Obra,0000000001,0000000053,Construcción
0000000169,2018,DGOP/0128/CONT/2018,DGOP/0128/CONT/2018,2018-05-28 00:00:00,0000000543,0000000695,0000000056,,Obra,0000000001,0000000054,Construcción
0000000170,2018,DGOP/0138/CONT/2018,DGOP/0138/CONT/2018,2018-06-06 00:00:00,0000000531,0000000089,0000000058,,Obra,0000000001,0000000061,Construcción
0000000171,2018,DGOP/0107/CONT/2018,DGOP/0107/CONT/2018,2018-05-15 00:00:00,0000000364,0000000695,0000000059,,Obra,0000000001,0000000054,Construcción
