Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion
0000000089,0000000123,1,2018-11-30 00:00:00,2018-06-05 00:00:00,2019-01-31 00:00:00,1218365.17,30.00,365509.55,0000000001
0000000090,0000000346,1,2018-11-21 00:00:00,2018-10-11 00:00:00,2018-12-21 00:00:00,303178.28,30.00,90953.48,0000000001
0000000091,0000000347,1,2018-11-21 00:00:00,2018-10-11 00:00:00,2018-12-21 00:00:00,473460.79,30.00,142038.24,0000000001
0000000092,0000000345,1,2018-11-21 00:00:00,2018-10-11 00:00:00,2018-12-21 00:00:00,407600.97,30.00,122280.29,0000000001
0000000093,0000000257,1,2018-11-20 00:00:00,2018-08-31 00:00:00,2018-12-05 00:00:00,60033.80,0.00,0.00,0000000001
0000000094,0000000230,1,2018-10-26 00:00:00,2018-08-06 00:00:00,2018-12-07 00:00:00,104260.80,0.00,0.00,0000000001
0000000096,0000000133,1,2018-12-05 00:00:00,2018-06-08 00:00:00,2019-03-15 00:00:00,5600000.00,30.00,1680000.00,0000000001
0000000097,0000000124,1,2018-11-30 00:00:00,2018-06-12 00:00:00,2019-02-28 00:00:00,6500000.00,30.00,1950000.00,0000000001
0000000098,0000000362,1,2018-12-05 00:00:00,2018-10-04 00:00:00,2019-01-22 00:00:00,1277161.38,30.00,383148.41,0000000001
0000000099,0000000506,1,2018-10-05 00:00:00,2018-07-27 00:00:00,2018-10-17 00:00:00,93585.77,0.00,0.00,0000000001
0000000100,0000000021,1,2018-07-19 00:00:00,2018-05-29 00:00:00,2018-07-20 00:00:00,103037.18,0.00,0.00,0000000001
0000000101,0000000100,1,2018-11-30 00:00:00,2018-06-08 00:00:00,2019-01-31 00:00:00,2634452.41,30.00,790335.72,0000000001
0000000102,0000000089,1,2018-12-03 00:00:00,2018-05-10 00:00:00,2019-01-15 00:00:00,3632856.39,30.00,1089856.92,0000000001
0000000103,0000000143,2,2018-12-07 00:00:00,2018-07-04 00:00:00,2019-01-31 00:00:00,870000.00,30.00,261000.00,0000000001
