Nombre
Academía Metropolitana de Seguridad Pública
CFE
Comisión Municipal de Deporte León
Contraloría
DIF León
Dirección General de Obra Pública
Dirección General de Salud Municipal
Explora
Feria Estatal de León
Ferromex
Fideicomiso Ciudad Industrial de León
Fideicomiso de Administración de Pipas Municipales
Fideicomiso de Obras por Cooperación (FIDOC)
Insituto Municipal de la Juventud
Insituto Municipal de Vivienda de León
Instituto Cultural de León
Instituto Municipal de la Mujer
Instituto Municipal de Planeación
Parque Metropolitano
Parque Zoológico de León
Patronato de Bomberos
SAPAL
Secretaría de Seguridad Pública
Secretaría del Ayuntamiento
Secretaría Particular
Sistema Integral de Aseo Público
Tesorería Municipal
Unidad de Inversión y Banco de Proyectos
Secretaría de Obra Pública
Instituto de Infraestructura Física Educativa de Guanajuato
