Id_Capitulo,Clave,Descripcion,Importe
194,1,1 CONCEPTOS,64130.7
195,1,1 CONCEPTOS,76492.13
196,1,1 CONCEPTOS,59394.53
197,1,1 CONCEPTOS,65302.22
198,1,1 CONCEPTOS,37741.9
199,1,1 CONCEPTOS,44021.81
200,1,1 CONCEPTOS,1095.22
201,1,1 CONCEPTOS,26301.92
202,1,1 CONCEPTOS,42334.19
203,1,1 CONCEPTOS,54949.6
204,1,1 CONCEPTOS,132667.85
205,1,1 CONCEPTOS,8354.03
206,1,1 CONCEPTOS,30731.2
207,1,1 CONCEPTOS,534.3
208,1,1 CONCEPTOS,12006.06
209,1,1 CONCEPTOS,16320.42
210,1,1 CONCEPTOS,22147.08
211,1,1 CONCEPTOS,15193.7
212,1,1 CONCEPTOS,28101.3
213,1,1 CONCEPTOS,247.8
214,1,1 CONCEPTOS,185833.79
215,1,1 CONCEPTOS,274773.32
216,1,1 CONCEPTOS,259532.78
217,1,1 CONCEPTOS,46154.12
218,1,1 CONCEPTOS,746119.85
219,1,1 CONCEPTOS,4560.49
220,1,1 CONCEPTOS,39446.42
221,1,1 CONCEPTOS,18925.29
222,1,1 CONCEPTOS,34938.66
223,1,1 CONCEPTOS,255290.28
224,1,1 CONCEPTOS,3269.96
225,1,1 CONCEPTOS,121721.98
226,1,1 CONCEPTOS,12689.16
227,1,1 CONCEPTOS,131382.02
228,1,1 Conceptos,1276452.04
229,1,1 Conceptos,15556.88
230,1,1 Conceptos,5043.86
231,1,1 Conceptos,25837.08
232,1,1 Conceptos,17807.08
233,1,1 Conceptos,18298.28
234,1,1 Conceptos,35233.65
235,1,1 Conceptos,24286.42
236,1,1 Conceptos,74896.81
237,1,1 Conceptos,41952.41
238,1,1 Conceptos,9808.75
239,1,1 Conceptos,18545.92
240,1,1 Conceptos,8365.08
241,1,1 Conceptos,7170.25
242,1,1 Conceptos,4765.15
243,1,1 Conceptos,9583.35
244,1,1 Conceptos,38071.34
245,1,1 Conceptos,41350.47
246,1,1 Conceptos,33849.44
247,1,1 Conceptos,35181.83
248,1,1 Conceptos,18277.89
249,1,1 Conceptos,35160.32
250,1,1 Conceptos,24370.31
251,1,1 Conceptos,14844.73
262,1,1 CONCEPTOS,36011.52
263,1,1 CONCEPTOS,10503.57
264,1,1 CONCEPTOS,2259.66
265,1,1 CONCEPTOS,18778.73
266,1,1 CONCEPTOS,8532.77
267,1,1 CONCEPTOS,12578.24
268,1,1 CONCEPTOS,29575.52
269,1,1 CONCEPTOS,17505.95
270,1,1 CONCEPTOS,2259.66
271,1,1 CONCEPTOS,18778.73
272,1,1 CONCEPTOS,14932.35
273,1,1 CONCEPTOS,16844.63
274,1,1 CONCEPTOS,37545.13
275,1,1 Conceptos,10503.57
276,1,1 Conceptos,2259.65
277,1,1 Conceptos,18778.73
278,1,1 Conceptos,8532.77
279,1,1 Conceptos,12578.24
280,1,1 Conceptos,28401.12
281,1,1 CONCEPTOS,10503.57
282,1,1 CONCEPTOS,2259.66
283,1,1 CONCEPTOS,18778.73
284,1,1 CONCEPTOS,8532.77
285,1,1 CONCEPTOS,12578.24
286,1,1 CONCEPTOS,29575.52
305,1,1 Conceptos,40684.59
306,1,1 Conceptos,1254.88
307,1,1 Conceptos,5260.2
308,1,1 Conceptos,40578.11
309,1,1 Conceptos,59478.24
310,1,1 Conceptos,24406.58
311,1,1 Conceptos,33273.91
312,1,1 Conceptos,6668.52
313,1,1 Conceptos,1254.88
314,1,1 Conceptos,5260.2
315,1,1 Conceptos,11423.44
316,1,1 Conceptos,13281.49
317,1,1 Conceptos,10626.77
318,1,1 Conceptos,22468.33
319,1,1 Conceptos,11400.65
320,1,1 Conceptos,1254.88
321,1,1 Conceptos,5260.2
322,1,1 Conceptos,20652.45
323,1,1 Conceptos,24506.83
324,1,1 Conceptos,12749.05
325,1,1 Conceptos,22468.33
326,1,1 Conceptos,17878.11
327,1,1 Conceptos,1254.88
328,1,1 Conceptos,5260.2
329,1,1 Conceptos,26463.93
330,1,1 Conceptos,34191.07
331,1,1 Conceptos,15652.03
332,1,1 Conceptos,27871.12
333,1,1 Conceptos,15515.24
334,1,1 Conceptos,1254.88
335,1,1 Conceptos,5260.2
336,1,1 Conceptos,24287.48
337,1,1 Conceptos,30554.23
338,1,1 Conceptos,14661.16
339,1,1 Conceptos,22468.33
340,1,1 Conceptos,476280.98
341,1,1 Conceptos,9384.79
