Id_Estimacion_Concepto,Id_Estimacion,Id_Concepto,Contratado,Actual,Anterior,Acumulado,Por_Estimar,Precio_Unitario,Importe,Excedente,Excedente_Acumulado
27966,0000000741,40685,2340.00,418.15,337.01,755.16,1584.84,29.30,12251.80,0.00,0.00
27967,0000000741,40686,195.00,87.00,61.00,148.00,47.00,176.97,15396.39,0.00,0.00
27968,0000000741,40688,195.00,89.00,62.00,151.00,44.00,73.46,6537.94,0.00,0.00
27969,0000000742,26569,455.70,455.70,0.00,455.70,0.00,41.25,18797.63,0.00,0.00
27970,0000000742,26570,5.00,5.00,0.00,5.00,0.00,67.69,338.45,0.00,0.00
27971,0000000742,26571,4.00,4.00,0.00,4.00,0.00,114.83,459.32,0.00,0.00
27972,0000000742,26572,3.00,3.00,0.00,3.00,0.00,94.27,282.81,0.00,0.00
27973,0000000742,26573,6.00,6.00,0.00,6.00,0.00,126.92,761.52,0.00,0.00
27974,0000000742,26574,2.00,2.00,0.00,2.00,0.00,66.48,132.96,0.00,0.00
27975,0000000742,26575,1.00,1.00,0.00,1.00,0.00,66.48,66.48,0.00,0.00
27976,0000000742,26576,1.00,1.00,0.00,1.00,0.00,60.44,60.44,0.00,0.00
27977,0000000742,26577,3.00,3.00,0.00,3.00,0.00,1112.01,3336.03,0.00,0.00
27978,0000000742,26578,3.00,3.00,0.00,3.00,0.00,1958.11,5874.33,0.00,0.00
27979,0000000742,26580,4.00,4.00,0.00,4.00,0.00,193.39,773.56,0.00,0.00
27980,0000000742,26581,6.00,6.00,0.00,6.00,0.00,26.60,159.60,0.00,0.00
27981,0000000742,26582,8.00,8.00,0.00,8.00,0.00,18.14,145.12,0.00,0.00
27982,0000000742,26585,48.00,48.00,0.00,48.00,0.00,9.37,449.76,0.00,0.00
27983,0000000742,26586,32.00,32.00,0.00,32.00,0.00,8.46,270.72,0.00,0.00
27984,0000000742,26610,216.80,216.80,0.00,216.80,0.00,203.07,44025.58,0.00,0.00
27985,0000000742,26611,12.00,12.00,0.00,12.00,0.00,64.06,768.72,0.00,0.00
