Id_Estimacion_Deduccion,Id_Estimacion,Id_Descuento,Monto_Deduccion
1,0000000001,0000000001,644.61
2,0000000001,0000000003,3223.07
3,0000000002,0000000001,280.00
4,0000000002,0000000003,1400.00
5,0000000003,0000000001,220.00
6,0000000003,0000000003,1100.00
7,0000000004,0000000001,483.46
8,0000000004,0000000003,2417.30
9,0000000005,0000000001,481.95
10,0000000005,0000000003,2409.73
11,0000000006,0000000001,481.95
12,0000000006,0000000003,2409.73
13,0000000007,0000000001,644.61
14,0000000007,0000000003,3223.07
15,0000000008,0000000001,483.46
16,0000000008,0000000003,2417.30
17,0000000009,0000000001,59.00
18,0000000009,0000000003,295.00
23,0000000012,0000000001,1117.41
24,0000000012,0000000003,5587.04
25,0000000013,0000000001,686.36
26,0000000013,0000000003,3431.81
31,0000000016,0000000001,601.26
32,0000000016,0000000003,3006.29
33,0000000017,0000000001,838.36
34,0000000017,0000000003,4191.82
35,0000000018,0000000001,176.54
36,0000000018,0000000003,882.69
37,0000000019,0000000001,1117.45
38,0000000019,0000000003,5587.24
39,0000000020,0000000001,2044.85
40,0000000020,0000000003,10224.25
41,0000000021,0000000001,160.65
42,0000000021,0000000003,803.24
43,0000000022,0000000001,160.65
44,0000000022,0000000003,803.24
45,0000000023,0000000001,1096.44
46,0000000023,0000000003,5482.20
55,0000000024,0000000001,526.22
56,0000000024,0000000003,2631.11
57,0000000025,0000000001,2103.70
58,0000000025,0000000003,10518.51
59,0000000026,0000000001,865.18
60,0000000026,0000000003,4325.88
61,0000000027,0000000001,11.59
62,0000000027,0000000003,57.94
63,0000000028,0000000001,841.88
64,0000000028,0000000003,4209.40
69,0000000030,0000000001,391.93
70,0000000030,0000000003,1959.64
74,0000000034,0000000001,707.46
75,0000000034,0000000003,3537.32
76,0000000035,0000000001,581.76
77,0000000035,0000000003,2908.82
95,0000000042,0000000004,3046.10
96,0000000043,0000000004,2447.69
107,0000000045,0000000004,229.08
108,0000000045,0000000007,320.71
109,0000000045,0000000006,3207.06
110,0000000045,0000000009,3420.87
111,0000000046,0000000004,263.87
112,0000000046,0000000007,369.42
113,0000000046,0000000006,3694.16
114,0000000046,0000000009,3940.45
115,0000000047,0000000004,28.74
116,0000000047,0000000006,574.87
117,0000000047,0000000007,57.49
118,0000000048,0000000004,1126.11
119,0000000048,0000000006,22522.23
120,0000000048,0000000007,2252.22
121,0000000049,0000000004,236.08
122,0000000049,0000000007,330.51
123,0000000049,0000000006,3305.08
124,0000000049,0000000009,3525.43
125,0000000050,0000000004,272.30
126,0000000050,0000000007,381.22
127,0000000050,0000000006,3812.19
128,0000000050,0000000009,4066.35
129,0000000051,0000000004,130.39
130,0000000051,0000000006,2607.85
131,0000000051,0000000007,260.78
132,0000000052,0000000001,1563.18
133,0000000052,0000000003,7815.90
134,0000000053,0000000001,14.17
135,0000000053,0000000003,70.83
140,0000000056,0000000004,160.05
141,0000000056,0000000007,320.10
142,0000000056,0000000006,3201.02
143,0000000057,0000000004,46.48
144,0000000058,0000000001,126.05
145,0000000058,0000000003,630.24
146,0000000059,0000000004,185.91
147,0000000060,0000000004,46.48
148,0000000061,0000000001,704.24
149,0000000061,0000000003,3521.22
150,0000000062,0000000001,493.87
151,0000000062,0000000003,2469.35
152,0000000063,0000000001,148.29
153,0000000063,0000000003,741.45
154,0000000064,0000000004,87.92
155,0000000064,0000000007,111.83
156,0000000064,0000000006,1118.28
157,0000000064,0000000009,1192.83
158,0000000065,0000000004,343.24
159,0000000065,0000000007,480.54
160,0000000065,0000000006,4805.35
161,0000000066,0000000004,343.24
162,0000000066,0000000007,480.54
163,0000000066,0000000006,4805.35
164,0000000067,0000000004,556.69
165,0000000067,0000000007,779.37
166,0000000067,0000000006,7793.65
183,0000000076,0000000001,960.98
184,0000000076,0000000003,4804.89
185,0000000077,0000000001,161.15
186,0000000077,0000000003,805.77
187,0000000078,0000000004,68.49
188,0000000078,0000000007,95.80
189,0000000078,0000000006,958.04
190,0000000078,0000000009,1021.91
195,0000000081,0000000001,1196.03
196,0000000081,0000000003,5980.14
197,0000000082,0000000004,225.23
198,0000000082,0000000007,315.32
199,0000000082,0000000006,3153.23
200,0000000083,0000000004,257.22
201,0000000083,0000000007,360.11
202,0000000083,0000000006,3601.09
203,0000000084,0000000004,206.56
204,0000000084,0000000007,413.13
205,0000000084,0000000006,4131.25
206,0000000085,0000000004,67.90
207,0000000085,0000000007,95.06
208,0000000085,0000000006,950.64
209,0000000086,0000000004,67.90
210,0000000086,0000000007,95.06
211,0000000086,0000000006,950.64
212,0000000087,0000000004,70.52
213,0000000087,0000000007,98.73
214,0000000087,0000000006,987.32
215,0000000088,0000000001,713.86
216,0000000088,0000000003,3569.31
217,0000000089,0000000004,125.32
